B R' F' U' F'
B L R' F' U' F'
B L' R' F' U' F'
B L2 R' F' U' F'
B R' L F' U' F'
B R' L' F' U' F'
B R' L2 F' U' F'
B R' D' L2 F' U'
B R' D' F' L2 U'
B R' F' L U' F'
B R' F' L' U' F'
B R' F' L2 U' F'
B R' F' U' D F'
B R' F' U' D' F'
B R' F' U' D2 F'
B R' F' U' F' D
B R' F' U' F' D'
B R' F' U' F' D2
B R' F' D U' F'
B R' F' D' U' F'
B R' F' D2 U' F'
B D' L2 R' F' U'
B D' R' L2 F' U'
B D' R' F' L2 U'
L' B R' F' U' F'
L2 B R' F' U' F'
L2 B R' F' U' F'
L B R' F' U' F'
F2 B R' F' U' F
B F R' F' U' F2
F B R' F' U' F2
B F2 R' F' U' F
B L R' D' L2 F' U'
B L R' D' F' L2 U'
B L R' F' L U' F'
B L R' F' L' U' F'
B L R' F' L2 U' F'
B L R' F' U' D F'
B L R' F' U' D' F'
B L R' F' U' D2 F'
B L R' F' U' F' D
B L R' F' U' F' D'
B L R' F' U' F' D2
B L R' F' D U' F'
B L R' F' D' U' F'
B L R' F' D2 U' F'
B L D' L2 R' F' U'
B L D' R' L2 F' U'
B L D' R' F' L2 U'
B L F R' F' U' F2
U2 L F B R' U' F
B L F2 R' F' U' F
F2 L B R' F' U' F
U2 L B R' F U' F
U2 L B F R' U' F
B L' R' D' L2 F' U'
B L' R' D' F' L2 U'
B L' R' F' L U' F'
B L' R' F' L' U' F'
B L' R' F' L2 U' F'
B L' R' F' U' D F'
B L' R' F' U' D' F'
B L' R' F' U' D2 F'
B L' R' F' U' F' D
B L' R' F' U' F' D'
B L' R' F' U' F' D2
B L' R' F' D U' F'
B L' R' F' D' U' F'
B L' R' F' D2 U' F'
B L' D' L2 R' F' U'
B L' D' R' L2 F' U'
B L' D' R' F' L2 U'
B L' F R' F' U' F2
B L' F2 R' F' U' F
F2 L' B R' F' U' F
D' L2 R' F' U' B L
B L2 R' D' L2 F' U'
B L2 R' D' F' L2 U'
B L2 R' F' L U' F'
B L2 R' F' L' U' F'
B L2 R' F' L2 U' F'
B L2 R' F' U' D F'
B L2 R' F' U' D' F'
B L2 R' F' U' D2 F'
B L2 R' F' U' F' D
B L2 R' F' U' F' D'
B L2 R' F' U' F' D2
B L2 R' F' D U' F'
B L2 R' F' D' U' F'
B L2 R' F' D2 U' F'
D' L2 D B R' F' U'
B L2 D' L2 R' F' U'
B L2 D' R' L2 F' U'
B L2 D' R' F' L2 U'
B2 L2 F U F R B
B L2 F R' F' U' F2
B L2 F2 R' F' U' F
D' L2 B R' F' U' B
D' L2 B U' B' R' B
F2 L2 B R' F' U' F
B R F R2 F' U' F2
B R F2 R2 F' U' F
B R' L D' L2 F' U'
B R' L D' F' L2 U'
B R' L F' L U' F'
B R' L F' L' U' F'
B R' L F' L2 U' F'
B R' L F' U' D F'
B R' L F' U' D' F'
B R' L F' U' D2 F'
B R' L F' U' F' D
B R' L F' U' F' D'
B R' L F' U' F' D2
B R' L F' D U' F'
B R' L F' D' U' F'
B R' L F' D2 U' F'
B R' L' D' L2 F' U'
B R' L' D' F' L2 U'
B R' L' F' L U' F'
B R' L' F' L' U' F'
B R' L' F' L2 U' F'
B R' L' F' U' D F'
B R' L' F' U' D' F'
B R' L' F' U' D2 F'
B R' L' F' U' F' D
B R' L' F' U' F' D'
B R' L' F' U' F' D2
B R' L' F' D U' F'
B R' L' F' D' U' F'
B R' L' F' D2 U' F'
D' R' L2 F' U' B L
B R' L2 D' L2 F' U'
B R' L2 D' F' L2 U'
B R' L2 F' L U' F'
B R' L2 F' L' U' F'
B R' L2 F' L2 U' F'
B R' L2 F' U' D F'
B R' L2 F' U' D' F'
B R' L2 F' U' D2 F'
B R' L2 F' U' F' D
B R' L2 F' U' F' D'
B R' L2 F' U' F' D2
B R' L2 F' D U' F'
B R' L2 F' D' U' F'
B R' L2 F' D2 U' F'
B R' U' F D R2 F
B R' U' F D F R2
B R' U' F2 U F U'
B R' U2 R2 B U F2
B R' U2 D R2 B U
B R' D U2 R2 B U
B R' D F' U' D' F2
B R' D F' U2 R2 U
B R' D F' D' U' F2
B R' D F' D2 L2 U'
B R' D' L F' L U'
B R' D' L2 D F' U'
B R' D' L2 D' F' U'
B R' D' L2 D2 F' U'
B R' D' L2 F' U' D
B R' D' L2 F' U' D'
B R' D' L2 F' U' D2
B R' D' L2 F' D U'
B R' D' L2 F' D' U'
B R' D' L2 F' D2 U'
B R' D' F L2 F2 U'
B R' D' F' L2 U' D
B R' D' F' L2 U' D'
B R' D' F' L2 U' D2
B R' D' F' L2 D U'
B R' D' F' L2 D' U'
B R' D' F' L2 D2 U'
B R' D' F' U' D F2
B R' D' F' D U' F2
B R' D2 F' U B2 U2
B R' D2 F' U' D2 F2
B R' D2 F' D L2 U'
B R' D2 F' D2 U' F2
D' R' F' L2 U' B L
B R' F U' D R2 F
B R' F U' D F R2
B R' F D U' R2 F
B R' F D U' F R2
B R' F' L U' D F'
B R' F' L U' D' F'
B R' F' L U' D2 F'
B R' F' L U' F' D
B R' F' L U' F' D'
B R' F' L U' F' D2
B R' F' L D U' F'
B R' F' L D' U' F'
B R' F' L D2 U' F'
B R' F' L' U' D F'
B R' F' L' U' D' F'
B R' F' L' U' D2 F'
B R' F' L' U' F' D
B R' F' L' U' F' D'
B R' F' L' U' F' D2
B R' F' L' D U' F'
