B U' F' U' B' L'
R2 L U' F B U F2
R2 L U' B F U F2
F L D R2 F' D' L2
R2 L F B U F2 B'
R2 L F B U B' F2
R2 L F' U' F2 B U
R2 L F' U' B F2 U
R2 L B F U F2 B'
R2 L B F U B' F2
F' L' R2 B' U' F' B
F' L' R2 B' U' B F'
L R2 U' F B U F2
L R2 U' B F U F2
F' L' B' U B2 U2 B'
F' L' B' U' D2 F2 B
F' L' B' U' D2 B F2
F' L' B' D L2 U' B
F' L' B' D2 U' F2 B
F' L' B' D2 U' B F2
L R2 F B U F2 B'
L R2 F B U B' F2
L R2 F' U' F2 B U
L R2 F' U' B F2 U
L R2 B F U F2 B'
L R2 B F U B' F2
F L2 D R2 F L' F2
F L2 D F L' R2 F'
F L2 D F R2 L' F'
F L2 D F2 R2 F' L'
L' U F' B' U B2 U2
L' U F' B' U' D2 F2
L' U F' B' D L2 U'
L' U F' B' D2 U' F2
L' U B' D L2 F' U'
L' U B' D F' L2 U'
L' U B' D2 F' U' F'
L' U B' F' U B2 U2
L' U B' F' U' D2 F2
L' U B' F' D L2 U'
L' U B' F' D2 U' F2
L U' R2 F B U F2
L U' R2 B F U F2
L U' F U D R2 F'
R2 U' F B U F2 L'
L U' F D U R2 F'
R2 U' F2 B U F L'
R2 U' B F U F2 L'
R2 U' B F2 U F L'
F' R2 L' B' U' F' B
F' R2 L' B' U' B F'
B R2 U B U L B2
L' U2 B U' F' B2 U'
L' U2 B U' B2 F' U'
U' R2 F B U F2 L'
U' R2 F2 B U F L'
F' R2 B U' F' B' L'
F' R2 B U' B' F' L'
U' R2 B F U F2 L'
U' R2 B F2 U F L'
F' R2 B' U' F' L' B
F' R2 B' U' F' B L'
F' R2 B' U' B F' L'
F' R2 B2 U' F' L' B2
F' R2 B2 U' F' B2 L'
F' R2 B2 U' B2 F' L'
L2 D F L' D R2 F'
L2 D F D L' R2 F'
L2 D F D R2 L' F'
B U' D F' U' B' L'
B U' D' F' U' B' L'
B U' D2 F' U' B' L'
B U' F' R U' B' L'
B U' F' R' U' B' L'
B U' F' R2 U' B' L'
B U' F' U' D B' L'
B U' F' U' D' B' L'
B U' F' U' D2 B' L'
B U' F' U' B L' B2
B U' F' U' B' L' D
B U' F' U' B' L' D'
B U' F' U' B' L' D2
B U' F' U' B' D L'
B U' F' U' B' D' L'
B U' F' U' B' D2 L'
B U' F' U' B2 L' B
B U' F' D U' B' L'
B U' F' D' U' B' L'
B U' F' D2 U' B' L'
B U' F' B U' L' B2
B U' F' B U' B2 L'
B U' F' B2 U' L' B
B U' F' B2 U' B L'
B U' B F' U' L' B2
B U' B F' U' B2 L'
B U' B2 F' U' L' B
B U' B2 F' U' B L'
B U2 B' U F' U' L'
F D L R2 F' D' L2
L2 F D R2 F L' F2
L2 F D F L' R2 F'
L2 F D F R2 L' F'
L2 F D F2 R2 F' L'
F D R2 L F' D' L2
R2 F' L U' F B U
R2 F' L U' B F U
B D U' F' U' B' L'
L' F' R2 B' U' F' B
L' F' R2 B' U' B F'
U' F' U B U2 B' L'
U2 F' U F B R U2
U2 F' U B F R U2
R2 F' U' F' B U L'
R2 F' U' B F' U L'
L' F' B' U B2 U2 B'
L' F' B' U' D2 F2 B
L' F' B' U' D2 B F2
L' F' B' D L2 U' B
L' F' B' D2 U' F2 B
L' F' B' D2 U' B F2
U F' B' U R' B2 U2
U F' B' U B2 U2 L
U F' B2 U B' U2 L
B D' U' F' U' B' L'
B D2 U' F' U' B' L'
B' D2 F' U' F' L' B
B' D2 F' U' F' B L'
B' D2 F' U' B F' L'
D2 B U' F' U' B' L'
D' B U' F' U' B' L'
L' B U' F' B2 U' B
R2 B U F' B L B2
R2 B U B L F' B2
R2 B U B L B2 F'
R2 B U B F' L B2
L' B U' B2 F' U' B
U2 B U' F' B U' L
U2 B U' B F' U' L
D B U' F' U' B' L'
L' B' D L2 F' U' B
L' B' D F' L2 U' B
B' F' U B2 U2 B' L
L' B' D2 F' U' F' B
L' B' D2 F' U' B F'
F' B' U B2 U2 B' L
B2 F' U B' R' U2 B'
L' B' F' U B2 U2 B'
L' B' F' U' D2 F2 B
L' B' F' U' D2 B F2
L' B' F' D L2 U' B
L' B' F' D2 U' F2 B
L' B' F' D2 U' B F2
U B' F' U R' B2 U2
U B' F' U B2 U2 L
F' B2 U B' R' U2 B'
U B2 F' U B' U2 L
