R' D' B R F2 L'
D2 L R F2 U R' B'
D2 L U' R F2 U B'
R' L D' B R F2 L'
D2 L B' U' R F2 U
F2 L' R' B2 U' R B'
F2 L' R' B2 U' B' R
R' L' D' B R F2 L'
L' R' D' B R F2 L'
L R' D' B R F2 L'
L2 R' D' B R F2 L'
F2 L' B2 R' U' B R
R' L2 D' B R F2 L'
R U R2 D L2 B R
R U R2 D B L2 R
R U R2 D B R L2
D L2 B' U' L R U
D L2 B' U' R L U
R U D L2 R2 B R
R U D R2 L2 B R
R U D R2 B L2 R
R U D R2 B R L2
R' U D' B R F2 L'
D2 R L F2 U R' B'
D R U L2 D' R' B
B2 R U F' U2 R' F
B2 R U F' U2 F R'
U' R U' D F' U2 L2
U' R U' D' R2 U2 B
U' R U' D' F' R2 U2
U' R U' F' U' B2 U'
U' R U' F' U2 D L2
U' R U' F' D U2 L2
U' R U' F' D' R2 U2
U' R U2 R2 B2 U' B'
U' R U2 B2 R2 U' B
U' R U2 B2 U F' U2
U' R D U' F' U2 L2
U' R D F2 U L2 B'
U' R D' U' R2 U2 B
U' R D' U' F' R2 U2
U' R D2 F2 L2 U B'
U' R D2 F2 U' F U2
U' R F D2 F2 U B2
U' R F' U2 B2 U' B2
D2 R F2 L U R' B'
D' R F2 U L' R' B'
D' R F2 U R' L' B'
D2 R F2 U D2 R' B
U' R F2 U D L2 B'
U' R F2 D U L2 B'
D2 R F2 D2 U R' B
R' U' D' B R F2 L'
R U' D F' U2 L2 R'
R U' D F' U2 R' L2
U R B2 U F' U2 F
R U' D' R2 U2 B R
R U' D' F' R2 U2 R
F2 R' L' B2 U' R B'
F2 R' L' B2 U' B' R
R U' F' U2 R' D L2
R U' F' U2 D L2 R'
R U' F' U2 D R' L2
R U' F' D U2 L2 R'
R U' F' D U2 R' L2
R U' F' D' R2 U2 R
B2 R' U' D' B R F2
B2 R' U' B D' R F2
F R' D L2 B R F'
U2 R' D B2 U2 B' L2
F R' D B L2 R F'
F R' D B R L2 F'
F R' D B R F' L2
U2 R' D' R2 F' U2 F'
B2 R' D' U' B R F2
B2 R' D2 L2 U' B R
B' R' B D' R F2 L'
R U2 R2 B2 U' R B'
R U2 R2 B2 U' B' R
R' U2 D' B R F2 L'
U R' B2 U' D' F2 B'
U R' B2 U' D' B' F2
U R' B2 U' B' D' F2
U R' B2 U2 R2 U B'
U R' B2 D' U' F2 B'
U R' B2 D' U' B' F2
R U2 B2 U L F' U2
R U2 B2 U F' L U2
R' D L2 D2 B R F2
R' D L2 B R2 F' R'
R D U L2 R2 B R
R D U R2 L2 B R
R D U R2 B L2 R
R D U R2 B R L2
U R2 B2 L R U' B
