F2 L R2 U F' R'
F2 L U R2 F' R'
F2 L U' B U2 R
L' U2 D' B2 L2 F
F2 R2 L U F' R'
L' D R2 F2 U2 F
L' D F2 R2 U2 F'
L' D F2 B R2 U2
L' D B R2 F2 U2
L' D B F2 R2 U2
L' D' U2 B2 L2 F
L' D' B U2 L2 B
L' D' B U2 B L2
L D' B2 U L2 F
B D L' R2 F U2
B D L' F R2 U2
B D R2 L' F U2
R F2 L U R F'
L F2 U D2 R2 F'
L F2 U' L2 B U2
L F2 U' B L2 U2
L F2 D2 U R2 F'
L' B U L2 F2 U
L' B U F2 L2 U
L' B U2 D' L2 B2
L' B U2 D' B2 L2
L' B D R2 F2 U2
L' B D F2 R2 U2
L' B D' U2 L2 B2
L' B D' U2 B2 L2
F2 L R2 U D F' R'
F2 L R2 U D' F' R'
F2 L R2 U D2 F' R'
F2 L R2 U F R' F2
F2 L R2 U F' R' D
F2 L R2 U F' R' D'
F2 L R2 U F' R' D2
F2 L R2 U F' D R'
F2 L R2 U F' D' R'
F2 L R2 U F' D2 R'
F2 L R2 U F2 R' F
F2 L R2 D U F' R'
F2 L R2 D' U F' R'
F2 L R2 D2 U F' R'
F2 L U R2 D F' R'
F2 L U R2 D' F' R'
F2 L U R2 D2 F' R'
F2 L U R2 F R' F2
F2 L U R2 F' R' D
F2 L U R2 F' R' D'
F2 L U R2 F' R' D2
F2 L U R2 F' D R'
F2 L U R2 F' D' R'
F2 L U R2 F' D2 R'
F2 L U R2 F2 R' F
F2 L U D R2 F' R'
D' L U D2 L R2 F'
D' L U D2 R2 L F'
D' L U D2 R2 F' L
F2 L U D' R2 F' R'
F2 L U D2 R2 F' R'
D L U D2 L2 R2 F'
D L U D2 R2 L2 F'
D L U D2 R2 F' L2
F2 L U F R2 F' R
F2 L U' L B U2 R
D' L U' L2 B U2 L'
F2 L U' L' B U2 R
F2 L U' L2 B U2 R
D L U' L2 R2 U2 F'
D L U' L2 B R2 U2
D L U' R2 L2 U2 F'
F2 L U' D B U2 R
F2 L U' D' B U2 R
F2 L U' D2 B U2 R
F2 L U' B L U2 R
F2 L U' B L' U2 R
F2 L U' B L2 U2 R
F2 L U' B U2 R D
F2 L U' B U2 R D'
F2 L U' B U2 R D2
F2 L U' B U2 D R
F2 L U' B U2 D' R
F2 L U' B U2 D2 R
F2 L U' B D U2 R
F2 L U' B D' U2 R
F2 L U' B D2 U2 R
D L U' B L2 R2 U2
D L U' B R2 L2 U2
R2 L D' B2 U L2 F'
R2 L D' B2 U F' L2
F2 L D R2 U F' R'
F2 L D U R2 F' R'
F2 L D U' B U2 R
F2 L D' R2 U F' R'
F2 L D' U R2 F' R'
F2 L D' U' B U2 R
U' L D' B2 U L2 F
U2 L D' B2 U L2 F
U L D' B2 U L2 F
D' L D2 U L R2 F'
D' L D2 U R2 L F'
D' L D2 U R2 F' L
F2 L D2 R2 U F' R'
F2 L D2 U R2 F' R'
D L D2 U L2 R2 F'
D L D2 U R2 L2 F'
D L D2 U R2 F' L2
F2 L D2 U' B U2 R
D2 L D2 F2 U R2 F'
R2 L F2 U D2 R2 F
R2 L F2 U D2 F R2
R2 L F2 U F D2 R2
R2 L F2 U' L2 B' U2
R2 L F2 D' B2 U F
R2 L F2 D2 U R2 F
R2 L F2 D2 U F R2
F' L F' R2 U F' R'
F' L F' U R2 F' R'
F' L F' U' B U2 R
U2 L F2 U D2 R2 F'
U' L F2 U D2 R2 F'
U2 L F2 U' L2 B U2
U' L F2 U' L2 B U2
U' L F2 U' B L2 U2
U2 L F2 U' B L2 U2
U L F2 U D2 R2 F'
U L F2 U' L2 B U2
U L F2 U' B L2 U2
U2 L F2 D2 U R2 F'
U' L F2 D2 U R2 F'
U L F2 D2 U R2 F'
R2 L' U L2 F2 U F
F2 L B' U R D2 F2
F2 L B' U D2 R F2
F2 L B' U' B2 U2 R
F2 L B' D' R2 U R'
F2 L B' D2 U R F2
F2 L B2 U' B' U2 R
R2 L' U2 D' L2 F' B2
R2 L' U2 D' L2 B2 F'
R2 L' U2 D' F' L2 B2
R2 L' U2 D' F' B2 L2
R2 L' U2 D' B2 L2 F'
R2 L' U2 D' B2 F' L2
R2 L' D R2 F2 B U2
R2 L' D R2 B F2 U2
R2 L' D F2 R2 U2 F
D L' R2 U L2 U F'
D L' R2 U2 D' F' B2
D L' R2 U2 D' B2 F'
D L' R2 U2 F' D' B2
D L' R2 D F2 U2 F
R2 L' D' U2 L2 F' B2
D L' R2 D' U2 F' B2
R2 L' D' U2 L2 B2 F'
D L' R2 D' U2 B2 F'
R2 L' D' U2 F' L2 B2
R2 L' D' U2 F' B2 L2
R2 L' D' U2 B2 L2 F'
R2 L' D' U2 B2 F' L2
U' L' U2 D' B2 L2 F
U2 L' U2 D' B2 L2 F
U L' U2 D' B2 L2 F
U' L' D R2 F2 U2 F
U2 L' D R2 F2 U2 F
D2 L' D F2 B U2 L2
D' L' D F2 B R U2
D2 L' D B F2 U2 L2
U' L' D F2 R2 U2 F'
D' L' D B F2 R U2
U L' D R2 F2 U2 F
U' L' D F2 B R2 U2
U2 L' D F2 R2 U2 F'
U' L' D B R2 F2 U2
U2 L' D F2 B R2 U2
U' L' D B F2 R2 U2
U2 L' D B R2 F2 U2
U2 L' D B F2 R2 U2
U L' D F2 R2 U2 F'
U L' D F2 B R2 U2
U L' D B R2 F2 U2
U L' D B F2 R2 U2
D2 L' D' R2 U2 F' B2
D2 L' D' R2 U2 B2 F'
B L' D' R F' U2 L2
B L' D' R' U2 L2 B
B L' D' R' U2 B L2
U' L' D' U2 B2 L2 F
U2 L' D' U2 B2 L2 F
D2 L' D' B R2 F' U2
D' L' D' B U2 L' B
D' L' D' B U2 B L'
U' L' D' B U2 L2 B
U' L' D' B U2 B L2
U2 L' D' B U2 L2 B
U2 L' D' B U2 B L2
U L' D' U2 B2 L2 F
U L' D' B U2 L2 B
U L' D' B U2 B L2
L' R2 U L2 F2 U F
L' R2 U2 D' L2 F' B2
L' R2 U2 D' L2 B2 F'
L' R2 U2 D' F' L2 B2
L' R2 U2 D' F' B2 L2
L' R2 U2 D' B2 L2 F'
L' R2 U2 D' B2 F' L2
D' L' B U L2 U L
U' L' B U L2 F2 U
U' L' B U F2 L2 U
D' L' B U2 D' L' B2
D' L' B U2 D' B2 L'
U2 L' B U L2 F2 U
U2 L' B U F2 L2 U
D' L' B D F2 R U2
D L' B R2 U L2 U
U' L' B U2 D' L2 B2
D L' B R2 U2 D' B2
U' L' B U2 D' B2 L2
D L' B R2 D F2 U2
D L' B R2 D' U2 B2
D' L' B D' U2 L' B2
D' L' B D' U2 B2 L'
U' L' B D R2 F2 U2
U' L' B D F2 R2 U2
