B D' R F' R B
U L R F' R U' B
R2 L U' L' B' R' B2
R2 L U' B L' D2 R2
D L R2 U' L' B R'
D L R2 U' B L' R'
D L R2 U' B R' L'
R2 L U' B' L' R' B2
R2 L U' B' R' L' B2
R2 L U' B' R' B2 L'
U L R2 U' B' R' B2
U L U D' F' U2 R
D L U' L' R2 B R'
D L U' R2 L' B R'
D L U' R2 B L' R'
D L U' R2 B R' L'
U L U' D R2 B R'
U L D R2 U' B R'
U L D U' R2 B R'
U L D' U F' U2 R
R2 L B2 U' B' L' R'
R2 L B2 U' B' R' L'
U2 L' D' F' B2 U2 R
U2 L' D' B2 F' U2 R
L R2 U' L' B' R' B2
L R2 U' B L' D2 R2
L R2 U' B' L' R' B2
L R2 U' B' R' L' B2
L R2 U' B' R' B2 L'
L R2 B2 U' B' L' R'
L R2 B2 U' B' R' L'
R2 U L F U' B R
R U L F R F2 U'
R U L F' U2 L' U
U R L F' R U' B
R2 U F L U' B R
R U F L R F2 U'
R U F R L F2 U'
R U F R F2 L U'
R U F' L U' D' B2
R U F' L U2 L2 U
R U F' L D' U' B2
R U F' L D2 R2 U'
B2 R U' R2 B L U
L U' L' D R2 B R'
U R F' L R U' B
U R F' R L U' B
L U' D L' R2 B R'
L U' D R2 L' B R'
L U' D R2 B L' R'
L U' D R2 B R' L'
B R' U' B R' U B
R2 U' B' U R' F' B2
R2 U' B' U R' B2 F'
R' U' B2 R' B' U B2
U' R' B2 R' B' U B2
D R2 L U' L' B R'
D R2 L U' B L' R'
D R2 L U' B R' L'
U R2 L U' B' R' B2
D R2 U L U' B R'
U' R2 U2 L F U' B
L' D L R2 F2 B R'
L' D L R2 B R' F2
L' D L R2 B F2 R'
D' R2 F' B D' R F'
L' D R2 L F2 B R'
L' D R2 L B R' F2
L' D R2 L B F2 R'
D' R2 B F' D' R F'
D R2 B R2 D' R F'
L' D R2 F2 L B R'
D R2 B D' R F' R2
L D R2 U' L' B R'
L D R2 U' B L' R'
L D R2 U' B R' L'
D' U L U F' U2 R
L D U' L' R2 B R'
F' U L F2 R F' U'
L D U' R2 L' B R'
D U L R2 U' B R'
L D U' R2 B L' R'
L D U' R2 B R' L'
D U L U' R2 B R'
U D L R2 U' B R'
U D L U' R2 B R'
D U R2 L U' B R'
U D R2 L U' B R'
U D' L U F' U2 R
L' D' F' B2 R' U2 R2
U2 D' F' U' L U' R
B U' R' B R' U B
L' D' B2 F' R' U2 R2
D' U2 F' U' L U' R
B U2 D' F' U2 R F'
B2 U2 F' U R' B U
B2 D R2 B R' D' F2
R F' L R U' L' B
R F' L R U' B L'
R F' R L U' L' B
R F' R L U' B L'
U2 F' U B2 R' B U
B D' R F' R D B
B D' R F' R D' B
B D' R F' R D2 B
B D' R F' R B D
B D' R F' R B D'
B D' R F' R B D2
B D' R F' D R B
B D' R F' D' R B
B D' R F' D2 R B
B D' R F' B R B
B D' R F' B' R B
B D' R F' B2 R B
B D' R B F' R B
B D' R B' F' R B
B D' R B2 F' R B
B D' R2 D2 B R' F'
B D' R2 B R' F' R
U2 F' B2 U R' B U
B D' U2 F' U2 R F'
B D' B R F' R B
B D' B' R F' R B
B D' B2 R F' R B
R F2 U F L R U'
R F2 U F R L U'
U' B R' B R' U B
R2 B R U' B R' U
R2 B R2 D' R F' R
R2 B R2 D' F' R F'
D B R2 D' B R F'
D B R2 B R D' F2
D2 B D' R2 B R' F'
U2 B D' F' U2 R F'
R2 B2 R B' D' R2 F2
R2 B2 R B' D' F2 R2
R' B2 U' R' B' U B2
U2 B2 F' U R' B U
