B L U' L2 B' R' U
L' R B' U' R' B2 U2
L' R B' U' B2 U2 L
B2 L' R' B' U L F'
B2 L' R' B' U F' L
B L' R' B' U L2 F'
B L' R' B' U F' L2
U' L' U2 B' U' R' F'
R2 L' B' U' R' B U2
R L' B' U' R' B2 U2
R L' B' U' B2 U2 L
B2 L' B' R' U L F'
B2 L' B' R' U F' L
B L' B' R' U L2 F'
B L' B' R' U F' L2
L' R2 B' U' R' B U2
L2 U' L F B' R' U
L2 U' L B' R' F U
L2 U' L B' F R' U
B2 R' L' B' U L F'
B2 R' L' B' U F' L
B R' L' B' U L2 F'
B R' L' B' U F' L2
B U2 L' U L2 F R
R' B L' B' U L2 F'
R' B L' B' U F' L2
L' B' R U' R2 U2 F'
L' B' R U' B R2 U2
L' B' R2 U' R U2 F'
R' B2 L' B' U L F'
R' B2 L' B' U F' L
