B' U F' U2 R
B' R2 U' D2 B R'
B' R2 D2 U' B R'
B' R2 F' U' B R
D2 R2 B' U' B2 R'
B' U L F' U2 R
B' U L' F' U2 R
B' U L2 F' U2 R
B' U F L' F2 U2
B' U F' L U2 R
B' U F' L' U2 R
B' U F' L2 U2 R
B' U F' U2 R D
B' U F' U2 R D'
B' U F' U2 R D2
B' U F' U2 D R
B' U F' U2 D' R
B' U F' U2 D2 R
B' U F' D U2 R
B' U F' D' U2 R
B' U F' D2 U2 R
B' U' R2 D2 B R'
B' U' D2 R2 B R'
R2 D2 B' U' B2 R'
U F' U' B' U' R
R2 F' B' U' R B2
R2 F' B' U' B2 R
B' D2 R2 U' B R'
B' D2 U' R2 B R'
B' F U L' F2 U2
B' F U F2 U2 R
D2 B' U L F' U2
D2 B' U F' L U2
F B' U L' F2 U2
F B' U L' F2 U2
R2 B' F' U' R B2
R2 B' F' U' B2 R
F B' U F2 U2 R
U2 L U' F' U2 L' R
U2 L U' F' U2 R L'
F' L' U' L B' U' R
F L' F2 U' L B' U'
F' L2 U' L2 B' U' R
U2 L2 F U' L' F2 U2
U2 L2 F U' F2 U2 R
U L2 F' U2 R D' L2
U L2 F' U2 D' L2 R
U L2 F' U2 D' R L2
U L2 F' D R2 U2 R'
U L2 F' D' U2 L2 R
U L2 F' D' U2 R L2
B' R D R F' U' B
B' R D2 R U' B R'
B' R F' R' U' R2 B
B' R F' R2 U' R' B
D R F' R B' U' B2
D R F' B' R U' B
F R B' U L' F2 U2
F R B' U F2 U2 R
D R B' F' R U' B
R2 U' D2 B R' D L2
R2 U' D2 B D L2 R'
R2 U' D2 B D R' L2
B' R' U' R' D2 B R'
F' R' F B' U' R2 B
B' R' F' R' U' B R2
B' R' F' U' R' B R2
D2 R' B' U' B2 R' B
F' R' B' U' R2 D B2
F' R' B' F U' R2 B
F R' B' U L' F2 U2
F R' B' U F2 U2 R
B' R2 U F L' U2 B
B' R2 U F' U2 B R
B' R2 U' D2 B R' D
B' R2 U' D2 B R' D'
B' R2 U' D2 B R' D2
B' R2 U' D2 B D R'
B' R2 U' D2 B D' R'
B' R2 U' D2 B D2 R'
B' R2 U' F' B R F
D2 R2 U' B R' D L2
D2 R2 U' B D L2 R'
D2 R2 U' B D R' L2
B' R2 U' B F' R F
B2 R2 U2 F' U B R
D' R2 D' B' U' B2 R'
B' R2 D2 U' B R' D
B' R2 D2 U' B R' D'
B' R2 D2 U' B R' D2
B' R2 D2 U' B D R'
B' R2 D2 U' B D' R'
B' R2 D2 U' B D2 R'
B' R2 D2 F U' B R'
B' R2 D2 F' U' B R'
B' R2 D2 F2 U' B R'
U' R2 D2 B R' D L2
U' R2 D2 B D L2 R'
U' R2 D2 B D R' L2
B' R2 F U L' U2 B
D2 R2 F B' U' B2 R'
B' R2 F' U' D B R
B' R2 F' U' D' B R
B' R2 F' U' D2 B R
B' R2 F' U' B R D
B' R2 F' U' B R D'
B' R2 F' U' B R D2
B' R2 F' U' B D R
B' R2 F' U' B D' R
B' R2 F' U' B D2 R
B' R2 F' U' B' R B2
B' R2 F' U' B2 R B'
B' R2 F' D U' B R
B' R2 F' D' U' B R
B' R2 F' D2 U' B R
D2 R2 F' B' U' B2 R'
B R2 F' B2 U' R B'
B R2 F' B2 U' B' R
D2 R2 F2 B' U' B2 R'
R D R F' B' U' B2
R D R B' F' U' B2
D2 R2 B' R U' B2 R'
D2 R2 B' R' U' B2 R'
D2 R2 B' R2 U' B2 R'
D2 R2 B' U L U2 B2
D2 R2 B' U' R B2 R'
D2 R2 B' U' R' B2 R'
D2 R2 B' U' R2 B2 R'
D2 R2 B' U' B2 R' D
D2 R2 B' U' B2 R' D'
D2 R2 B' U' B2 R' D2
D2 R2 B' U' B2 D R'
D2 R2 B' U' B2 D' R'
D2 R2 B' U' B2 D2 R'
D2 R2 B' F U' B2 R'
D2 R2 B' F' U' B2 R'
D2 R2 B' F2 U' B2 R'
D R2 B' R' F' U' B2
D R2 B' U' B' R' B'
F R2 B' U L' F2 U2
F R2 B' U F2 U2 R
B' U L F L' F2 U2
B' U L F' L U2 R
B' U L F' L' U2 R
B' U L F' L2 U2 R
B' U L F' U2 R D
B' U L F' U2 R D'
B' U L F' U2 R D2
B' U L F' U2 D R
B' U L F' U2 D' R
B' U L F' U2 D2 R
B' U L F' D U2 R
B R2 B2 F' U' R B'
B R2 B2 F' U' B' R
B' U L F' D' U2 R
B' U L F' D2 U2 R
B' U L' F L' F2 U2
B' U L' F' L U2 R
B' U L' F' L' U2 R
B' U L' F' L2 U2 R
B' U L' F' U2 R D
B' U L' F' U2 R D'
B' U L' F' U2 R D2
B' U L' F' U2 D R
B' U L' F' U2 D' R
B' U L' F' U2 D2 R
B' U L' F' D U2 R
B' U L' F' D' U2 R
B' U L' F' D2 U2 R
B' U L2 F L' F2 U2
B' U L2 F' L U2 R
B' U L2 F' L' U2 R
B' U L2 F' L2 U2 R
B' U L2 F' U2 R D
B' U L2 F' U2 R D'
B' U L2 F' U2 R D2
B' U L2 F' U2 D R
B' U L2 F' U2 D' R
B' U L2 F' U2 D2 R
B' U L2 F' D U2 R
B' U L2 F' D' U2 R
B' U L2 F' D2 U2 R
R2 D B' R F' U' B2
R D B' R F' U' B
B' U F L F2 L2 U2
B' U F L' U2 D2 B2
B' U F L' D2 U2 B2
B' U F L' F2 U2 D
B' U F L' F2 U2 D'
B' U F L' F2 U2 D2
B' U F L' F2 D U2
B' U F L' F2 D' U2
B' U F L' F2 D2 U2
B' U F L2 F2 L U2
B' U F D2 L' U2 B2
B' U F' L U2 R D
B' U F' L U2 R D'
B' U F' L U2 R D2
B' U F' L U2 D R
B' U F' L U2 D' R
B' U F' L U2 D2 R
B' U F' L D U2 R
B' U F' L D' U2 R
B' U F' L D2 U2 R
B' U F' L' U2 R D
B' U F' L' U2 R D'
B' U F' L' U2 R D2
B' U F' L' U2 D R
B' U F' L' U2 D' R
B' U F' L' U2 D2 R
B' U F' L' D U2 R
B' U F' L' D' U2 R
B' U F' L' D2 U2 R
B' U F' L2 U2 R D
B' U F' L2 U2 R D'
B' U F' L2 U2 R D2
B' U F' L2 U2 D R
B' U F' L2 U2 D' R
B' U F' L2 U2 D2 R
B' U F' L2 D U2 R
B' U F' L2 D' U2 R
B' U F' L2 D2 U2 R
B' U F' U B U R
B' U F' U B' U R
B' U F' U B2 U R
B' U F' U2 R2 D R'
B' U F' U2 R2 D' R'
B' U F' U2 R2 D2 R'
B' U F' U2 D R D
B' U F' U2 D R D'
B' U F' U2 D R D2
B' U F' U2 D' R D
B' U F' U2 D' R D'
B' U F' U2 D' R D2
B' U F' U2 D2 R D
B' U F' U2 D2 R D'
B' U F' U2 D2 R D2
B' U F' U2 B R B'
B' U F' U2 B2 R B2
B' U F' D L U2 R
B' U F' D L' U2 R
B' U F' D L2 U2 R
B' U F' D U2 R D
B' U F' D U2 R D'
B' U F' D U2 R D2
B' U F' D' L U2 R
B' U F' D' L' U2 R
B' U F' D' L2 U2 R
B' U F' D' U2 R D
B' U F' D' U2 R D'
B' U F' D' U2 R D2
B' U F' D2 L U2 R
B' U F' D2 L' U2 R
B' U F' D2 L2 U2 R
B2 U F' U' B U' R
B' U F' D2 U2 R D
B' U F' D2 U2 R D'
B' U F' D2 U2 R D2
B' U F2 L2 U2 B' R'
B U F' U' B2 U' R
B U F' U2 R D L2
B U F' U2 D L2 R
B U F' U2 D R L2
B U F' D U2 L2 R
B U F' D U2 R L2
B' U F2 D F U2 R
B U F' D' R2 U2 R'
B' U F2 D' F U2 R
B' U F2 D2 F U2 R
F U F2 U' B' U' R
D2 U' R2 B R' D L2
D2 U' R2 B D L2 R'
D2 U' R2 B D R' L2
F' U' R U R' B' U'
B' U' R D2 R B R'
B' U' R F' R F B
B' U' R F' R B F
B' U' R2 D2 B R' D
B' U' R2 D2 B R' D'
B' U' R2 D2 B R' D2
B' U' R2 D2 B D R'
B' U' R2 D2 B D' R'
B' U' R2 D2 B D2 R'
B' U' R2 F' B R F
B' U' R2 B F' R F
B' U' D' R2 D' B R'
B' U' D2 R' B R' B
B' U' D2 R2 B R' D
B' U' D2 R2 B R' D'
B' U' D2 R2 B R' D2
B' U' D2 R2 B D R'
B' U' D2 R2 B D' R'
B' U' D2 R2 B D2 R'
B' U' D2 B R2 B R
F' U' F B' U' F' R
B' U' F' R' F R2 B
F' U' F2 B' U' F2 R
B' U' B R2 D2 B R'
B' U' B U2 F' U2 R
B' U' B D2 R2 B R'
R D2 R B' U' B2 R'
B' U' B' R2 D2 B R'
B' U' B' U2 F' U2 R
L2 D2 R2 F U B R'
B' U' B' D2 R2 B R'
