F2 L' U F U2 F'
L2 R' F2 L' U' B'
R' L2 F2 L' U' B'
L U' D B' R2 F'
L U' B' D R2 F'
L D U' B' R2 F'
R' F2 L' U F U2
L' F2 U F' U2 F
F2 L R U2 R' U B'
F2 L R' U2 R U B'
F2 L R2 U' D' F2 B'
F2 L R2 U' D' B' F2
F2 L R2 U' B' D' F2
F2 L R2 U2 R2 U B'
F2 L R2 D' U' F2 B'
F2 L R2 D' U' B' F2
B2 L U D R2 B' L2
B2 L U D B' L2 R2
B2 L U D B' R2 L2
F2 L U F U2 F' B'
F2 L U F U2 B' F'
F2 L U F' U2 F B'
F2 L U F' U2 B' F
F2 L U F2 U2 F2 B'
F2 L U F2 U2 B' F2
B' L U B' D L2 R2
B' L U B' D R2 L2
F2 L U' R2 B' R2 F'
F2 L U' B' R2 F' R2
F2 L U' B' U2 B U2
F2 L U' B2 D2 F2 B
F2 L U' B2 D2 B F2
U' L U2 D R2 B' L'
U' L U2 D B' L' R2
U' L U2 D B' R2 L'
U L U2 D B' R2 F'
B' L U2 F2 B U' B2
B' L U2 B F2 U' B2
B2 L U2 F2 B2 U' B
U' L U2 B' L' D R2
U' L U2 B' D L' R2
U' L U2 B' D R2 L'
B2 L U2 B2 F2 U' B
U L U2 B' D R2 F'
B2 L D U R2 B' L2
B2 L D U B' L2 R2
B2 L D U B' R2 L2
U' L D U2 R2 B' L'
U' L D U2 B' L' R2
U' L D U2 B' R2 L'
U L D R2 D2 B' L2
U L D R2 D2 B' L2
U L D R2 B' D2 L2
U L D U2 B' R2 F'
U' L D B' L' R2 F'
U' L D B' R2 L' F'
U L D B' R2 D2 L2
U' L D' L2 F U2 L
U L D' L2 F U2 F'
B2 L D2 F2 B2 U B
R2 L F2 U' D' F2 B'
R2 L F2 U' D' B' F2
B2 L D2 B2 F2 U B
R2 L F2 U' B' D' F2
R2 L F2 U2 R2 U B'
L R F2 U2 R' U B'
B L D2 B2 U B L
R L F2 U2 R' U B'
R2 L F2 D' U' F2 B'
R2 L F2 D' U' B' F2
U' L B' L' D R2 F'
U' L B' D L' R2 F'
U' L B' D R2 L' F'
U L B' D R2 D2 L2
F2 L' R2 D2 L2 U' B'
F2 L' U D F U2 F'
B2 L' U D L2 R2 B'
B2 L' U D L2 B' R2
F2 L' U D' F U2 F'
B2 L' U D R2 L2 B'
F2 L' U D2 F U2 F'
F2 L' U F U2 D F'
F2 L' U F U2 D' F'
F2 L' U F U2 D2 F'
F2 L' U F U2 F' D
F2 L' U F U2 F' D'
F2 L' U F U2 F' D2
F2 L' U F D U2 F'
F2 L' U F D' U2 F'
F2 L' U F D2 U2 F'
F2 L' U F B U2 F'
F2 L' U F B' U2 F'
F2 L' U F B2 U2 F'
F2 L' U B F U2 F'
F2 L' U B' F U2 F'
F2 L' U B2 F U2 F'
R' L' F2 L' R2 U' B
R' L' F2 L' U F' U2
L' R' F2 L' R2 U' B
L' R' F2 L' U F' U2
R' L' F2 R2 L' U' B
L2 R' F2 L' R U' B'
L2 R' F2 L' R' U' B'
L2 R' F2 L' R2 U' B'
L' R' F2 R2 L' U' B
L2 R' F2 L' U' D B'
L2 R' F2 L' U' D' B'
L2 R' F2 L' U' D2 B'
L2 R' F2 L' U' B' D
L2 R' F2 L' U' B' D'
L2 R' F2 L' U' B' D2
L2 R' F2 L' D U' B'
L2 R' F2 L' D' U' B'
L2 R' F2 L' D2 U' B'
L2 R' F2 R L' U' B'
L2 R' F2 R' L' U' B'
L2 R' F2 R2 L' U' B'
F2 L' D U F U2 F'
B2 L' D U L2 R2 B'
B2 L' D U L2 B' R2
B2 L' D U R2 L2 B'
U' L' D F U2 L R2
U' L' D F U2 R2 L
R2 L' F2 U2 R2 U B
L2 R' F2 D L' U' B'
L2 R' F2 D' L' U' B'
U L' D R2 D2 L2 B'
L2 R' F2 D2 L' U' B'
U L' D F U2 F' R2
U' L' D' L2 U2 B' L'
F2 L' D' U F U2 F'
U' L' D' F L2 U2 L'
U L' D' F L2 U2 F'
F2 L' D2 U F U2 F'
U' L' F U' F U' L
U L' F U' F U' F2
U L' F U2 F' D R2
F' L' F' U F2 U2 F2
F2 L2 R' U2 R U B
R' L2 F2 L' R U' B'
R' L2 F2 L' R' U' B'
R' L2 F2 L' R2 U' B'
R' L2 F2 L' U' D B'
R' L2 F2 L' U' D' B'
R' L2 F2 L' U' D2 B'
R' L2 F2 L' U' B' D
R' L2 F2 L' U' B' D'
R' L2 F2 L' U' B' D2
R' L2 F2 L' D U' B'
R' L2 F2 L' D' U' B'
R' L2 F2 L' D2 U' B'
R' L2 F2 R L' U' B'
R' L2 F2 R' L' U' B'
R' L2 F2 R2 L' U' B'
R' L2 F2 D L' U' B'
L' R2 F2 U2 R2 U B
R' L2 F2 D' L' U' B'
R' L2 F2 D2 L' U' B'
L R2 F2 U' D' F2 B'
