L2 F D' L' B2
L2 F D' B2 L'
D L2 D' F L' B2
D L2 D' F B2 L'
D L2 D' B2 F L'
F L2 D' F L B2
R' U L2 R F L'
R' U R L2 F L'
R2 U L2 R2 F L'
R U L2 R' F L'
R2 U L2 F L' R2
R2 U L2 F R2 L'
F L2 F D' L B2
R U L2 F L' R'
R U L2 F R' L'
R U R' L2 F L'
R2 U R2 L2 F L'
L2 D' B2 D F L'
L' F L' D' F B2
L' F L' D' B2 F
L' F L' F D' B2
L2 F L' U' L' U
L2 F U' L2 U L
L2 F D L' D2 B2
L2 F D' L B2 L2
L2 F D' L' B2 D
L2 F D' L' B2 D'
L2 F D' L' B2 D2
L2 F D' B L' B
L2 F D' B2 L' D
L2 F D' B2 L' D'
L2 F D' B2 L' D2
L2 F D' B2 D L'
L2 F D' B2 D' L'
L2 F D' B2 D2 L'
L2 F D2 L' D B2
L2 F B D' L' B2
L2 F B D' B2 L'
L2 F B' D' L' B2
L2 F B' D' B2 L'
L2 F B2 D' L' B2
L2 F B2 D' B2 L'
L2 F2 D' F' L' B2
L2 F2 D' F' B2 L'
L2 F2 D' B2 F' L'
L2 B F D' L' B2
L2 B F D' B2 L'
L2 B' F D' L' B2
L2 B' F D' B2 L'
L2 B2 F D' L' B2
L2 B2 F D' B2 L'
L2 R F R' D' L' B2
L2 R F R' D' B2 L'
L2 R F D' L' R' B2
L2 R F D' R' L' B2
L2 R F D' R' B2 L'
D2 L B' L D' F B2
D2 L B' L D' B2 F
D2 L B' L F D' B2
F L' U' L U' B' U2
U L' F L' F D R2
F2 L' F' L' D' F B2
F2 L' F' L' D' B2 F
F2 L' F' L' F D' B2
F' L' F2 L' D' F B2
F' L' F2 L' D' B2 F
F' L' F2 L' F D' B2
L2 R2 F R2 D' L' B2
L2 R2 F R2 D' B2 L'
R2 L2 F R2 D' L' B2
R2 L2 F R2 D' B2 L'
R L2 F R' D' L' B2
R L2 F R' D' B2 L'
R L2 F D' L' R' B2
R L2 F D' R' L' B2
R L2 F D' R' B2 L'
U2 L2 U' F D2 L' R2
U2 L2 U' F D2 R2 L'
D L2 D F L2 B' L
F L2 D F L2 B' L'
F' L2 D' F2 L' F' B2
F' L2 D' F2 L' B2 F'
F' L2 D' F2 B2 L' F'
F2 L2 D' F' L' F2 B2
F2 L2 D' F' L' B2 F2
D2 L2 D' B2 D' F L'
F2 L2 D' F' B2 L' F2
D L2 D' F L B2 L2
D L2 D' F L' B2 D
D L2 D' F L' B2 D'
D L2 D' F L' B2 D2
D L2 D' F B L' B
D L2 D' F B2 L' D
D L2 D' F B2 L' D'
D L2 D' F B2 L' D2
D L2 D' F B2 D L'
D L2 D' F B2 D' L'
D L2 D' F B2 D2 L'
F' L2 D' B2 F2 L' F'
F L2 D' F L B2 D
F L2 D' F L B2 D'
F L2 D' F L B2 D2
F L2 D' F L' B2 L2
F L2 D' F L2 B2 L'
F L2 D' F' L F2 B2
F L2 D' F' L B2 F2
F2 L2 D' B2 F' L' F2
D L2 D' B F L' B
F L2 D' F2 L F' B2
F L2 D' F2 L B2 F'
D L2 D' B2 F L' D
D L2 D' B2 F L' D'
D L2 D' B2 F L' D2
D L2 D' B2 F D L'
D L2 D' B2 F D' L'
D L2 D' B2 F D2 L'
R' U L' R F L' F
D2 L2 D2 F L' D B2
D2 L2 D2 F D L' B2
D2 L2 D2 F D B2 L'
R2 U L' R2 F L' F
F L2 D2 F L D B2
F L2 D2 F D L B2
R U L' R' F L' F
R' U L2 R F L' D
R' U L2 R F L' D'
R' U L2 R F L' D2
R' U L2 R F D L'
R' U L2 R F D' L'
R' U L2 R F D2 L'
R' U L2 R' F L' R2
R' U L2 R' F R2 L'
R2 U L' F L' R2 F
R2 U L' F L' F R2
R' U L2 R2 F L' R'
R' U L2 R2 F R' L'
R2 U L' F R2 L' F
F L2 F L U' L U
R U L' F L' R' F
R U L' F L' F R'
R U L' F R' L' F
U L2 F L' U F' U'
D2 L2 F B D' B2 L
D2 L2 F B' D' L B2
R2 U L2 R' F L' R'
R2 U L2 R' F R' L'
F L2 F U' L2 U L'
R2 U L2 R2 F L' D
R2 U L2 R2 F L' D'
R2 U L2 R2 F L' D2
R2 U L2 R2 F D L'
R2 U L2 R2 F D' L'
R2 U L2 R2 F D2 L'
F L2 F D L D2 B2
R U L2 R F L' R2
R U L2 R F R2 L'
F L2 F D' L B2 D
F L2 F D' L B2 D'
F L2 F D' L B2 D2
F L2 F D' L' B2 L2
F L2 F D' L2 B2 L'
R U L2 R' F L' D
R U L2 R' F L' D'
R U L2 R' F L' D2
R U L2 R' F D L'
R U L2 R' F D' L'
R U L2 R' F D2 L'
F L2 F D2 L D B2
R' U R L' F L' F
R2 U L2 F L' R2 D
R2 U L2 F L' R2 D'
R2 U L2 F L' R2 D2
R' U R L2 F L' D
R' U R L2 F L' D'
R' U R L2 F L' D2
R' U R L2 F D L'
R' U R L2 F D' L'
R' U R L2 F D2 L'
R2 U L2 F R2 L' D
R2 U L2 F R2 L' D'
R2 U L2 F R2 L' D2
R2 U L2 F R2 D L'
R2 U L2 F R2 D' L'
R2 U L2 F R2 D2 L'
F L2 F B2 D' B2 L
R U L2 F L' R' D
R U L2 F L' R' D'
R U L2 F L' R' D2
R U L2 F L' D R'
R U L2 F L' D' R'
R U L2 F L' D2 R'
R U L2 F R' L' D
R U L2 F R' L' D'
R U L2 F R' L' D2
R U L2 F R' D L'
R U L2 F R' D' L'
R U L2 F R' D2 L'
R U L2 F D L' R'
R U L2 F D R' L'
R U L2 F D' L' R'
R U L2 F D' R' L'
R U L2 F D2 L' R'
R U L2 F D2 R' L'
R' U R F L2 F L
R U R L2 F L' R2
R U R L2 F R2 L'
R' U R' L2 F L' R2
R' U R' L2 F R2 L'
F' L2 F2 D' L' F' B2
F' L2 F2 D' L' B2 F'
F' L2 F2 D' B2 L' F'
R2 U R' L2 F L' R'
R2 U R' L2 F R' L'
F L2 F2 D' L F' B2
F L2 F2 D' L B2 F'
F L2 F2 D' F' L B2
R U R' L' F L' F
R U R' L2 F L' D
R U R' L2 F L' D'
R U R' L2 F L' D2
R U R' L2 F D L'
R U R' L2 F D' L'
R U R' L2 F D2 L'
U L2 F2 D F' L' R2
U L2 F2 D F' R2 L'
R' U R2 L2 F L' R'
R' U R2 L2 F R' L'
D2 L2 B D' F B2 L
D2 L2 B D' B2 F L
R U R' F L2 F L
D2 L2 B F D' B2 L
R2 U R2 L' F L' F
R2 U R2 L2 F L' D
R2 U R2 L2 F L' D'
R2 U R2 L2 F L' D2
R2 U R2 L2 F D L'
R2 U R2 L2 F D' L'
R2 U R2 L2 F D2 L'
D L2 B D' F L' B2
D L2 B D' F B2 L'
D L2 B D' B2 F L'
U L2 B U' F B' L'
U L2 B U' B' F L'
R2 U R2 F L2 F L
D2 L2 B' D' F L B2
D2 L2 B' F D' L B2
D L2 B' D' F L' B2
D L2 B' D' F B2 L'
D L2 B' D' B2 F L'
U L2 B' U' F L' B
U L2 B' U' F B L'
U L2 B' U' B F L'
D L2 B2 D' F L' B2
D L2 B2 D' F B2 L'
D L2 B2 D' B2 F L'
U L2 B2 U' F L' B2
U L2 B2 U' F B2 L'
F L2 B2 D' F B2 L
U L2 B2 U' B2 F L'
F L2 B2 D' B2 F L
F L2 B2 F D' B2 L
R2 U F L2 R2 F L
R2 U F L2 F L R2
R2 U F L2 F R2 L
R2 U F R2 L2 F L
R U F L2 R' F L
R U F L2 F L R'
R U F L2 F R' L
R U F R' L2 F L
R U F' R' D2 L2 F
F R U L2 R' F L
F R U L2 F L R'
F R U L2 F R' L
F R U R' L2 F L
L' U' L U L2 F L'
L U' L' U L F L'
R' U' L2 U2 R F L'
L U' L' F R U L'
L2 U' L2 U L2 F L'
R2 U' L2 U2 R2 F L'
R2 U' L2 U2 F L' R2
R2 U' L2 U2 F R2 L'
R2 U' L2 F L' R2 B
R2 U' L2 F R2 L' B
R U' L2 U2 R' F L'
R2 U' L2 F R2 B L'
R U' L2 U2 F L' R'
R U' L2 U2 F R' L'
L U' D' L' F R U
R' U' D2 B' U2 L R
R' U' D2 B' U2 R L
L' U' F L U L2 F
R2 U' D2 B' L2 U2 L'
L U' F R U L' B'
L2 U' F' L2 U F2 L'
F' R' U D2 L2 R F
F' R' U D2 R L2 F
F R' U L' D2 R F'
F R' U L2 R F L
F R' U R L2 F L
D2 R' U' B' U2 L R
D2 R' U' B' U2 R L
F' R' U' B' R2 U2 R'
F R' U' B' U2 L' R
F R' U' B' U2 R L'
F' R' D2 U L2 R F
F' R' D2 U R L2 F
R' U2 L2 U' R F L'
R2 U2 L2 U' R2 F L'
R2 U2 L2 U' F L' R2
R2 U2 L2 U' F R2 L'
R U2 L2 U' R' F L'
R U2 L2 U' F L' R'
R U2 L2 U' F R' L'
L2 U2 F D' L' B2 R'
B2 R2 U F L' R2 F2
B2 R2 U F L' F2 R2
B2 R2 U F R2 L' F2
F R2 U L2 R2 F L
F R2 U L2 F L R2
F R2 U L2 F R2 L
F R2 U R2 L2 F L
D2 R2 U' B' U2 L R2
D2 R2 U' B' U2 R2 L
D R2 U' B' R' U2 R'
F R2 U' B' U2 L' R2
F R2 U' B' U2 R2 L'
L D L D' F L' B2
L D L D' F B2 L'
L D L D' B2 F L'
B2 R2 F U L' R2 F2
B2 R2 F U L' F2 R2
B2 R2 F U R2 L' F2
F' R2 B2 U L R2 F'
F' R2 B2 U R2 L F'
F' R2 B2 U R2 F' L
D R2 B2 U R2 F' L'
F R2 B2 U L' R2 F'
F R2 B2 U R2 L' F'
L2 D F L2 D B' L
L2 D F D L2 B' L
R2 D B2 R2 U F' L'
B2 U F2 D R2 F' L'
L D' U' L' F R U
L2 D' F B' D' B' L
F' U' R B' U B U
L2 D' B D F L' B
L2 D' B D F B L'
L2 D' B D B F L'
L2 D' B' D F B' L'
L2 D' B' D B' F L'
L2 D' B' D' F B' L
L2 D' B' D' B' F L
L2 D' B' F D' B' L
L2 D' B2 D F L' D
L2 D' B2 D F L' D'
L2 D' B2 D F L' D2
L2 D' B2 D F D L'
L2 D' B2 D F D' L'
L2 D' B2 D F D2 L'
R' D2 U' B' U2 L R
R' D2 U' B' U2 R L
F U' B' U B U L'
R2 D2 U' B' L2 U2 L'
L2 D2 F B D B2 L
L2 D2 F B' L D B2
L2 D2 F B' D L B2
L2 D2 B D F B2 L
L2 D2 B D B2 F L
L2 D2 B F D B2 L
L2 D2 B' D F L B2
L2 D2 B' F L D B2
L2 D2 B' F D L B2
L D2 B' L D' F B2
L D2 B' L D' B2 F
L D2 B' L F D' B2
L2 F L U' L U L
L' F L' D' F B2 D
L' F L' D' F B2 D'
L' F L' D' F B2 D2
L' F L' D' B2 D F
L' F L' D' B2 D' F
L' F L' D' B2 D2 F
L' F L' D' B2 F D
L' F L' D' B2 F D'
L' F L' D' B2 F D2
L' F L' D2 F D B2
L' F L' F U' L2 U
L' F L' F D' B2 D
L' F L' F D' B2 D'
L' F L' F D' B2 D2
L' F L' F B D' B2
L' F L' F B' D' B2
L' F L' F B2 D' B2
L' F L' F2 D' F' B2
L' F L' F2 D' B2 F'
L2 F L' U' L' U D
L2 F L' U' L' U D'
L2 F L' U' L' U D2
L2 F L' U' L' D U
L2 F L' U' L' D' U
L2 F L' U' L' D2 U
L2 F L' U' D L' U
L2 F L' U' D' L' U
L2 F L' U' D2 L' U
L' F L' B D' F B2
L' F L' B D' B2 F
L' F L' B F D' B2
L' F L' B' D' F B2
L' F L' B' D' B2 F
L' F L' B' F D' B2
L2 F L' D U' L' U
L' F L' B2 D' F B2
L' F L' B2 D' B2 F
L' F L' B2 F D' B2
L2 F L' D' U' L' U
L2 F L' D2 U' L' U
L2 F L' B U' L' U
L2 F L' B' U' L' U
L2 F L' B2 U' L' U
D F L2 D' F L' B2
D F L2 D' F B2 L'
D F L2 D' B2 F L'
L2 F R D' L' R' B2
L2 F R D' R' L' B2
L2 F R D' R' B2 L'
U F L2 F L D R2
U F L2 F D L R2
U F L2 F D R2 L
L2 F R' D' L' R B2
L2 F R' D' L' B2 R
L2 F R' D' R L' B2
L2 F R' D' R B2 L'
L2 F R' D' B2 L' R
L2 F R' D' B2 R L'
F' U2 B' R U' R' U'
F2 U2 B' R' U' R U'
L' F U' L U L2 F
R2 F U L2 R2 F L
R2 F U L2 F L R2
R2 F U L2 F R2 L
L2 F U D2 R2 U' L'
R2 F U R2 L2 F L
L2 F U' L2 U L D
L2 F U' L2 U L D'
L2 F U' L2 U L D2
L2 F U' L2 U D L
L2 F U' L2 U D' L
L2 F U' L2 U D2 L
L2 F U' L2 D U L
L2 F U' L2 D' U L
L2 F U' L2 D2 U L
L2 F U' L2 F U L
L2 F U' L2 F' U L
L2 F U' L2 F2 U L
R F U L2 R' F L
R F U L2 F L R'
R F U L2 F R' L
R F U R' L2 F L
R2 F U' B' U2 L' R2
R2 F U' B' U2 R2 L'
L2 F U2 D F2 R U2
L2 F D L' U2 F2 U2
L2 F D L' D2 B2 D
L2 F D L' D2 B2 D'
L2 F D L' D2 B2 D2
L2 F D L' B D2 B2
L2 F D L' B' D2 B2
L2 F D L' B2 D2 B2
L2 F D L2 D2 L B2
L2 F D U2 F2 R U2
L2 F D B L' D2 B2
L2 F D B D2 L' B2
L2 F D B D2 B2 L'
L2 F D B' L' D2 B2
L2 F D B' D2 L' B2
L2 F D B' D2 B2 L'
L2 F D B2 L' D2 B2
L2 F D B2 D2 L' B2
L2 F D B2 D2 B2 L'
L2 F D' L B L2 B
L2 F D' L B2 L2 D
L2 F D' L B2 L2 D'
L2 F D' L B2 L2 D2
L2 F D' L' R' B2 R
L2 F D' L' R2 B2 R2
L2 F D' L' B D B
L2 F D' L' B D' B
L2 F D' L' B D2 B
L2 F D' L' B' D B'
L2 F D' L' B' D' B'
L2 F D' L' B' D2 B'
L2 F D' R' L' B2 R
L2 F D' R' B2 L' R
L2 F D' R' B2 R L'
L2 F D' R2 L' B2 R2
L2 F D' R2 B2 L' R2
L2 F D' R2 B2 R2 L'
L2 F D' B L B L2
L2 F D' B L' D B
L2 F D' B L' D' B
L2 F D' B L' D2 B
L2 F D' B L' B D
L2 F D' B L' B D'
L2 F D' B L' B D2
L2 F D' B D L' B
L2 F D' B D B L'
L2 F D' B D' L' B
L2 F D' B D' B L'
L2 F D' B D2 L' B
L2 F D' B D2 B L'
L2 F D' B' D B' L'
L2 F D' B' D' B' L'
L2 F D' B' D2 B' L'
F D L2 D' F L B2
L2 F D' B2 L2 D L
L2 F D' B2 L2 D' L
L2 F D' B2 L2 D2 L
L2 F D' B2 D L' D
L2 F D' B2 D L' D'
L2 F D' B2 D L' D2
L2 F D' B2 D' L' D
L2 F D' B2 D' L' D'
L2 F D' B2 D' L' D2
L2 F D' B2 D2 L' D
L2 F D' B2 D2 L' D'
L2 F D' B2 D2 L' D2
L2 F D2 L' U R2 U'
F D L2 F D' L B2
L2 F D2 L' D B2 D
L2 F D2 L' D B2 D'
L2 F D2 L' D B2 D2
L2 F D2 L' B D B2
L2 F D2 L' B' D B2
L2 F D2 L' B2 D B2
