U L U2 L2 F B'
U L U2 L2 B' F
U L F U2 L2 F
U L F B' U2 L2
U L B' U2 L2 B'
U L B' F U2 L2
U L' D2 R2 F B'
U L' D2 R2 B' F
U L' D2 F R2 B'
U L' D2 F B' R2
U L' D2 B' R2 F
U L' D2 B' F R2
B2 L' F R' D B2
U L' F D2 R2 B'
U L' F D2 B' R2
U L' F B' D2 R2
U L' B' D2 R2 F
U L' B' D2 F R2
U L' B' F D2 R2
B2 U L' R' F B'
B2 U L' R' B' F
B2 U L' F R' B'
B2 U R' L' F B'
B2 U R' L' B' F
U B' L' F B' R'
U B' L' B' R' F
U B' L' B' F R'
U B2 L' R' F B'
U B2 L' R' B' F
U B2 L' F R' B'
U B2 R' L' F B'
U B2 R' L' B' F
U' L R U2 L2 F B
U' L R U2 L2 B F
U L R U2 L2 F B'
U L R U2 L2 B' F
U L R F U2 L2 F
U L R F B' U2 L2
U' L R B' U2 L2 B2
U' L R B' U2 B2 L2
U L R B' U2 L2 B'
U L R B' F U2 L2
U L R' U2 L2 F B'
U L R' U2 L2 B' F
U' L R' F' U2 L2 F
U' L R' F' B' U2 L2
U L R' F U2 L2 F
U L R' F B' U2 L2
U' L R' B' F' U2 L2
U L R' B' U2 L2 B'
U L R' B' F U2 L2
U L R2 U2 L2 F B'
U L R2 U2 L2 B' F
U L R2 F U2 L2 F
U L R2 F B' U2 L2
F' L U L2 U F L'
U L R2 B' U2 L2 B'
U L R2 B' F U2 L2
U' L U2 L' B' L' F
U L U2 L2 D F B'
U L U2 L2 D B' F
U L U2 L2 D' F B'
U L U2 L2 D' B' F
U L U2 L2 D2 F B'
U L U2 L2 D2 B' F
U L U2 L2 F D B'
U L U2 L2 F D' B'
U L U2 L2 F D2 B'
U L U2 L2 F B' D
U L U2 L2 F B' D'
U L U2 L2 F B' D2
U L U2 L2 B' D F
U L U2 L2 B' D' F
U L U2 L2 B' D2 F
U L U2 L2 B' F D
U L U2 L2 B' F D'
U L U2 L2 B' F D2
F2 L D R F' B' U2
F2 L D R B' F' U2
F2 L D B' R F' U2
U L D2 R2 F B' U2
U L D2 R2 B' F U2
U L D2 F R2 B' U2
U L D2 F B' R2 U2
U L D2 B' R2 F U2
U L D2 B' F R2 U2
U L F R U2 L2 F
U L F R B' U2 L2
U L F R' U2 L2 F
U L F R' B' U2 L2
U L F R2 U2 L2 F
U L F R2 B' U2 L2
U L F U2 L2 D F
U L F U2 L2 D' F
U L F U2 L2 D2 F
U L F U2 L2 F D
U L F U2 L2 F D'
U L F U2 L2 F D2
U L F U2 F L2 F
U L F U2 F' L2 F
U L F U2 F2 L2 F
U L F D2 R2 B' U2
U L F D2 B' R2 U2
U L F B' R U2 L2
U L F B' R' U2 L2
U L F B' R2 U2 L2
U L F B' U2 L2 D
U L F B' U2 L2 D'
U L F B' U2 L2 D2
U L F B' D2 R2 U2
U' L B' R U2 L2 B
U' L B' R U2 B L2
U' L B' R' F' U2 L2
U L B' R U2 L2 B'
U L B' R F U2 L2
U2 L B' U' R' U' L2
U L B' R' U2 L2 B'
U' L B' U2 L' B' L'
U L B' R' F U2 L2
F L B' U' R B U'
U L B' R2 U2 L2 B'
F2 L B' D R F' U2
U L B' R2 F U2 L2
U L B' U2 L2 D B'
U L B' U2 L2 D' B'
U L B' U2 L2 D2 B'
U L B' U2 L2 B' D
U L B' U2 L2 B' D'
U L B' U2 L2 B' D2
U L B' U2 B L2 B'
U L B' U2 B' L2 B'
U L B' U2 B2 L2 B'
U L B' D2 R2 F U2
U L B' D2 F R2 U2
U L B' F R U2 L2
U L B' F R' U2 L2
U L B' F R2 U2 L2
U L B' F U2 L2 D
U L B' F U2 L2 D'
U L B' F U2 L2 D2
U L B' F D2 R2 U2
U' L' R D2 F B R2
U' L' R D2 B R2 F
U' L' R D2 B F R2
U' L' R F D2 B R2
U' L' R F B D2 R2
U L' R D2 R2 F B'
U L' R D2 R2 B' F
U L' R D2 F R2 B'
U L' R D2 F B' R2
U' L' R B D2 R2 F
U L' R D2 B' R2 F
U' L' R B D2 F R2
U L' R D2 B' F R2
U' L' R B F D2 R2
U L' R F D2 R2 B'
U L' R F D2 B' R2
U L' R F B' D2 R2
U L' R B' D2 R2 F
U L' R B' D2 F R2
U L' R B' F D2 R2
U' L' R' D2 R2 F B
U' L' R' D2 R2 B F
U' L' R' F D2 R2 B2
U' L' R' F D2 B2 R2
B2 L' R' F U R U'
U L' R' D2 R2 F B'
U L' R' D2 R2 B' F
U L' R' D2 F R2 B'
U L' R' D2 F B' R2
U L' R' D2 B' R2 F
U L' R' D2 B' F R2
U L' R' F D2 R2 B'
U L' R' F D2 B' R2
U L' R' F B' D2 R2
U L' R' B' D2 R2 F
U L' R' B' D2 F R2
U L' R' B' F D2 R2
U L' R2 D2 R2 F B'
U L' R2 D2 R2 B' F
U L' R2 D2 F R2 B'
U L' R2 D2 F B' R2
U L' R2 D2 B' R2 F
U L' R2 D2 B' F R2
U L' R2 F D2 R2 B'
U L' R2 F D2 B' R2
U L' R2 F B' D2 R2
U L' R2 B' D2 R2 F
U L' R2 B' D2 F R2
U L' R2 B' F D2 R2
F' L' U F D2 L' R2
F' L' U F D2 R2 L'
U L' U2 L2 F B' U2
U L' U2 L2 B' F U2
B2 L' D F R' D B2
U L' D B' D R2 F
U L' D B' D F R2
B2 L' D' F R' D B2
U L' D' F D' R2 B'
U L' D' F D' B' R2
U' L' D2 R B R F
U' L' D2 F R B R
U L' D2 R B' R F
U L' D2 R' F R' B'
B2 L' D2 F R' D B2
U L' D2 R2 D F B'
U L' D2 R2 D B' F
U L' D2 R2 D' F B'
U L' D2 R2 D' B' F
U L' D2 R2 D2 F B'
U L' D2 R2 D2 B' F
U L' D2 R2 F D B'
U L' D2 R2 F D' B'
U L' D2 R2 F D2 B'
U L' D2 R2 F B' D
U L' D2 R2 F B' D'
U L' D2 R2 F B' D2
U L' D2 R2 B' D F
U L' D2 R2 B' D' F
U L' D2 R2 B' D2 F
U L' D2 R2 B' F D
U L' D2 R2 B' F D'
U L' D2 R2 B' F D2
U L' D2 F R B' R
U L' D2 F R2 D B'
U L' D2 F R2 D' B'
U L' D2 F R2 D2 B'
U L' D2 F R2 B' D
U L' D2 F R2 B' D'
