L' U B' L' U' B
D2 L R2 F L2 U R2
D2 L U' R2 F L2 U
D2 L U' F L2 R2 U
D2 L U' F L2 R2 U
D2 L U' F R2 L2 U
D2 L F L2 R2 U R2
D2 L F R2 L2 U R2
D2 L F' D' L2 F2 B2
D2 L F' D' L2 B2 F2
D2 L F' D' F2 L2 B2
D2 L F' D' F2 B2 L2
D2 L F' D' B2 L2 F2
D2 L F' D' B2 F2 L2
D L F' D' L2 F' B2
D L F' D' L2 B2 F'
D L F' D' F' L2 B2
D L F' D' F' B2 L2
D L F' D' B2 L2 F'
D L F' D' B2 F' L2
D L F2 U' L2 F' U
D L F2 U' F' L2 U
R' L' U2 B' L' U' R
L' R' U2 B' L' U' R
R2 L' U2 B' L' U' R2
D2 L' R2 U2 B' U' R2
F2 L' U R B' L' U'
B' L' U B' L' U' B
F2 L' U B' L' R U'
F2 L' U B' R L' U'
B2 L' U B' L' U' B
D L' U B' U' F2 B
D L' U B' U' B F2
F L' U B' L' U' B'
B L' U B' L' U' B
U' L' U2 L' B U' L
U' L' U2 B L' U' L2
U' L' F U' R B U2
U' L' F' U D' L' F
U' L' F' D' U L' F
U' L' F2 R F U L'
U' L' F2 D R F' U
D L' F2 U B' U' B
L' R2 U2 B' L' U' R2
F2 L' B' L' R U' R'
F2 L' B' R L' U' R'
D2 L' B2 R2 F' U R2
U L2 U2 L F' U L'
U L2 U2 F' L U L2
L' U R B' L' U' B
L' U R' B' L' U' B
U L2 B U' D L B'
L' U R2 B' L' U' B
U L2 B D U' L B'
L' U D B' L' U' B
U L2 B' U R' F' U2
L' U D' B' L' U' B
U L2 B2 R' B' U' L
U L2 B2 D' R' B U'
L' U D2 B' L' U' B
L' U B' L' U' D B
L' U B' L' U' D' B
L' U B' L' U' D2 B
L' U B' L' U' B D
L' U B' L' U' B D'
L' U B' L' U' B D2
L' U B' L' D U' B
L' U B' L' D' U' B
L' U B' L' D2 U' B
L' U B' D L' U' B
L' U B' D' L' U' B
L' U B' D2 L' U' B
L' U B2 L' B U' B
L2 U' L' F L2 U F'
L U' L2 U2 B' L' U'
L U' F L2 U2 L' U'
L U' F' L2 F2 R U
D2 R2 L F L2 U R2
D2 R2 L' U2 B' U' R2
L' U2 B L' B2 U' R'
L' U2 B' L' U L U2
L' D U B' L' U' B
U' D L' F' U L' F'
F2 U L2 R B U' L
F2 U L2 B R U' L
F2 U R L2 B U' L
F U L2 B U' L B'
F2 U R B L2 U' L'
F2 U B L2 R U' L'
F2 U B R L2 U' L'
D2 U' L' R2 F' U L'
D2 U' L' F' R2 U L'
L' D' U B' L' U' B
D U' L' F' U L' F'
D2 U' R2 L' F' U L'
L D' B2 U' R' F U
L D' B2 U' F R' U
U' D2 L' R2 F' U L'
U' D2 L' F' R2 U L'
L' D2 U B' L' U' B
U' D2 R2 L' F' U L'
L2 D2 B2 R' B U' R
U' F U D F2 L' B'
U' F D U F2 L' B'
L F B2 L2 R' U R
L F B2 R' L2 U R
L F' L2 F2 R U R'
L F' U' L2 F2 R U
D F2 L' U R B' U'
D F2 L' U B' R U'
D F2 U R B U' L
D F2 U B R U' L
D F2 U' F' U L' B'
L' B L' B2 R' U' R
U B L2 U' L' D' B2
U B L2 U2 L U L2
U B L2 B' U' L' B'
U B L2 B2 R' U' L'
L' B U L' B2 U' B2
L' B U B2 L' U' B2
L' B U2 L' B2 U' R'
L' B D2 F2 R U R'
U B' L2 B2 R' U' L
L' B2 U L' B U' B'
L B2 U' R' F L2 U
L B2 U' F L2 R' U
L B2 U' F R' L2 U
L2 B2 D2 R' B U' R
L B2 F L2 R' U R
L B2 F R' L2 U R
