U' L2 R B U' R'
U' R L2 B U' R'
U' R B L2 U' R'
L2 D' R F' U' L'
L2 R U2 B U L R'
L2 R U2 B U R' L
B' L U' L R B U'
B' L U' R L B U'
L2 R D2 F' U' L' R
L2 R D2 F' U' R L'
L2 R F' B U' L' R'
L2 R F' B U' R' L'
L2 R B F' U' L' R'
L2 R B F' U' R' L'
U' L' R B L' U' R'
R L2 U2 B U L R'
R L2 U2 B U R' L
U' L2 R F B U' R'
U' L2 R F' B U' R'
U' L2 R F2 B U' R'
U' L2 R B U' R' D
U' L2 R B U' R' D'
U' L2 R B U' R' D2
U' L2 R B U' D R'
U' L2 R B U' D' R'
U' L2 R B U' D2 R'
U' L2 R B D U' R'
U' L2 R B D' U' R'
U' L2 R B D2 U' R'
U' L2 R B F U' R'
U' L2 R B F' U' R'
U' L2 R B F2 U' R'
B L2 R F' U' L' R2
B L2 R F' U' R2 L'
U2 L2 R B U' L R'
U2 L2 R B U' R' L
R L2 D2 F' U' L' R
R L2 D2 F' U' R L'
R L2 F' B U' L' R'
R L2 F' B U' R' L'
F' L2 U' L R B R'
F' L2 U' R L B R'
R L2 B F' U' L' R'
R L2 B F' U' R' L'
U' L2 D' R F' B U'
U' L2 D' R B F' U'
U' L2 B R B U' R2
U2 L2 B R U' L R2
U2 L2 B R U' R2 L
U' R L' B L' U' R'
U' R L2 F B U' R'
U' R L2 F' B U' R'
U' R L2 F2 B U' R'
U' R L2 B U' R' D
U' R L2 B U' R' D'
U' R L2 B U' R' D2
U' R L2 B U' D R'
U' R L2 B U' D' R'
U' R L2 B U' D2 R'
U' R L2 B D U' R'
U' R L2 B D' U' R'
U' R L2 B D2 U' R'
U' R L2 B F U' R'
U' R L2 B F' U' R'
U' R L2 B F2 U' R'
U2 R L2 B U' L R'
U2 R L2 B U' R' L
B R L2 F' U' L' R2
B R L2 F' U' R2 L'
D' R D L2 F' U' L'
D' R D F' L2 U' L
L U' L R B U' R'
L' U' L' R B U' R'
D' R D2 F' U' L' F'
U' R F L2 B U' R'
U' R F B L2 U' R'
U' R F' L2 B U' R'
D' R F' U B2 U2 L'
D' R F' U' L' D2 F2
D' R F' U' D2 L' F2
D' R F' D L2 U' L
L' U' R L' B U' R'
B R F' L2 U' L R2
B R F' L2 U' R2 L
D' R F' D2 U' L' F2
U' R F' B L2 U' R'
L U' R L B U' R'
U' R F2 L2 B U' R'
L' U' R B L' U' R'
U' R F2 B L2 U' R'
U' R B L2 U' R' D
U' R B L2 U' R' D'
U' R B L2 U' R' D2
U' R B L2 U' D R'
U' R B L2 U' D' R'
U' R B L2 U' D2 R'
U' R B L2 D U' R'
U' R B L2 D' U' R'
U' R B L2 D2 U' R'
U' R B L2 F U' R'
U' R B L2 F' U' R'
U' R B L2 F2 U' R'
U2 R B L2 U' L' R'
U2 R B L2 U' R' L'
U' R B U' R' D F2
U' R B U' D R' F2
U' R B U' D F2 R'
U' R B D U' R' F2
U' R B D U' F2 R'
U' R B F L2 U' R'
U' R B F' L2 U' R'
U' R B F2 L2 U' R'
B R' D F' L' F' B2
B R' D F' L' B2 F'
B R' D F' B2 L' F'
B R' D B2 F' L' F'
B R' F D F2 L' B2
B R' F D F2 B2 L'
B R' F D B2 F2 L'
B R' F' D L' F2 B2
B R' F' D L' B2 F2
B R' F' D B2 L' F2
L' D' L' R F' U' L'
L D' L R F' U' L'
L' D' R L' F' U' L'
L2 D' R D F' U' L'
L2 D' R D' F' U' L'
L2 D' R D2 F' U' L'
L2 D' R F' U' L' D
L2 D' R F' U' L' D'
L2 D' R F' U' L' D2
L2 D' R F' U' D L'
L2 D' R F' U' D' L'
L2 D' R F' U' D2 L'
L2 D' R F' D U' L'
L2 D' R F' D' U' L'
L2 D' R F' D2 U' L'
L2 D' R F' B U' L'
L2 D' R F' B' U' L'
L2 D' R F' B2 U' L'
L D' R L F' U' L'
L2 D' R B F' U' L'
L2 D' R B' F' U' L'
L2 D' R B2 F' U' L'
L D' R F' L U' L2
B U' L2 R B U' R2
B U' R L2 B U' R2
L2 D' B R F' U' L'
B U' R B L2 U' R2
L2 D' B' R F' U' L'
L2 D' B2 R F' U' L'
L2 D2 R F' U' L' R
L2 D2 R F' U' R L'
L2 D2 F' U' L' R B
L2 D2 F' U' R L' B
L2 D2 F' U' R B L'
D2 F' R2 U L' R' B'
D2 F' R2 U R' L' B'
L2 F' U' L' R B R'
L2 F' U' R L' B R'
L2 F' U' R B L' R'
L2 F' U' R B R' L'
R F' B L2 U' L R'
R F' B L2 U' R' L
U' B L2 R B U' R2
U2 B L2 R U' L' R2
U2 B L2 R U' R2 L'
U' B R L2 B U' R2
U' B R B L2 U' R2
U2 B R L2 U' L' R2
U2 B R L2 U' R2 L'
L2 B R F' U' L' R2
L2 B R F' U' R2 L'
U2 B R' D L F2 B2
U2 B R' D L B2 F2
R B L2 F' U' L' R'
R B L2 F' U' R' L'
U2 B R' D F2 L B2
R B F' L2 U' L R'
R B F' L2 U' R' L
B F D F2 L' R' B
B F D F2 R' L' B
B F D F2 R' B L'
F B D F2 L' R' B
F B D F2 R' L' B
F B D F2 R' B L'
D' B2 U' R F' B U'
D' B2 U' R B F' U'
