R' L B U L2 F
L R' B U L2 F
R' U L B U L2
D2 U L B' U L2
U D2 L B' U L2
R' L U B U B' L2
U L R' B R U L2
L R U' F' U' L2 B'
R L U' F' U' L2 B'
L R U2 F' U' F L2
R L U2 F' U' F L2
D2 L U B' U L2 B
D2 L U B' U B L2
U L D F2 B U R'
U L D B F2 U R'
R' L F B U L2 F
R' L F' B U L2 F
R' L F2 B U L2 F
R' L B R U L2 F
R' L B R' U L2 F
R' L B R2 U L2 F
R' L B U L2 D F
R' L B U L2 D' F
R' L B U L2 D2 F
R' L B U L2 F D
R' L B U L2 F D'
R' L B U L2 F D2
R' L B U F L2 F
R' L B U F' L2 F
R' L B U F2 L2 F
R' L B U' B' U2 L2
R2 L B U L2 F R
R' L B F U L2 F
R' L B F' U L2 F
R' L B F2 U L2 F
D L B U L2 R' F
D L B U L2 F R'
D L B U R' L2 F
L2 R' U L' B U L2
L' R' U B L2 F U
R' L' U B L2 F U
D2 L B' R2 U L2 F'
D2 L B' R2 U F' L2
L R' U B U B' L2
D2 L B' U' B U2 L2
U2 L' R' U' L2 B U
U2 L' R' U' B L2 U
U2 L' R' B' D' R2 B2
U2 L' R' B' D' B2 R2
L R' F B U L2 F
L R' F' B U L2 F
U2 L' D B R' D2 B2
R' L' B L2 U F L2
U2 L' D B D2 R' B2
L R' F2 B U L2 F
L' R' B L2 U F L2
U2 L' D B' D2 B2 R'
L R' B R U L2 F
L R' B R' U L2 F
L R' B R2 U L2 F
L R' B U L2 D F
L R' B U L2 D' F
L R' B U L2 D2 F
L R' B U L2 F D
L R' B U L2 F D'
L R' B U L2 F D2
L R' B U F L2 F
L R' B U F' L2 F
L R' B U F2 L2 F
L R' B U' B' U2 L2
U2 L' D' F' R F B2
U2 L' D' F' R B2 F
U2 L' D' F' B2 R F
U2 L' D' B D2 B R'
L R' B F U L2 F
L R' B F' U L2 F
L R' B F2 U L2 F
U2 L' D' B2 F' R F
R' L' B' D' R2 F' B2
R' L' B' D' R2 B2 F'
L' R' B' D' R2 F' B2
L' R' B' D' R2 B2 F'
U2 L' F D' F' R B2
U2 L' F D' F' B2 R
U2 L' F D' B2 F' R
R' L2 U L' B U L2
L R2 B U L2 F R
R' U L D F2 B U
R' U L D B F2 U
R' U L F B U L2
R' U L F' B U L2
R' U L F2 B U L2
R' U L B U L2 D
R' U L B U L2 D'
R' U L B U L2 D2
R' U L B D F2 U
R' U L B F U L2
R' U L B F' U L2
R' U L B F2 U L2
R U L U2 F' U' L2
R2 U L F U L2 R
R2 U L F U R L2
R' U L' B L2 U L2
R' U D L B U L2
R' U D' L B U L2
R' U D2 L B U L2
D2 R U L B' U L2
F2 R U L U2 F' U'
F2 R U' F' U2 L U
L U' R F' U' L2 B'
U2 R' L' U' L2 B U
U2 R' L' U' B L2 U
U R' L B R U L2
U2 R' L' B' D' R2 B2
U2 R' L' B' D' B2 R2
D2 R' U L B' U L2
F R' U L F B U
F R' U L B F U
L2 U' F2 R F' U' L
U2 R' U' L B U L2
U' R' U2 L B U L2
R2 U' B' U' L' R' B'
R2 U' B' U' R' L' B'
R' U2 L' U' L2 B U
R' U2 L' U' B L2 U
R' U2 L' B' D' R2 B2
R' U2 L' B' D' B2 R2
R2 U2 L' U' B' L2 U
R2 U2 L' B D' R2 B2
R2 U2 L' B D' B2 R2
D2 R2 U L B' U L2
F R2 U L F U R
B' R2 U' L' F' B' R'
B' R2 U' L' B' F' R'
R' D L B U L2 F
R' D U L B U L2
U' R2 B' U' L' B' R'
D2 U L D F2 B' U
D2 U L D B' F2 U
D2 U L F B' U L2
D' U L F' U L2 R
D' U L F' U R L2
D2 U L F' B' U L2
D2 U L F2 B' U L2
D2 U L B' U L2 D
D2 U L B' U L2 D'
D2 U L B' U L2 D2
D2 U L B' D F2 U
D2 U L B' F U L2
D2 U L B' F' U L2
D2 U L B' F2 U L2
D U L B U L2 R'
D U L B U R' L2
U D L B U L2 R'
U D L B U R' L2
U2 D L' B R' D' B2
U2 D L' B D' R' B2
U2 D L' B' D' B2 R'
R' D' L B U L2 F
F' U D2 L B' U L
F U D2 L F B' U
F U D2 L B' F U
U2 D B L' D' R' B
U2 D B D' L' R' B
U2 D B D' R' L' B
U2 D B D' R' B L'
R' D' U L B U L2
U D' L F' U L2 R
U D' L F' U R L2
L' D' F L' U2 L B2
L' D' F B2 D2 F2 R
L' D' F' R B2 D2 F2
L' D' F' U2 R B2 L
L' D' F' B2 R D2 F2
L' D' F' B2 D2 R F2
L' D' B' R2 F' R B'
L' D' B' R2 F' B' R
L' D' B' R2 B' F' R
L' D' B2 F D2 F2 R
L' D' B2 F' R D2 F2
L' D' B2 F' D2 R F2
R' D2 L B U L2 F
D2 U2 L' U' L2 B' U
U2 D2 L' U' L2 B' U
U D2 L D F2 B' U
U D2 L D B' F2 U
U D2 L F B' U L2
U D2 L F' B' U L2
U D2 L F2 B' U L2
U D2 L B' U L2 D
U D2 L B' U L2 D'
U D2 L B' U L2 D2
U D2 L B' D F2 U
U D2 L B' F U L2
U D2 L B' F' U L2
U D2 L B' F2 U L2
D U2 L' B R' D' B2
D U2 L' B D' R' B2
D U2 L' B' D' B2 R'
R' D2 U L B U L2
D U2 B L' D' R' B
D U2 B D' L' R' B
D U2 B D' R' L' B
D U2 B D' R' B L'
R' F U L F B U
R' F U L B F U
D2 F U L F B' U
D2 F U L B' F U
L F R' B U L2 F
R2 F U L F U R
L F' R' B U L2 F
B D B' L U2 B' L2
U F' D2 L B' U L
D2 F2 R U L B' U
R2 F2 R U L B U
L F2 R' B U L2 F
L2 F2 U' R F' U' L
F2 D2 R U L B' U
F' D2 U L B' U L
F D2 U L F B' U
F D2 U L B' F U
L B R2 U L2 F R
L' B D' B2 R2 F' R
U' B' R2 U' L' B' R'
L' B' D' R2 F' R B2
L' B' D' R2 F' B2 R
L' B' D' R2 B2 F' R
U' B2 R' U2 B U L'
