U2 R' F' U' L' F'
U2 L R' F' U' L' F'
R' L F B U' F L
R' L B F U' F L
U2 L' R' F' U' L' F'
L R' F B U' F L
L R' B F U' F L
B2 L' B' L2 U L' F2
U2 L2 R' F' U' L' F'
U2 R' L F' U' L' F'
U2 R' L' F' U' L' F'
U2 R' L2 F' U' L' F'
U2 R' D' L2 F' U' L'
U2 R' D' F' L2 U' L
U2 R' F' L U' L2 F'
U2 R' F' L U' F' L2
U2 R' F' L2 U' L F'
U2 R' F' L2 U' F' L
U2 R' F' U' L F' L2
U2 R' F' U' L' D F'
U2 R' F' U' L' D' F'
U2 R' F' U' L' D2 F'
U2 R' F' U' L' F' D
U2 R' F' U' L' F' D'
U2 R' F' U' L' F' D2
U2 R' F' U' L2 F' L
U2 R' F' U' D L' F'
U2 R' F' U' D' L' F'
U2 R' F' U' D2 L' F'
U2 R' F' D U' L' F'
U2 R' F' D' U' L' F'
U2 R' F' D2 U' L' F'
U2 R' F' B U' L' F'
U2 R' F' B' U' L' F'
U2 R' F' B2 U' L' F'
D R' B U' L F R
U2 R' B F' U' L' F'
F R' B U' F L R
F R' B U' F R L
U2 R' B' F' U' L' F'
U2 R' B2 F' U' L' F'
U2 D' L2 R' F' U' L'
U2 D' R' L2 F' U' L'
U2 D' R' F' L2 U' L
D' U2 L2 R' F' U' L'
D' U2 R' L2 F' U' L'
D' U2 R' F' L2 U' L
F2 U' B2 L F U R
F U2 R' F' U' L' F2
L F R' B U' F L
R' F B U' F L R
R' F B U' F R L
U F2 U R' F' U' L'
R' B U' L F R F
R' B U' F R F L
R' B F U' F L R
R' B F U' F R L
U' B2 L F U R F
L2 B2 L B' U L F2
L2 B2 L B' U F2 L
