F L B U' R B
F2 L D B R F' U'
F L D B U' R B
U L D' F B U' B
F L D' B U' R B
U L D' B F U' B
F' L D2 B R' U' R'
F2 L D2 B R U' R2
U L D2 F B R2 U'
F L D2 B U' R B
U L D2 B R2 F U'
U L D2 B F R2 U'
U L F D' B U' B
U L F D2 B R2 U'
U L F B U' D' B2
U L F B U2 L2 U
U L F B D' U' B2
U L F B D2 R2 U'
F2 L F' B U' R B
F2 L B R F' U' R
U2 L B U' D' B2 R'
F L B U' R D B
F L B U' R D' B
F L B U' R D2 B
F L B U' R B D
F L B U' R B D'
F L B U' R B D2
F L B U' D R B
F L B U' D' R B
F L B U' D2 R B
F L B U' B R B
F2 L B D R F' U'
F L B U' B' R B
F L B U' B2 R B
U2 L B D' U' B2 R'
F L B D U' R B
U L B U2 L2 B' U
F L B D' U' R B
F L B D2 U' R B
F2 L B F' U' R B
U L B D' F U' B2
U L B D2 R2 F U'
U L B D2 F R2 U'
U L B F U' D' B2
U L B F U2 L2 U
U L B F D' U' B2
U L B F D2 R2 U'
R2 L' F' U D F2 R
U L' U2 L2 F B U'
U L' U2 L2 B F U'
R2 L' F' D U F2 R
U L' D2 R2 F' B' U
U L' D2 R2 B' F' U
F L' B L2 U' R B
U L' B' U D L2 F2
U L' B' U D F2 L2
U L' B' U2 L2 B2 U'
U L' B' U2 B2 L2 U'
U L' B' D U L2 F2
U L' B' D U F2 L2
U L' B' D2 R2 F2 U
U L' B' D2 F2 R2 U
B2 L2 R' F L U R
L' R2 F' U D F2 R
L' R2 F' D U F2 R
B2 L2 F L R' U R2
B2 L2 F R' L U R2
F L2 B L' U' R B
B2 R' L2 F L U R
L' U2 L2 B U L U2
L' U2 B L2 U L' U2
L' U2 B L2 F2 U' R
L D' F B U' B R
L D' B F U' B R
L' D2 R2 F' U' L' U2
L' D2 F R2 F' U R'
L' D2 F2 R2 F' U R
L D2 F B R2 U' R'
L D2 B R2 F U' R
L D2 B F R2 U' R'
R' F L U' R B L
D' F L B U' R B
D2 F L B U' R B
D F L B U' R B
U F L F B R U'
U F L B F R U'
L' F U2 L2 B U' R
F2 D L B R F' U'
L' F U2 B L2 U' R
F D L B U' R B
L' F D2 R2 F' U R'
L F D' B U' B R
L F D2 B R2 U' R'
L F B U' R D' B2
L F B U' D' R B2
L F B U' D' B2 R
L F B U2 L2 U R
L F B D' U' R B2
L F B D' U' B2 R
L F B D2 R2 U' R'
F D' L B U' R B
U F2 L B R F U'
B D' F U' R F' B
B D' F U' R B F'
B D' F2 R U' F' R
F2 D2 L B R U' R2
F D2 L B U' R B
L F2 D2 B R2 U' R
B D2 F L' U' R B
L B U2 L2 B' U R'
L B U2 B' L2 U R'
L B D' F U' R B2
L B D' F U' B2 R
L B D2 R2 F U' R
L B D2 F R2 U' R'
L B F U' R D' B2
L B F U' D' R B2
L B F U' D' B2 R
L B F U2 L2 U R
L B F D' U' R B2
L B F D' U' B2 R
L B F D2 R2 U' R'
B F U' D' R F' B
B F U' D' R B F'
F B U' D' R F' B
F B U' D' R B F'
B F D' U' R F' B
B F D' U' R B F'
F B D' U' R F' B
F B D' U' R B F'
L' B2 U2 B' L2 U' R'
