B2 L U' L' B' R' U2
U2 L' R' B' L U' R
U2 L' U R' B' L U'
B' R U' L B R' U'
U2 R' L' B' L U' R
U2 R' U' D' R F' L'
D2 R' U2 F' R U R'
R U' B R2 U2 R U
R U' B' L R2 B2 U'
R U' B' L B2 R2 U'
R U' B' R2 L B2 U'
U2 R' D' U' R F' L'
U' R' B U2 R' U L
U' R' B' L U R' U2
U' R' B' L B2 U' L
R' U2 D2 F' R U R'
R' U2 F' B R' U R
B R2 U R F' U B
R' U2 B F' R' U R
B' U' L B R' U' L
R' D2 U2 F' R U R'
B2 U2 L F R U R'
U2 B R' U R B L
R B R2 U2 R U R'
R' B U2 F' R' U R
R B' U' L R2 B2 U'
R B' U' L B2 R2 U'
R B' U' R2 L B2 U'
L' B2 L U R' F' L'
