L R U L2 R B'
L R U L2 B' R
L R U R L2 B'
L2 R U L R B'
L2 R U L B' R
L2 R U R L B'
R L U L2 R B'
R L U L2 B' R
R L U R L2 B'
R2 L' U' R' U B'
L' R' D' R' F2 B'
L' R' D' R' B' F2
R' L' D' R' F2 B'
R' L' D' R' B' F2
L' R' D' F2 R' B'
R' L' D' F2 R' B'
L' R2 U' R' U B'
R L2 U L R B'
R L2 U L B' R
R L2 U R L B'
U' R U L' R B'
U' R U L' B' R
U' R U R L' B'
U2 R U L' B R
U R U L' R B
U R U R L' B
U R U R B L'
U R U R B L'
U2 R U B L' R
U2 R U B R L'
L' U' R U R B'
L' U' R U B' R
R2 U' R' U L' B'
R' D' L' R' F2 B'
R' D' L' R' B' F2
R' D' L' F2 R' B'
R' D' R' L' F2 B'
R' D' R' L' B' F2
L' B' R' D' R' F2
L' B' R' D' F2 R'
L' B' R2 U' R' U
L' B' U' R U R
R2 B' D L' F B'
R2 B' D L' B' F
R2 B2 L' D F2 B'
R2 B2 L' D B' F2
R2 B2 L' B' D F2
B' L R U L2 R B'
B' L R U L2 B' R
B' L R U R L2 B'
U2 L R U L2 B R
L2 R U L R D B'
L2 R U L R D' B'
L2 R U L R D2 B'
L2 R U L R B' D
L2 R U L R B' D'
L2 R U L R B' D2
B2 L R U L2 R B'
L2 R U L R' B' R2
B2 L R U L2 B' R
B2 L R U R L2 B'
U2 L R U B L2 R
U2 L R U B R L2
L2 R U L D R B'
L2 R U L D B' R
L2 R U L D' R B'
L2 R U L D' B' R
L2 R U L D2 R B'
L2 R U L D2 B' R
L2 R U L B R B2
L2 R U L B' R D
L2 R U L B' R D'
L2 R U L B' R D2
L2 R U L B' D R
L2 R U L B' D' R
L2 R U L B' D2 R
B L R U L2 R B'
B L R U L2 B' R
B L R U R L2 B'
L R U L2 R D B'
L R U L2 R D' B'
L R U L2 R D2 B'
L R U L2 R B' D
L R U L2 R B' D'
L R U L2 R B' D2
L R U L2 R' B' R2
U L R U L2 R B
U L R U R L2 B
U L R U R B L2
L R U L2 D R B'
L R U L2 D B' R
L R U L2 D' R B'
L R U L2 D' B' R
L R U L2 D2 R B'
L R U L2 D2 B' R
L R U L2 B R B2
L2 R U R L D B'
L2 R U R L D' B'
L2 R U R L D2 B'
L R U L2 B' R D
L R U L2 B' R D'
L R U L2 B' R D2
L2 R U R L B' D
L2 R U R L B' D'
L2 R U R L B' D2
L R U L2 B' D R
L R U L2 B' D' R
L R U L2 B' D2 R
L R U R L2 D B'
L R U R L2 D' B'
L R U R L2 D2 B'
L R U R L2 B' D
L R U R L2 B' D'
L R U R L2 B' D2
L R U R B L2 B'
L2 R U R' L B' R2
L R U R B' L2 B'
L R U R B2 L2 B'
L R U R' L2 B' R2
R L U L2 R D B'
R L U L2 R D' B'
R L U L2 R D2 B'
R L U L2 R B' D
R L U L2 R B' D'
R L U L2 R B' D2
R L U L2 R' B' R2
R L U L2 D R B'
R L U L2 D B' R
R L U L2 D' R B'
R L U L2 D' B' R
R L U L2 D2 R B'
R L U L2 D2 B' R
R L U L2 B R B2
R L U L2 B' R D
R L U L2 B' R D'
R L U L2 B' R D2
R L U L2 B' D R
R L U L2 B' D' R
R L U L2 B' D2 R
R L U R L2 D B'
R L U R L2 D' B'
R L U R L2 D2 B'
R L U R L2 B' D
R L U R L2 B' D'
R L U R L2 B' D2
R L U R B L2 B'
R L U R B' L2 B'
R L U R B2 L2 B'
R L U R' L2 B' R2
L R U B L2 R B'
L R U B L2 B' R
L R U B R L2 B'
D L R B2 U L2 B'
L R U B' L2 R B'
L R U B' L2 B' R
L R U B' R L2 B'
L R U B2 L2 R B'
L R U B2 L2 B' R
L R U B2 R L2 B'
R L U B L2 R B'
R L U B L2 B' R
R L U B R L2 B'
R L U B' L2 R B'
R L U B' L2 B' R
R L U B' R L2 B'
R L U B2 L2 R B'
R L U B2 L2 B' R
R L U B2 R L2 B'
R2 L U' R' U L2 B'
L R B U L2 R B'
L R B U L2 B' R
L R B U R L2 B'
R L B U L2 R B'
R L B U L2 B' R
R L B U R L2 B'
L' R B' R U' R' U
L' R B' R2 D' R' F2
L' R B' R2 D' F2 R'
L R B' U L2 R B'
L R B' U L2 B' R
L R B' U R L2 B'
R L B' U L2 R B'
R L B' U L2 B' R
R L B' U R L2 B'
L R B2 U L2 R B'
L R B2 U L2 B' R
L R B2 U R L2 B'
R L B2 U L2 R B'
R L B2 U L2 B' R
R L B2 U R L2 B'
R' L' U' R2 U R B'
R' L' U' R2 U B' R
L' R' U' R2 U R B'
L' R' U' R2 U B' R
R2 L' U' R' U D B'
R2 L' U' R' U D' B'
R2 L' U' R' U D2 B'
R2 L' U' R' U B' D
R2 L' U' R' U B' D'
R2 L' U' R' U B' D2
R2 L' U' R' D U B'
R2 L' U' R' D' U B'
R2 L' U' R' D2 U B'
R2 L' U' D R' U B'
R2 L' U' D' R' U B'
R2 L' U' D2 R' U B'
D L B2 R U L2 B'
R' L' D R' D2 F2 B'
R' L' D R' D2 B' F2
L' R' D R' D2 F2 B'
L' R' D R' D2 B' F2
R2 L' D U' R' U B'
D2 L' R' D' F2 R B'
D2 L' R' D' F2 B' R
D2 L' R' D' B' F2 R
B' L' R' D' R' F2 B'
B' L' R' D' R' B' F2
B' L' R' D' F2 R' B'
D L' R' D' R2 F2 B'
D L' R' D' R2 B' F2
B2 L' R' D' R' F2 B'
B2 L' R' D' R' B' F2
D L' R' D' F2 R2 B'
D L' R' D' F2 B' R2
D L' R' D' B' R2 F2
D L' R' D' B' F2 R2
B2 L' R' D' F2 R' B'
B L' R' D' R' F2 B'
B L' R' D' R' B' F2
B L' R' D' F2 R' B'
D2 L' R' B' D' F2 R
R' L' D' R F2 R2 B'
R' L' D' R F2 B' R2
R' L' D' R B' R2 F2
R' L' D' R B' F2 R2
L' R' D' R F2 R2 B'
L' R' D' R F2 B' R2
L' R' D' R B' R2 F2
L' R' D' R B' F2 R2
R' L' D' R' F2 D B'
R' L' D' R' F2 D' B'
R' L' D' R' F2 D2 B'
R' L' D' R' F2 B' D
R' L' D' R' F2 B' D'
R' L' D' R' F2 B' D2
R' L' D' R' B' F2 D
R' L' D' R' B' F2 D'
R' L' D' R' B' F2 D2
L' R' D' R' F2 D B'
L' R' D' R' F2 D' B'
L' R' D' R' F2 D2 B'
L' R' D' R' F2 B' D
L' R' D' R' F2 B' D'
L' R' D' R' F2 B' D2
L' R' D' R' B' F2 D
L' R' D' R' B' F2 D'
L' R' D' R' B' F2 D2
R' L' D' R2 B' R F2
L' R' D' R2 B' R F2
B' L' R2 U' R' U B'
U2 L' R2 U' R' U B
R' L' D' F R' F B'
R' L' D' F R' B' F
B2 L' R2 U' R' U B'
L' R' D' F R' F B'
L' R' D' F R' B' F
B L' R2 U' R' U B'
R' L' D' F2 R B' R2
R' L' D' F2 R' D B'
R' L' D' F2 R' D' B'
R' L' D' F2 R' D2 B'
R' L' D' F2 R' B' D
R' L' D' F2 R' B' D'
R' L' D' F2 R' B' D2
R' L' D' F2 R2 B' R
R' L' D' F2 D R' B'
R' L' D' F2 D' R' B'
R' L' D' F2 D2 R' B'
R2 L' D' U' R' U B'
L' R' D' F2 R B' R2
L' R' D' F2 R' D B'
L' R' D' F2 R' D' B'
L' R' D' F2 R' D2 B'
L' R' D' F2 R' B' D
L' R' D' F2 R' B' D'
L' R' D' F2 R' B' D2
L' R' D' F2 R2 B' R
L' R' D' F2 D R' B'
L' R' D' F2 D' R' B'
L' R' D' F2 D2 R' B'
R' L' D2 R' D F2 B'
R' L' D2 R' D B' F2
R' L' D2 R' B' D F2
L' R' D2 R' D F2 B'
L' R' D2 R' D B' F2
L' R' D2 R' B' D F2
F2 L' U R U2 R B'
F2 L' U R U2 B' R
R2 L' D2 U' R' U B'
B' L' U' R U R B'
B' L' U' R U B' R
U' L' U' R U B R
U2 L' U' R U R B
B2 L' U' R U R B'
B2 L' U' R U B' R
D L' U' R B2 U B
B L' U' R U R B'
R' L' F D' R' F2 B'
R' L' F D' R' B' F2
B L' U' R U B' R
F2 L' U' R2 B2 L B
R' L' F D' F2 R' B'
L' R' F D' R' F2 B'
L' R' F D' R' B' F2
L' R' F D' F2 R' B'
R2 L' F U' R' U B'
F2 L' U' B R2 B2 L
R' L' F' D' R' F2 B'
R' L' F' D' R' B' F2
R' L' F' D' F2 R' B'
L' R' F' D' R' F2 B'
L' R' F' D' R' B' F2
L' R' F' D' F2 R' B'
R2 L' F' U' R' U B'
R' L' F2 D' R' F2 B'
R' L' F2 D' R' B' F2
R' L' F2 D' F2 R' B'
L' R' F2 D' R' F2 B'
L' R' F2 D' R' B' F2
L' R' F2 D' F2 R' B'
R2 L' F2 U' R' U B'
F2 L' D' F2 U' B' L'
R2 L' B' L D L' F
R2 L' B' R' D' R F'
R L' B' R U' R' U
R L' B' R2 D' R' F2
R L' B' R2 D' F2 R'
R2 L' B' D L' F L
R2 L' B' D' R F' R'
R2 L' B2 U L U' B
R L2 U L R D B'
R L2 U L R D' B'
R L2 U L R D2 B'
R L2 U L R B' D
R L2 U L R B' D'
R L2 U L R B' D2
R L2 U L R' B' R2
R L2 U L D R B'
R L2 U L D B' R
R L2 U L D' R B'
R L2 U L D' B' R
R L2 U L D2 R B'
R L2 U L D2 B' R
R L2 U L B R B2
R L2 U L B' R D
R L2 U L B' R D'
R L2 U L B' R D2
R L2 U L B' D R
R L2 U L B' D' R
R L2 U L B' D2 R
R L2 U R L D B'
R L2 U R L D' B'
R L2 U R L D2 B'
R L2 U R L B' D
R L2 U R L B' D'
R L2 U R L B' D2
R L2 U R' L B' R2
D' L' F2 L' U' L B'
L' R2 U' R' U D B'
L' R2 U' R' U D' B'
L' R2 U' R' U D2 B'
L' R2 U' R' U B' D
L' R2 U' R' U B' D'
L' R2 U' R' U B' D2
L' R2 U' R' D U B'
L' R2 U' R' D' U B'
L' R2 U' R' D2 U B'
L' R2 U' D R' U B'
