U' L' R F B R'
U' L' R B R' F
U' L' R B F R'
U' L' F R B R'
B L' F R' D B2
U L' F B R' B2
U L' B R' F B2
U L' B R' B2 F
U L' B F R' B2
U' R L' F B R'
U' R L' B R' F
U' R L' B F R'
U' R B L' R' F
U' R B L' F R'
U' R B R' L' F
B U L' R' F B'
B U L' R' B' F
B U L' F R' B'
B U R' L' F B'
B U R' L' B' F
L' F B R' D B2
U B L' R' F B'
U B L' R' B' F
U B L' F R' B'
U B R' L' F B'
U B R' L' B' F
L' B F R' D B2
U B2 L' F B' R'
U B2 L' F B' R'
U B2 L' B' R' F
U B2 L' B' F R'
L' R F B R' D B2
U L F B' L U2 L
L' R B F R' D B2
U L B' L U2 L B'
U L B' F L U2 L
U' L' R F B R' D
U' L' R F B R' D'
U' L' R F B R' D2
U' L' R F B D R'
U' L' R F B D' R'
U' L' R F B D2 R'
U' L' R F' B R' F2
U' L' R B R F R2
U' L' R B R' D F
U' L' R B R' D' F
U' L' R B R' D2 F
U' L' R B R' F D
U' L' R B R' F D'
U' L' R B R' F D2
U' L' R B D R' F
U' L' R B D F R'
U' L' R B D' R' F
U' L' R B D' F R'
U' L' R B D2 R' F
U' L' R B D2 F R'
U' L' R B F R' D
U' L' R B F R' D'
U' L' R B F R' D2
U' L' R B F D R'
U' L' R B F D' R'
U' L' R B F D2 R'
U' L' R B F' R' F2
U L' R F B R' B2
U L' R B R' F B2
U L' R B R' B2 F
U L' R B F R' B2
B L' R' F U R U'
U L' R' F B R' B2
U L' R' B R' F B2
U L' R' B R' B2 F
U L' R' B F R' B2
U' L' R2 F R' B R'
U' L' R2 F B R' B
U' L' R2 B R' F B
U' L' R2 B R' B F
U' L' R2 B F R' B
U L' R2 F B R' B2
U L' R2 B R' F B2
U L' R2 B R' B2 F
U L' R2 B F R' B2
D L' U F L' U' B'
R' L' F B R' D B2
L' R' F B R' D B2
R2 L' F B R' D B2
R L' F B R' D B2
B L' D F R' D B2
R' L' B F R' D B2
L' R' B F R' D B2
B L' D' F R' D B2
R2 L' B F R' D B2
R L' B F R' D B2
U' L' D2 F' R F2 B
U' L' D2 F' R B F2
B L' D2 F R' D B2
U L' D2 F' R F2 B'
U L' D2 F' R B' F2
U L' D2 F' B' R F2
D L' F L' R U' L
U' L' F R B R' D
U' L' F R B R' D'
U' L' F R B R' D2
U' L' F R B D R'
U' L' F R B D' R'
U' L' F R B D2 R'
U L' D2 B' F' R F2
U' L' F R2 B R' B
D L' F R L' U' L
B L' F R' U R2 U'
B L' F R' D B2 D
B L' F R' D B2 D'
B L' F R' D B2 D2
B L' F R' B D B2
B L' F R' B' D B2
B L' F R' B2 D B2
B L' F U R U' R2
U L' F R B R' B2
U L' F R' B R' B2
U L' F R2 B R' B2
U' L' F B R B R2
B L' F D R' D B2
B L' F D' R' D B2
B L' F D2 R' D B2
B2 L' F B' R' D B2
U L' F B R B2 R2
U L' F B R' B2 D
U L' F B R' B2 D'
U L' F B R' B2 D2
U' L' F' R F2 B R'
U' L' F' R B R' F2
U L' F B R2 B2 R
U' L' F' R B F2 R'
U L' F B' U2 L U2
U' L' F2 R B R' F'
U L' F' B R' F2 B2
U L' F' B R' B2 F2
U' L' F2 D2 F' R B
B L' F2 D F' R' B
U L' F2 D2 F' R B'
U L' F2 D2 F' B' R
U' L' B R F B R2
U L' F2 D2 B' F' R
U' L' B R B R2 F
U' L' B R B F R2
U' L' B R' F D2 B2
F' L' B U R' F L'
F' L' B U F L' R'
F' L' B U F R' L'
U L' B R F R2 B2
U L' B R F B2 R2
U L' B R B2 R2 F
U L' B R B2 F R2
U L' B R' F B2 D
U L' B R' F B2 D'
U L' B R' F B2 D2
U L' B R' B2 D F
U L' B R' B2 D' F
U L' B R' B2 D2 F
U L' B R' B2 F D
U L' B R' B2 F D'
U L' B R' B2 F D2
U' L' B F R B R2
U L' B R2 B2 R F
U L' B F R B2 R2
U L' B F R' B2 D
U L' B F R' B2 D'
U L' B F R' B2 D2
U L' B F R2 B2 R
U L' B F' R' F2 B2
U L' B F' R' B2 F2
B2 L' B' F R' D B2
U L' B' F U2 L U2
L' R2 F B R' D B2
L' R2 B F R' D B2
R' U L' F B R' B2
R' U L' B R' F B2
R' U L' B R' B2 F
R' U L' B F R' B2
R2 U L' F B R' B2
R2 U L' B R' F B2
R2 U L' B R' B2 F
R2 U L' B F R' B2
R U L' F B R' B2
R U L' B R' F B2
R U L' B R' B2 F
R U L' B F R' B2
U' R L' F B R' D
U' R L' F B R' D'
U' R L' F B R' D2
U' R L' F B D R'
U' R L' F B D' R'
U' R L' F B D2 R'
U' R L' F' B R' F2
U' R L' B R F R2
U' R L' B R' D F
U' R L' B R' D' F
U' R L' B R' D2 F
U' R L' B R' F D
U' R L' B R' F D'
U' R L' B R' F D2
U' R L' B D R' F
U' R L' B D F R'
U' R L' B D' R' F
U' R L' B D' F R'
U' R L' B D2 R' F
U' R L' B D2 F R'
U' R L' B F R' D
U' R L' B F R' D'
U' R L' B F R' D2
U' R L' B F D R'
U' R L' B F D' R'
U' R L' B F D2 R'
U' R L' B F' R' F2
U R L' F B R' B2
U R L' B R' F B2
U R L' B R' B2 F
U R L' B F R' B2
D2 R U L' F' R B'
D2 R U L' F' B' R
D2 R U L' B' F' R
U' R U L' F B R'
U' R U L' B R' F
U' R U L' B F R'
B R U L' R2 F B'
B R U L' R2 B' F
B R U L' F R2 B'
B R U L' F B' R2
B R U L' B' R2 F
B R U L' B' F R2
B R U R2 L' F B'
B R U R2 L' B' F
U' R U B L' R' F
U' R U B L' F R'
U' R U B R' L' F
D2 R U' L' F' R B
U' R U' L' F B R'
U' R U' L' B R' F
U' R U' L' B F R'
R' U B L' R' F B'
R' U B L' R' B' F
R' U B L' F R' B'
R' U B R' L' F B'
R' U B R' L' B' F
U' R U' B L' R' F
U' R U' B L' F R'
U' R U' B R' L' F
R2 U B L' R' F B'
R2 U B L' R' B' F
R2 U B L' F R' B'
U' R U2 L' F B R'
U' R U2 L' B R' F
U' R U2 L' B F R'
R2 U B R' L' F B'
R2 U B R' L' B' F
R U B L' R' F B'
R U B L' R' B' F
R U B L' F R' B'
R U B R' L' F B'
R U B R' L' B' F
U' R U2 B L' R' F
U' R U2 B L' F R'
U' R U2 B R' L' F
L U B' L F U2 L
R' U B2 L' F B' R'
R' U B2 L' B' R' F
R' U B2 L' B' F R'
R2 U B2 L' F B' R'
R2 U B2 L' B' R' F
R2 U B2 L' B' F R'
R U B2 L' F B' R'
R U B2 L' B' R' F
R U B2 L' B' F R'
R' U' L' R F B R'
R' U' L' R B R' F
R' U' L' R B F R'
R' U' L' F R B R'
R2 U' L' R F B R'
R2 U' L' R B R' F
R2 U' L' R B F R'
R U' L' R F B R'
R U' L' R B R' F
R U' L' R B F R'
R2 U' L' F R B R'
R U' L' F R B R'
L U' L2 R F B R'
L U' L2 R B R' F
L U' L2 R B F R'
R' U' R L' F B R'
R' U' R L' B R' F
R' U' R L' B F R'
L' U' R U F B R'
L' U' R U B R' F
L' U' R U B F R'
L U' L2 F R B R'
R2 U' R L' F B R'
R2 U' R L' B R' F
R2 U' R L' B F R'
R' U' R B L' R' F
R' U' R B L' F R'
R' U' R B R' L' F
L U' R L2 F B R'
L U' R L2 B R' F
L U' R L2 B F R'
R U' R L' F B R'
R U' R L' B R' F
R U' R L' B F R'
R2 U' R B L' R' F
R2 U' R B L' F R'
R2 U' R B R' L' F
U' R B L' R F R2
U' R B L' R' D F
U' R B L' R' D' F
U' R B L' R' D2 F
U' R B L' R' F D
U' R B L' R' F D'
U' R B L' R' F D2
U' R B L' D R' F
U' R B L' D F R'
U' R B L' D' R' F
U' R B L' D' F R'
U' R B L' D2 R' F
R U' R B L' R' F
U' R B L' D2 F R'
R U' R B L' F R'
U' R B L' F R' D
U' R B L' F R' D'
U' R B L' F R' D2
U' R B L' F D R'
U' R B L' F D' R'
U' R B L' F D2 R'
U' R B L' F' R' F2
R U' R B R' L' F
U' R B R L' F R2
U' R B R' L' D F
U' R B R' L' D' F
U' R B R' L' D2 F
U' R B R' L' F D
U' R B R' L' F D'
U' R B R' L' F D2
U R B L' R' F B'
U R B L' R' B' F
U R B L' F R' B'
U R B R' L' F B'
U R B R' L' B' F
U R B2 L' F B' R'
U R B2 L' B' R' F
U R B2 L' B' F R'
B R' L' F U R U'
U R' L' F B R' B2
U R' L' B R' F B2
U R' L' B R' B2 F
U R' L' B F R' B2
D' R' B R' U L' B'
U R' B L' R' F B'
U R' B L' R' B' F
U R' B L' F R' B'
U R' B R' L' F B'
U R' B R' L' B' F
U R' B2 L' F B' R'
U R' B2 L' B' R' F
U R' B2 L' B' F R'
U' R2 L' F R' B R'
U' R2 L' F B R' B
U' R2 L' B R' F B
U' R2 L' B R' B F
U' R2 L' B F R' B
U R2 L' F B R' B2
U R2 L' B R' F B2
U R2 L' B R' B2 F
U R2 L' B F R' B2
B R2 U L' R F B'
B R2 U L' R B' F
B R2 U L' B' R F
B R2 U R L' F B'
B R2 U R L' B' F
B R2 U' L' R F B
B R2 U' L' R B F
B R2 U' R L' F B
B R2 U' R L' B F
B R2 U' R B L' F
U' R2 B L' R' F B
U' R2 B L' R' B F
U' R2 B L' F R' B
U' R2 B R' L' F B
U' R2 B R' L' B F
U' R2 B R' B L' F
U R2 B L' R' F B'
U R2 B L' R' B' F
U R2 B L' F R' B'
U R2 B R' L' F B'
U R2 B R' L' B' F
B' U L U2 L2 F B'
