F' U B U F L
B L R2 F U F' B
B L R2 F U B F'
B L F U D2 F' B2
B L F U D2 B2 F'
B L F U' F2 U2 F
B L F D' L2 U F'
B L F D2 U F' B2
B L F D2 U B2 F'
R2 L' U F' B' U' B2
R2 L' U B' F' U' B2
R2 L' F' B' U' F B2
R2 L' F' B' U' B2 F
B' L' D' R2 B D L2
R2 L' B U F' B2 U'
R2 L' B U B2 F' U'
R2 L' B' F' U' F B2
R2 L' B' F' U' B2 F
L' R2 U F' B' U' B2
L' R2 U B' F' U' B2
L' R2 F' B' U' F B2
L' R2 F' B' U' B2 F
L' R2 B U F' B2 U'
L' R2 B U B2 F' U'
L' R2 B' F' U' F B2
L' R2 B' F' U' B2 F
B' L2 D' R2 B' L B2
B' L2 D' B' L R2 B
B' L2 D' B' R2 L B
B' L2 D' B2 R2 B L
L' U R2 F' B' U' B2
L' U R2 B' F' U' B2
R2 U F' B' U' B2 L
R2 U F' B2 U' B' L
L' U B' U' D' R2 B
L' U B' D' U' R2 B
R2 U B' F' U' B2 L
R2 U B2 F' U' B' L
L U' F D' L2 B U
L U' F D' B L2 U
L U' F D2 B U B
L U' F B U D2 B2
L U' F B U' F2 U2
L U' F B D' L2 U
L U' F B D2 U B2
L U' B F U D2 B2
L U' B F U' F2 U2
L U' B F D' L2 U
L U' B F D2 U B2
B R2 L F U F' B
B R2 L F U B F'
L U2 F' U F2 B U
L U2 F' U B F2 U
F' R2 U' F' U' L' F2
B R2 F U F' B L
B R2 F U B L F'
B R2 F U B F' L
B R2 F' U F B L
B R2 F' U B F L
U R2 F' B' U' B2 L
U R2 F' B2 U' B' L
B R2 F2 U F2 B L
B R2 F2 U B L F2
B R2 F2 U B F2 L
U R2 B' F' U' B2 L
U R2 B2 F' U' B' L
F' U D B U F L
F' U D' B U F L
F' U D2 B U F L
F' U F' B U L F2
F' U F' B U F2 L
F' U F2 B U L F'
F' U F2 B U F' L
F' U B R U F L
F' U B R' U F L
F' U B R2 U F L
F' U B U D F L
F' U B U D' F L
F' U B U D2 F L
F' U B U F L D
F' U B U F L D'
F' U B U F L D2
F' U B U F D L
F' U B U F D' L
F' U B U F D2 L
F' U B U F' L F2
F' U B U F2 L F'
F' U B D U F L
F' U B D' U F L
F' U B D2 U F L
F' U B F' U L F2
F' U B F' U F2 L
F' U B F2 U L F'
F' U B F2 U F' L
L2 D' B' L D' R2 B
L2 D' B' D' L R2 B
L2 D' B' D' R2 L B
F' U2 F U' B U L
L F D' L2 B U F'
U' F B U' R F2 U2
U' F B U' F2 U2 L'
L F D' B L2 U F'
L F D2 B U F' B
L F D2 B U B F'
F' D U B U F L
L F B U D2 F' B2
L F B U D2 B2 F'
L F B U' F2 U2 F
L F B D' L2 U F'
L F B D2 U F' B2
L F B D2 U B2 F'
D2 F' U B U F L
D' F' U B U F L
U2 F' U F' B U L'
U2 F' U B F' U L'
D F' U B U F L
B' D' L' R2 B D L2
L F' U F2 B U F'
R2 F' U' F' L' F2 B
R2 F' U' F' L' B F2
L F' U B F2 U F'
R2 F' U' F' B L' F2
R2 F' U' B F' L' F2
B' D' R2 L' B D L2
F' D' U B U F L
U' F2 B U' F U2 L'
F' D2 U B U F L
R2 B L' U F' B' U'
R2 B L' U B' F' U'
F D2 B U F' B L
F D2 B U B L F'
F D2 B U B F' L
L B R2 F U F' B
L B R2 F U B F'
R2 B U F' B U' L
R2 B U B F' U' L
U2 B U' F' B' R' U2
U2 B U' B' F' R' U2
U B U' F' U2 F L
U' B F U' R F2 U2
U' B F U' F2 U2 L'
U' B F2 U' F U2 L'
L B F U D2 F' B2
L B F U D2 B2 F'
L B F U' F2 U2 F
L B F D' L2 U F'
L B F D2 U F' B2
L B F D2 U B2 F'
F2 B U' F R U2 F
B F U' F2 U2 F L'
F B U' F2 U2 F L'
L2 B' D' R2 B' L B2
L2 B' D' B' L R2 B
L2 B' D' B' R2 L B
L2 B' D' B2 R2 B L
B F2 U' F R U2 F
