B L U' B R U' F
F2 L D F L2 B' R'
B2 L D' R F' U' F2
D L F D' L B' R'
L' R B2 U B U2 R'
B2 L' R U B' L U2
R L' B2 U B U2 R'
B2 L2 D2 R U' F' R
B2 R L' U B' L U2
L U' R B2 U' F R
B' R B' L U' R2 F
B' R B' L U' F R2
U2 R' D F' L2 B2 R'
L U' B2 R U' F R
U2 R' F' D L2 B2 R'
L F D L2 B' R' B
L F D B' L2 R' B
L F D B' R' L2 B
L F D B' R' B L2
B2 D' L R F' U' F2
B2 D' R L F' U' F2
B2 D' R F' L U' F
L' B' R B' U' R2 F'
D' B' R' D B2 L F
L B' R B' U' R2 F
L B' R B' U' F R2
L' B' U' R B' U' R2
R B2 L' U B' L U2
U B2 R U2 B R' U
L2 B2 D2 R U' F' R
L B2 D' R F' U' F2
