B2 U' R F U2
B2 L2 U' R U2 B'
B2 L2 F2 U B' L'
U' R D L2 U2 B'
U' R D F L2 U2
U' R D' F U2 R2
U' R F U B2 U
U' R F U2 D' R2
U' R F D L2 U2
U' R F D' U2 R2
F2 U L' D' R2 B
U' D L2 R U2 B'
U' D R L2 U2 B'
U' D R F L2 U2
F2 U D' L' R2 B
F2 U D' R2 L' B
F2 U D' R2 B L'
D U' L2 R U2 B'
D U' R L2 U2 B'
D U' R F L2 U2
B2 U' R D F U2
B2 U' R D' F U2
B2 U' R D2 F U2
B2 U' R F U2 D
B2 U' R F U2 D'
B2 U' R F U2 D2
B2 U' R F D U2
B2 U' R F D' U2
B2 U' R F D2 U2
B2 U' R' F R2 U2
B2 U' R2 F R' U2
B2 U' D R F U2
B2 U' D' R F U2
B2 U' D2 R F U2
R F U R' B2 U
B2 D U' R F U2
F2 D' U L' R2 B
F2 D' U R2 L' B
F2 D' U R2 B L'
B2 D' U' R F U2
D' F2 U L' R2 B
D' F2 U R2 L' B
D' F2 U R2 B L'
D' F2 U R2 B L'
L2 F2 B2 U L' B
L2 F2 B2 U B L'
B2 D2 U' R F U2
L2 B2 F2 U L' B
L2 B2 F2 U B L'
L2 R U R' B2 U B
F2 L U L2 D' R2 B
D' L U R2 B2 L B'
D L U' L R U2 B'
D L U' R L U2 B'
B2 L U' D2 R F' U2
B2 L D F2 U L' B'
B2 L D2 U' R F' U2
B2 L F2 L U B' L2
B2 L F2 U L B' L2
R2 L B2 R2 U L B'
F2 L F2 B2 U L2 B'
F2 L B2 U' F' U2 L2
F2 L B2 F2 U L2 B'
R2 L' D' R2 F2 L' B'
F2 L' R2 D' F2 B R2
F2 L' R2 D' B R2 F2
F2 L' R2 D' B F2 R2
U' L' D' R U2 R B
F2 L' D' R2 D' F2 B
F2 L' D' R2 D' B F2
F2 L' D' R2 B D' F2
R L2 U R' B2 U B
B2 L' F2 L U L2 B'
B2 L' F2 L2 U L B'
L' R2 D' R2 F2 L' B'
L2 R2 D' R2 F2 B' L'
L2 R2 D' R2 B' F2 L'
R2 L2 D' R2 F2 B' L'
R2 L2 D' R2 B' F2 L'
U' L2 R U B2 U B
U' L2 R U2 D' R2 B'
U' L2 R U2 D' B' R2
U' L2 R D L2 F U2
D L2 R U R' U B'
U' L2 R D' U2 R2 B'
U' L2 R D' U2 B' R2
F2 L2 U L D' R2 B
D' L2 U R2 B2 L B
F2 L2 U D' L R2 B
F2 L2 U D' R2 L B
D' L2 U B R2 B2 L
B2 L2 U F2 B' L' F2
B2 L2 U B' U2 R U2
B2 L2 U B' F2 L' F2
D' L2 U' R U2 R B'
D' L2 U' R U2 B' R
B2 L2 U' R U2 D B'
B2 L2 U' R U2 D' B'
B2 L2 U' R U2 D2 B'
B2 L2 U' R U2 B' D
B2 L2 U' R U2 B' D'
B2 L2 U' R U2 B' D2
B2 L2 U' R D U2 B'
B2 L2 U' R D' U2 B'
B2 L2 U' R D2 U2 B'
B2 L2 U' R F U2 B'
B2 L2 U' R F' U2 B'
B2 L2 U' R F2 U2 B'
B2 L2 U' D R U2 B'
B2 L2 U' D' R U2 B'
B2 L2 U' D2 R U2 B'
B2 L2 U' F2 U2 B' L'
D2 L2 U2 F2 U' B' L'
U' L2 D L2 R F U2
U' L2 D R L2 F U2
B2 L2 D U' R U2 B'
B2 L2 D F2 U B' L'
L R2 B2 R2 U L B'
U' L2 D' R U2 R B'
U' L2 D' R U2 B' R
F2 L2 D' U L R2 B
F2 L2 D' U R2 L B
B2 L2 D' U' R U2 B'
B2 L2 D' F2 U B' L'
