R' U F' U R' F'
R' L U F' U R' F2
R' L U F' U F2 R'
U2 L R' F' R' D' L2
U2 L R' F' D' L2 R'
U2 L R' F' D' R' L2
L R U' B U' R F
R L U' B U' R F
F L R2 D' F L' B
F L R2 D' F B L'
F L R2 D' B F L'
R' L U2 R' D' F L'
L R U2 R D' F L'
F L R2 B D' F L'
R L U2 R D' F L'
R' L U2 F R' D' L2
R' L U2 F D' L2 R'
R' L U2 F D' R' L2
F L U' R2 F B L
F L U' R2 B F L
L' R B' U' B2 U' R
L' R B' U2 R D L2
L' R B' U2 D L2 R
L' R B' U2 D R L2
L' R B' D U2 L2 R
L' R B' D U2 R L2
L' R B' D' R2 U2 R'
L R' U F' U R' F2
L R' U F' U F2 R'
L R' U2 R' D' F L'
L R' U2 F R' D' L2
L R' U2 F D' L2 R'
L R' U2 F D' R' L2
R L' B' U' B2 U' R
R L' B' U2 R D L2
R L' B' U2 D L2 R
R L' B' U2 D R L2
R L' B' D U2 L2 R
R L' B' D U2 R L2
R L' B' D' R2 U2 R'
D2 L2 U F' U L' F
R U R2 F' U R' F'
R' U D F' U R' F'
R' U D' F' U R' F'
R' U D2 F' U R' F'
R' U F' U R' D F'
R' U F' U R' D' F'
R' U F' U R' D2 F'
R' U F' U R' F' D
R' U F' U R' F' D'
R' U F' U R' F' D2
R' U F' U D R' F'
R' U F' U D' R' F'
R' U F' U D2 R' F'
R' U F' U F R' F'
R' U F' U F' R' F'
R' U F' U F2 R' F'
R' U F' D U R' F'
R' U F' D' U R' F'
R' U F' D2 U R' F'
L2 U F' U L' R2 F
L2 U F' U L' F R2
L2 U F' U R2 L' F
L U F' U L' R2 F2
L U F' U L' F2 R2
L U F' U R2 L' F2
U2 R' L F' R' D' L2
U2 R' L F' D' L2 R'
U2 R' L F' D' R' L2
B' R' U F' U R' F'
B2 R' U F' U R' F'
B R' U F' U R' F'
L U' B U' R2 F L
L U' B U' F L R2
L U' B U' F R2 L
R U' B U' R' F' R2
L' U2 L2 R2 D F L'
U R' F' U L' R' F'
U R' F' U R' L' F'
R' U2 R' D' F L' F2
R' U2 R' F2 D' F L'
L' U2 R2 L2 D F L'
R' U2 F R' D' L2 F'
R' U2 F R' D' F' L2
F R2 L D' F L' B
F R2 L D' F B L'
F R2 L D' B F L'
R' U2 F D' L2 R' F'
R' U2 F D' R' L2 F'
R' U2 F D' R' F' L2
F R2 L B D' F L'
R' U2 F2 R' F' D' L2
F R2 D B' L F B2
F R2 D B' L B2 F
F R2 D' L F L' B
F R2 D' L F B L'
F R2 D' L B F L'
F R2 D' B L F L'
F R2 B L D' F L'
F R2 B D' L F L'
R' D U F' U R' F'
F R2 B2 D B' L F
R' D' U F' U R' F'
R' D2 U F' U R' F'
L F R2 D B' L B2
L F R2 B2 D B' L
U' F' L' B U' L R2
U' F' L' B U' R2 L
U F' R' U L' R' F'
U F' R' U R' L' F'
U F' U L' R' F' R'
U F' U R' L' F' R'
U F' U R2 D2 L' F
L F' U' F2 R2 B L
U' F' B L' U' L2 R2
U' F' B L' U' R2 L2
U F' B' R' U L' R'
U F' B' R' U R' L'
L F2 U F' L' R2 B
L F2 U F' R2 L' B
L F2 U F' R2 B L'
L F2 U' F' R2 B L
U' B U L F R2 B
U' B U' L R' F' R'
U' B U' R' L F' R'
U' B U' R' F' L R'
U' B U' R' F' R' L
U' B F' L' U' L2 R2
U' B F' L' U' R2 L2
L' B' R U' B U' R
L' B' R' U F' U R'
U' B' U R' U2 R' F'
L' B' U F' U L' R2
L' B' U F' U R2 L'
U B' R' F' U L' R'
U B' R' F' U R' L'
L' B' U' B U' L R2
L' B' U' B U' R2 L
R B' D' R2 U2 R' F'
R' B2 L U F' U F2
R' B2 L U2 F D' L2
U B' F' R' U L' R'
U B' F' R' U R' L'
