L' R F' R D2 B2
L R F' R B' L2
L' R F' D2 R B2
L' R F' D2 B2 R
R L F' R B' L2
L R F' B' L2 R
L R F' B' R L2
R L F' B' L2 R
R L F' B' R L2
L R B' L2 F' R
R L B' L2 F' R
L R B' F' L2 R
L R B' F' R L2
R L B' F' L2 R
R L B' F' R L2
D2 L' R' F B R'
D2 L' R' B R' F
D2 L' R' B F R'
R L' F' R D2 B2
R L' F' D2 R B2
R L' F' D2 B2 R
D2 L' F R' B R'
F L' F R U2 F'
D2 L' F B R' B
D2 L' B R' F B
D2 L' B R' B F
D2 L' B F R' B
D2 R' L' F B R'
D2 R' L' B R' F
D2 R' L' B F R'
D2 R' B L' R' F
D2 R' B L' F R'
D2 R' B R' L' F
L' F' R D2 F' B2
L' F' R D2 B2 F'
L F' R F' B' L2
L F' R B' L2 F'
L F' R B' F' L2
L F' B' L2 R F'
L F' B' R L2 F'
L F' B' R F' L2
D2 B L' R' F B
D2 B L' R' B F
D2 B L' F R' B
D2 B R' L' F B
D2 B R' L' B F
D2 B R' B L' F
L B' L2 R F' R
L B' L2 F' R F'
L B' R L2 F' R
L B' R F' L2 R
L B' R F' R L2
L B' F' L2 R F'
L B' F' R L2 F'
L B' F' R F' L2
F2 L R U2 F' B' R'
F2 L R U2 B' F' R'
F' L R D2 F' B' L
F' L R D2 B' L F'
F' L R D2 B' F' L
F' L R F B' L' F2
B' L R F' R B' L2
U' L R F' R B' L2
B' L R F' B' L2 R
B' L R F' B' R L2
U2 L R F' R B' L2
U' L R F' B' L2 R
U' L R F' B' R L2
B2 L R F' R B' L2
U2 L R F' B' L2 R
U2 L R F' B' R L2
B2 L R F' B' L2 R
B2 L R F' B' R L2
B L R F' R B' L2
B' L R B' L2 F' R
B L R F' B' L2 R
B L R F' B' R L2
U' L R B' L2 F' R
B' L R B' F' L2 R
B' L R B' F' R L2
U L R F' R B' L2
F' L R B' F L' F2
U2 L R B' L2 F' R
U' L R B' F' L2 R
U' L R B' F' R L2
L R U F' R B' L2
B2 L R B' L2 F' R
U L R F' B' L2 R
U L R F' B' R L2
U2 L R B' F' L2 R
U2 L R B' F' R L2
L R U F' B' L2 R
L R U F' B' R L2
B2 L R B' F' L2 R
B2 L R B' F' R L2
B L R B' L2 F' R
B L R B' F' L2 R
B L R B' F' R L2
U L R B' L2 F' R
R L U F' R B' L2
L R U B' L2 F' R
U L R B' F' L2 R
U L R B' F' R L2
R L U F' B' L2 R
R L U F' B' R L2
L R U B' F' L2 R
L R U B' F' R L2
R L U B' L2 F' R
R L U B' F' L2 R
R L U B' F' R L2
L R U' F' R B' L2
L R U' F' B' L2 R
L R U' F' B' R L2
R L U' F' R B' L2
L R U' B' L2 F' R
R L U' F' B' L2 R
R L U' F' B' R L2
L R U' B' F' L2 R
L R U' B' F' R L2
L2 R U2 L F' R B
R L U' B' L2 F' R
R L U' B' F' L2 R
R L U' B' F' R L2
L' R U2 F L' U2 F2
L' R U2 F U2 F2 R
L2 R U2 F' L R B
L2 R U2 F' R L B
L R U2 F' R B' L2
L R U2 F' B' L2 R
L R U2 F' B' R L2
R L U2 F' R B' L2
L R U2 B' L2 F' R
R L U2 F' B' L2 R
R L U2 F' B' R L2
L R U2 B' F' L2 R
L R U2 B' F' R L2
R L U2 B' L2 F' R
R L U2 B' F' L2 R
R L U2 B' F' R L2
L' R F L' U2 L F2
L' R F L' U2 F2 L
L' R F' R U2 F2 U2
L' R F' R D2 B2 D
L' R F' R D2 B2 D'
L' R F' R D2 B2 D2
L' R F' R B D2 B2
L' R F' R B' D2 B2
L' R F' R B2 D2 B2
L2 R F' L' R B' L2
L2 R F' L' B' L2 R
L2 R F' L' B' R L2
L' R F' R2 D2 R' B2
L2 R F' R L' B' L2
L R F' R B L2 B2
L R F' R B' L2 D
L R F' R B' L2 D'
L R F' R B' L2 D2
L R F' R B2 L2 B
L R F' R' B' L2 R2
L R F' R' B' R2 L2
R L F' R B L2 B2
R L F' R B' L2 D
R L F' R B' L2 D'
R L F' R B' L2 D2
R L F' R B2 L2 B
L' R F' U2 F2 L' U2
R L F' R' B' L2 R2
R L F' R' B' R2 L2
L' R F' D' R D' B2
L' R F' D2 R B2 D
L' R F' D2 R B2 D'
L' R F' D2 R B2 D2
L' R F' D2 R' B2 R2
L' R F' D2 B' R B'
L' R F' D2 B2 R D
L' R F' D2 B2 R D'
L' R F' D2 B2 R D2
L' R F' D2 B2 D R
L' R F' D2 B2 D' R
L' R F' D2 B2 D2 R
L' R F' B R D2 B2
L' R F' B D2 R B2
L' R F' B D2 B2 R
L' R F' B' R D2 B2
L' R F' B' D2 R B2
L' R F' B' D2 B2 R
L' R F' B2 R D2 B2
L' R F' B2 D2 R B2
L' R F' B2 D2 B2 R
L R F' B L2 R B2
L R F' B L2 B2 R
L R F' B R L2 B2
L R F' B R B2 L2
L R F' B' L2 R D
L R F' B' L2 R D'
L R F' B' L2 R D2
L R F' B' L2 D R
L R F' B' L2 D' R
L R F' B' L2 D2 R
L R F' B' R L2 D
L R F' B' R L2 D'
L R F' B' R L2 D2
R L F' B L2 R B2
L R F' B2 L2 B R
R L F' B L2 B2 R
R L F' B R L2 B2
R L F' B R B2 L2
R L F' B' L2 R D
R L F' B' L2 R D'
R L F' B' L2 R D2
R L F' B' L2 D R
R L F' B' L2 D' R
R L F' B' L2 D2 R
R L F' B' R L2 D
R L F' B' R L2 D'
R L F' B' R L2 D2
L' R F2 R F R B
R L F' B2 L2 B R
L' R F2 R2 F B R
L' R F2 R2 B F R
L R B L2 F' R B2
L R B L2 F' B2 R
L R B L2 B2 F' R
R L B L2 F' R B2
R L B L2 F' B2 R
R L B L2 B2 F' R
L' R B F' R D2 B2
L' R B F' D2 R B2
L' R B F' D2 B2 R
B' L F' R F' B' L2
B' L F' R B' L2 F'
B' L F' R B' F' L2
U2 L F' R F' B' L2
U2 L F' R B' L2 F'
U2 L F' R B' F' L2
U' L F' R F' B' L2
B2 L F' R F' B' L2
U' L F' R B' L2 F'
U' L F' R B' F' L2
B2 L F' R B' L2 F'
B2 L F' R B' F' L2
