D L' B' U F L
L' R D2 F' R B' U
L' R D2 F' B' R U
L' R D2 B' F' R U
B' L D' F U' L' B2
B' L D' F U' B2 L'
L' R F' B R' B2 U
L' R F' B' U2 L U'
L' R B F' R' B2 U
L' R B' F' U2 L U'
U2 L' R F' B R' U
B2 L' R F' B' R' U
B L' R F' R2 B' U
U2 L' R B F' R' U
B L' R F' B' R2 U
D L' R B' U F L
B2 L' R B' F' R' U
B L' R B' F' R2 U
D L' R' B' U F L
B L' R' B' U D L2
B L' R' B' U2 B2 U'
B L' R' B' D U L2
B L' R' B' D2 F2 U
B2 L' R2 B' R' F' U
D L' R2 B' U F L
R L' D2 F' R B' U
R L' D2 F' B' R U
R L' D2 B' F' R U
R L' F' B R' B2 U
R L' F' B' U2 L U'
B L' D R' B' U L
B' L' D B' U L F2
B' L' D B' U F2 L
B2 L' D B' R' U L
R2 L' B R' F' B2 U
R2 L' B R' B2 F' U
R L' B F' R' B2 U
R' L' B' U2 L B2 U'
L' R' B' U2 L B2 U'
D L' D2 B' U F L'
R L' B' F' U2 L U'
D2 L' F B' U2 L' U'
D2 L' F' R F2 B' U
D2 L' F' R B' F2 U
D2 L' F' B' R F2 U
D L' F' B' U L F2
D L' F' B' U F2 L
D L' F2 B' U L F'
D L' F2 B' U F' L
B2 L' B' R F' R2 U
B2 L' B' R' U2 B U'
D L' B' R U F L
D L' B' R' U F L
D L' B' R2 U F L
D L' B' U D F L
D L' B' U D' F L
D L' B' U D2 F L
D L' B' U F L D
D L' B' U F L D'
D L' B' U F L D2
D L' B' U F D L
D L' B' U F D' L
D L' B' U F D2 L
D L' B' U F' L F2
D L' B' U F2 L F'
D2 L' B' F U2 L' U'
D2 L' B' F' R F2 U
D L' B' D U F L
D L' B' D' U F L
D L' B' D2 U F L
D L' B' F' U L F2
D L' B' F' U F2 L
D L' B' F2 U L F'
D L' B' F2 U F' L
L' R2 B R' F' B2 U
L' R2 B R' B2 F' U
B2 R L' F' B' R' U
U2 R L' F' B R' U
U2 R L' B F' R' U
B2 R L' B' F' R' U
B R L' F' R2 B' U
B R L' F' B' R2 U
D R L' B' U F L
B R L' B' F' R2 U
U2 R B L' F' R' U
D R' L' B' U F L
B R' L' B' U D L2
B R' L' B' U2 B2 U'
B R' L' B' D U L2
B R' L' B' D2 F2 U
B2 R2 L' B' R' F' U
D R2 L' B' U F L
R D L' F' B' U F2
R D L' B' F' U F2
L' D B' U L' F L2
R D2 L' F' R B' U
R D2 L' F' B' R U
R D2 L' B' F' R U
B2 D L' B' R' U L
B D L' R' B' U L
B D R' L' B' U L
B2 D2 L' F B' R' U
B2 D2 L' B' R' F U
B2 D2 L' B' F R' U
B D2 L' R' F B' U
B D2 L' R' B' F U
B D2 L' F R' B' U
B D2 R' L' F B' U
B D2 R' L' B' F U
R2 B L' R' F' B' U
R2 B L' R' B' F' U
L' B R F' R2 B2 U
L' B R F' B2 R2 U
L' B R B2 F' R2 U
R B L' F' R' B' U
L' B R' B2 U2 B' U'
R2 B R' L' F' B' U
R2 B R' L' B' F' U
D B' L' B' U F L2
L' B' R F' U2 L U'
L' B' R' U2 L B U'
L' B' U2 D2 L B' U'
L' B' D2 U2 L B' U'
R2 B2 L' B' R' F' U
R B2 L' F' B' R' U
R B2 L' B' F' R' U
