B U' L R2 B'
B U' L B' R2
B U' R2 L B'
B R U' L R B'
B R U' L B' R
B R U' R L B'
B R' U' L R' B'
B R' U' R' L B'
B U L B' R2 F'
B2 U' L R2 B' L
B2 U' L B' L R2
B2 U' L B' R2 L
B U' L R B' R
B U' L R2 D B'
B U' L R2 D' B'
B U' L R2 D2 B'
B U' L R2 B' D
B U' L R2 B' D'
B U' L R2 B' D2
B U' L B R2 B2
B U' L B' R2 D
B U' L B' R2 D'
B U' L B' R2 D2
B U' R L B' R
B2 U' R2 L B' L
B2 U' R2 B' L B'
B U' R2 L D B'
B U' R2 L D' B'
B U' R2 L D2 B'
B U' R2 L B' D
B U' R2 L B' D'
B U' R2 L B' D2
B2 U' B' L R2 B'
B2 U' B' L B' R2
B2 U' B' R2 L B'
B' U' B2 L R2 B'
B' U' B2 L B' R2
B' U' B2 R2 L B'
D' F2 B R' U' L
D' B R' F2 U' L
R B U' L R B'
R B U' L B' R
R B U' R L B'
F' B U' L R2 B'
F' B U' L B' R2
F' B U' R2 L B'
D' B F2 R' U' L
F2 B U' L R2 B'
F2 B U' L B' R2
F2 B U' R2 L B'
B F U' L R2 B'
B F U' L B' R2
B F U' R2 L B'
F B U' L R2 B'
F B U' L B' R2
F B U' R2 L B'
B F' U' L R2 B'
B F' U' L B' R2
B F' U' R2 L B'
B F2 U' L R2 B'
B F2 U' L B' R2
B F2 U' R2 L B'
U' L R2 U' F U B'
U' L R2 B' U' F U
B2 L R2 B' L D F2
B L R2 B' U L' U'
U' L U' F U R2 B'
U' L U' F U B' R2
U' L F U F' R2 B'
U' L F U F' B' R2
U' L F U B' F' R2
R2 L B L B2 D F2
U2 L F' U R2 B' L'
U2 L F' U B' L' R2
U2 L F' U B' R2 L'
B2 L B' L R2 D F2
U' L B' R2 U' F U
B2 L B' R2 L D F2
B L B' R2 U L' U'
U' L B' U' F U R2
B L B' U L' U' R2
U' L' R2 B D L2 B'
U' L' B R2 D L2 B'
B' L2 R2 D F2 L' B'
U' L2 R2 D' L' B' L
B L2 R2 D L' F2 B'
B L2 R2 D L' B' F2
L R2 B L B2 D F2
B2 R U' L R B' L
B2 R U' L B' L R
B2 R U' L B' R L
B2 R U' R L B' L
B2 R U' R B' L B'
B R U' L R D B'
B R U' L R D' B'
B R U' L R D2 B'
B R U' L R B' D
B R U' L R B' D'
B R U' L R B' D2
B R U' L R' B' R2
B R U' L D R B'
B R U' L D B' R
B R U' L D' R B'
B R U' L D' B' R
B R U' L D2 R B'
B R U' L D2 B' R
B R U' L B R B2
B R U' L B' R D
B R U' L B' R D'
B R U' L B' R D2
B R U' L B' D R
B R U' L B' D' R
B R U' L B' D2 R
B R U' R L D B'
B R U' R L D' B'
B R U' R L D2 B'
B R U' R L B' D
B R U' R L B' D'
B R U' R L B' D2
B R U' R' L B' R2
B2 R U' B' L R B'
B2 R U' B' L B' R
B2 R U' B' R L B'
R2 U' L F U F' B'
R2 U' L F U B' F'
D' R F2 B R' U' L
D' R B R' F2 U' L
F' R B U' L R B'
F' R B U' L B' R
F' R B U' R L B'
F2 R B U' L R B'
F2 R B U' L B' R
F2 R B U' R L B'
D' R B F2 R' U' L
F R B U' L R B'
F R B U' L B' R
F R B U' R L B'
B2 R B' U' L R B'
B2 R B' U' L B' R
B2 R B' U' R L B'
B2 R' U' L R' B' L
B2 R' U' R' L B' L
B2 R' U' R' B' L B'
B R' U' L R B' R2
B R' U' L R' D B'
B R' U' L R' D' B'
B R' U' L R' D2 B'
B R' U' L R' B' D
B R' U' L R' B' D'
B R' U' L R' B' D2
B R' U' L R2 B' R
B R' U' L D R' B'
B R' U' L D' R' B'
B R' U' L D2 R' B'
B R' U' R L B' R2
B R' U' R' L D B'
B R' U' R' L D' B'
B R' U' R' L D2 B'
B R' U' R' L B' D
B R' U' R' L B' D'
B R' U' R' L B' D2
B R' U' R2 L B' R
B R' U' D2 L R' B
B R' U' D2 R' L B
B R' D2 U' L R' B
B R' D2 U' R' L B
B R' F U' L R' B'
B R' F U' R' L B'
B R' F' U' L R' B'
B R' F' U' R' L B'
D' R' F2 B R' U' L
B R' F2 U' L R' B'
B R' F2 U' R' L B'
D' R' B R' F2 U' L
D' R' B F2 R' U' L
U' R2 L U' F U B'
U' R2 L B' U' F U
B2 R2 L B' L D F2
B R2 L B' U L' U'
U' R2 L' B D L2 B'
B' R2 L2 D F2 L' B'
U' R2 L2 D' L' B' L
B R2 L2 D L' F2 B'
B R2 L2 D L' B' F2
U' R2 U B U' L B'
D' R2 F2 B R' U' L
D' R2 B R' F2 U' L
D' R2 B F2 R' U' L
B' U L R' U2 R' B'
B2 U L U2 R2 B' L
B2 U L U2 B' L R2
B2 U L U2 B' R2 L
B' U L' R' F U2 R'
