F L D' L2 B' U F
F' L' U F2 B' U F'
F' L' U B' F2 U F'
F L' D2 B' U F B'
F L' D2 B' U B' F
F L' B' U D2 F B2
F L' B' U D2 B2 F
F L' B' U' F2 U2 F'
F L' B' D2 U F B2
F L' B' D2 U B2 F
F U' L' F2 U2 F' R
F U' F' L' F' U2 F2
R2 F L' B' U F B2
R2 F L' B' U B2 F
U' F U D2 R F' B2
U' F U D2 R B2 F'
U' F U D2 B2 R F'
U' F U' F2 L' U2 F
U' F D2 U R F' B2
U' F D2 U R B2 F'
U' F D2 U B2 R F'
U' F' L' U F2 U F'
U' F' L' U2 D' F L2
U' F' L' D R2 U2 F
U' F' L' D' U2 F L2
L F' D' B' L2 U2 L'
L' B' R2 U F B L
L' B' R2 U B F L
L' B' U' F' U2 L' F2
