F L' U' L2 R2
F L' U' R2 L2
U' L R D R F'
F L R2 D F2 B2
F L R2 D B2 F2
F L' U' L2 R2 D
F L' U' L2 R2 D'
F L' U' L2 R2 D2
F L' U' R2 L2 D
F L' U' R2 L2 D'
F L' U' R2 L2 D'
F L' U' R2 L2 D2
F L' D' F2 B2 U'
F L' D' B2 F2 U'
F L' F U' L2 R2
F L' F U' R2 L2
F L' F' U' L2 R2
F L' F' U' R2 L2
D' L' F2 U' L2 F'
D' L' F2 U' F' L2
F L' F2 U' L2 R2
F L' F2 U' R2 L2
F L' B U' L2 R2
F L' B U' R2 L2
F L' B' U' L2 R2
F L' B' U' R2 L2
F L' B2 U' L2 R2
F L' B2 U' R2 L2
U' L2 R2 D' L' F
U' R L D R F'
U' R D L R F'
U' R D R L F'
U' R D R F' L
L2 U' R2 D' L' F
F R2 L D F2 B2
F R2 L D B2 F2
U' R2 L2 D' L' F
U' R2 D' L' F L2
U' R2 F L D F2
F2 U L F R2 B
R2 D' L' F L2 B'
F2 U' L R' F' R'
F U' L R2 D F2
F2 U' R' L F' R'
F2 U' R' F' L R'
F2 U' R' F' R' L
F U' R2 L D F2
F' U2 R U L R
F' U2 R U R L
L' F L' U' L' R2
L' F L' U' R2 L'
U' F L R2 D F2
R2 F L D F2 B2
R2 F L D B2 F2
L F L' U' L R2
L F L' U' R2 L
U' F R2 L D F2
U2 F' R U L R
U2 F' R U R L
F D' L' F2 U' L2
D' F2 L' U' F L2
F' D' F2 L' U' L2
U2 F2 U L R2 F
U2 F2 U L F R2
U2 F2 U R2 L F
D' F2 U' L' F L2
U' L R D R D F'
U' L R D R D' F'
U' L R D R D2 F'
U' L R D R F' D
U' L R D R F' D'
U' L R D R F' D2
U' L R' D R F' R2
U' L R' F' R' D' F2
F L R2 U L2 R2 U'
F L R2 U R2 L2 U'
U' L R2 D R F' R'
U' L R2 D' L' F L
D' L R2 D B2 R2 F'
F L R2 D F2 B2 D
F L R2 D F2 B2 D'
F L R2 D F2 B2 D2
F L R2 D B2 F2 D
F L R2 D B2 F2 D'
F L R2 D B2 F2 D2
U' L R2 F U L' U'
U' L R2 F' U' R U
F L R2 F D F2 B2
F L R2 F D B2 F2
F L R2 F' D F2 B2
F L R2 F' D B2 F2
F L R2 F2 D F2 B2
F L R2 F2 D B2 F2
F L R2 B D F2 B2
F L R2 B D B2 F2
F L R2 B' D F2 B2
F L R2 B' D B2 F2
F L R2 B2 D F2 B2
F L R2 B2 D B2 F2
U' L U F L' U' R2
R2 L D R F' R' B2
L R D R D F' B2
L R D R D B2 F'
L R D R F' D B2
R L D R D F' B2
R L D R D B2 F'
R L D R F' D B2
R2 L D B2 R F' R'
U' L D R D' F' R2
U' L D R F' D' R2
U' L D R' D' R2 F'
R2 L F U L' R2 U'
R2 L F U R2 L' U'
F' L D' F2 L' U' L
F L F L2 U' L2 R2
F L F L2 U' R2 L2
U' L F R2 U L' U'
U' L F U L' U' R2
F L F R2 D F2 B2
F L F R2 D B2 F2
F2 L F' L' U' L R2
F2 L F' L' U' R2 L
F L F' L2 U' L2 R2
F L F' L2 U' R2 L2
U' L F' R' D' R' F2
U' L F' R' D' F2 R'
U' L F' R2 U' R' U
F L F' R2 D F2 B2
F L F' R2 D B2 F2
U' L F' U' R U R
F' L F2 L' U' L R2
F' L F2 L' U' R2 L
D' L F2 L2 U' F L2
F L F2 L2 U' L2 R2
F L F2 L2 U' R2 L2
F L F2 R2 D F2 B2
F L F2 R2 D B2 F2
F L B L2 U' L2 R2
F L B L2 U' R2 L2
F L B R2 D F2 B2
F L B R2 D B2 F2
F L B' L2 U' L2 R2
F L B' L2 U' R2 L2
F L B' R2 D F2 B2
F L B' R2 D B2 F2
F L B2 L2 U' L2 R2
F L B2 L2 U' R2 L2
F L B2 R2 D F2 B2
F L B2 R2 D B2 F2
F L' U L U2 L R2
F L' U L U2 R2 L
F L' U L' U2 L' R2
F L' U L' U2 R2 L'
F L' U R U2 L2 R
F L' U R U2 R L2
F L' U R' U2 L2 R'
F L' U R' U2 R' L2
F L' U D2 L2 R2 U2
F L' U D2 R2 L2 U2
F2 L' U' L2 R' F' R'
F L' U' L R2 D L
F L' U' L R2 D' L
F L' U' L R2 D2 L
F L' U' L' R2 D L'
F L' U' L' R2 D' L'
F L' U' L' R2 D2 L'
F2 L' U' R' L2 F' R'
F L' U' L2 R D R
F L' U' L2 R D' R
F L' U' L2 R D2 R
F L' U' L2 R' D R'
F L' U' L2 R' D' R'
F L' U' L2 R' D2 R'
F2 L' U' R' F' L2 R'
F2 L' U' R' F' R' L2
F L' U' L2 F' R2 F
F L' U' L2 F2 R2 F2
F L' U' L2 B R2 B'
F L' U' L2 B2 R2 B2
F L' U' R L2 D R
F L' U' R L2 D' R
F L' U' R L2 D2 R
F L' U' R' L2 D R'
F L' U' R' L2 D' R'
F L' U' R' L2 D2 R'
F L' U' R2 L D L
F L' U' R2 L D' L
F L' U' R2 L D2 L
F L' U' R2 L' D L'
F L' U' R2 L' D' L'
F L' U' R2 L' D2 L'
F L' U' R2 F L2 F'
F L' U' R2 F2 L2 F2
F L' U' R2 B' L2 B
F L' U' R2 B2 L2 B2
F L' U' F L2 F' R2
F L' U' F' R2 F L2
F L' U' F2 L2 R2 F2
F L' U' F2 L2 F2 R2
F L' U' F2 R2 L2 F2
F L' U' F2 R2 F2 L2
F L' U' B R2 B' L2
F L' U' B' L2 B R2
F' L' U2 R U L2 R
F' L' U2 R U R L2
F L' U' B2 L2 R2 B2
F L' U' B2 L2 B2 R2
F L' U' B2 R2 L2 B2
F L' U' B2 R2 B2 L2
F L' U2 D F2 B2 U
F L' U2 D B2 F2 U
F L' U2 F U L2 R2
F L' U2 F U R2 L2
F L' U2 F' U L2 R2
F L' U2 F' U R2 L2
F L' U2 F2 U L2 R2
F L' U2 F2 U R2 L2
F L' U2 B U L2 R2
F L' U2 B U R2 L2
F L' U2 B' U L2 R2
F L' U2 B' U R2 L2
F L' U2 B2 U L2 R2
F L' U2 B2 U R2 L2
F L' D U2 F2 B2 U
F L' D U2 B2 F2 U
F' L' D' F2 L' B2 U'
F' L' D' F2 B2 L' U'
F' L' D' B2 F2 L' U'
F L' D' F2 U' D L2
F L' D' F2 D U' L2
F L' D' F2 B2 U' D
F L' D' F2 B2 U' D'
F L' D' F2 B2 U' D2
F L' D' F2 B2 D U'
F L' D' F2 B2 D' U'
F L' D' F2 B2 D2 U'
F L' D' B2 U' D R2
F L' D' B2 D U' R2
F L' D' B2 F2 U' D
F L' D' B2 F2 U' D'
F L' D' B2 F2 U' D2
F L' D' B2 F2 D U'
F L' D' B2 F2 D' U'
F L' D' B2 F2 D2 U'
F L' D2 U L2 R2 U2
