U2 L2 F2 B U' L
U2 L2 B F2 U' L
D2 R2 F' B2 U L'
D2 R2 B2 F' U L'
F' U2 L2 F' U' L
D2 F R2 B2 U L
D2 F' R2 B2 U L'
D F' U L' F' R2
D2 F' B2 R2 U L'
U2 F2 L2 B U' L
U2 F2 B L2 U' L'
F' D2 R2 B U L'
U2 B F2 L2 U' L'
D2 B2 R2 F' U L'
D2 B2 F' R2 U L'
U2 L F2 L B U' L
U L' U B' L' F2 U'
U2 L' B L' F2 U' L2
U L' B' L' F2 U' B
F2 L2 U2 L2 F U L'
F2 L2 U2 F L2 U L
U2 L2 D B U' L R2
U2 L2 D B U' R2 L
F' L2 D' F' U' L B2
F2 L2 D2 R2 B' U' L
F' L2 D2 F' R2 U' L
F2 L2 D2 B' R2 U' L
F' L2 F' U' D' L B2
F' L2 F' U2 L2 U L'
F' L2 F' D' U' L B2
F' L2 F' D2 R2 U' L
U2 L2 F2 U2 F' U L'
U2 L2 F2 D B U' L
U2 L2 F2 D' B U' L
U2 L2 F2 D2 B U' L
U2 L2 F2 B U' L D
U2 L2 F2 B U' L D'
U2 L2 F2 B U' L D2
U2 L2 F2 B U' D L
U2 L2 F2 B U' D' L
U2 L2 F2 B U' D2 L
U2 L2 F2 B D U' L
U2 L2 F2 B D' U' L
U2 L2 F2 B D2 U' L
U2 L2 F2 B' U R' U2
U2 L2 B U' L D R2
U2 L2 B U' D L R2
U2 L2 B U' D R2 L
U2 L2 B D U' L R2
U2 L2 B D U' R2 L
U2 L2 B F2 U' L D
U2 L2 B F2 U' L D'
U2 L2 B F2 U' L D2
U2 L2 B F2 U' D L
U2 L2 B F2 U' D' L
U2 L2 B F2 U' D2 L
U2 L2 B F2 D U' L
U2 L2 B F2 D' U' L
U2 L2 B F2 D2 U' L
U2 L2 B' F2 U R' U2
U' R U' L2 F2 B U'
U' R U' L2 B F2 U'
U' R U' F2 L2 B U'
U' R U' F2 B L2 U'
U' R U' B L2 F2 U'
U' R U' B F2 L2 U'
F R U2 F L2 U' L2
D2 R B2 R F' U L'
L U' F2 L R B U'
L U' F2 R L B U'
U' R' U' F2 L2 B' U'
R' U2 L2 F2 B U' L
R' U2 L2 B F2 U' L
D2 R' F' R' B2 U L'
R2 U2 L2 F2 B U' L
R2 U2 L2 B F2 U' L
D R' F' U L' F' R'
R U2 L2 F2 B U' L
R U2 L2 B F2 U' L
R' U2 F2 L2 B U' L
R' U2 F2 B L2 U' L'
R2 U2 F2 L2 B U' L
R U2 F2 L2 B U' L
R2 U2 F2 B L2 U' L'
R' U2 B F2 L2 U' L'
R U2 F2 B L2 U' L'
R2 U2 B F2 L2 U' L'
R U2 B F2 L2 U' L'
F' R2 D B U L' F2
D2 R2 D' F' U L' R2
D2 R2 D' F' U R2 L'
F' R2 D2 B R2 U L'
D2 R2 F B2 U' R U2
D2 R2 F' U L' D' R2
D2 R2 F' U D' L' R2
D2 R2 F' U D' R2 L'
D2 R2 F' D' U L' R2
D2 R2 F' D' U R2 L'
D2 R2 F' B2 U L' D
D2 R2 F' B2 U L' D'
D2 R2 F' B2 U L' D2
D2 R2 F' B2 U D L'
D2 R2 F' B2 U D' L'
D2 R2 F' B2 U D2 L'
D2 R2 F' B2 D U L'
D2 R2 F' B2 D' U L'
D2 R2 F' B2 D2 U L'
F' R2 B U D L' F2
F' R2 B U2 L2 U' L
F' R2 B D U L' F2
F' R2 B D2 R2 U L'
D2 R2 B2 U2 B U' L
D2 R2 B2 D F' U L'
D2 R2 B2 D' F' U L'
D2 R2 B2 D2 F' U L'
D2 R2 B2 F U' R U2
D2 R2 B2 F' U L' D
D2 R2 B2 F' U L' D'
D2 R2 B2 F' U L' D2
D2 R2 B2 F' U D L'
D2 R2 B2 F' U D' L'
D2 R2 B2 F' U D2 L'
D2 R2 B2 F' D U L'
D2 R2 B2 F' D' U L'
D2 R2 B2 F' D2 U L'
F' U L' U L' F' U'
R' D F' U L' F' R2
L2 D F' U' L' R2 B
L2 D F' U' R2 L' B
L2 D F' U' R2 B L'
R2 D F' U L' F' R2
R D F' U L' F' R2
U2 D B U' L R2 F2
U2 D B U' L F2 R2
U2 D B U' R2 L F2
U2 D B U' R2 F2 L
U2 D B U' F2 L R2
U2 D B U' F2 R2 L
U2 D B' U' R2 F2 L'
F U' R U' F L2 U'
R' D2 R2 F' B2 U L'
R' D2 R2 B2 F' U L'
R2 D2 R2 F' B2 U L'
R2 D2 R2 B2 F' U L'
R D2 R2 F' B2 U L'
R D2 R2 B2 F' U L'
F' U2 L F' L U' L
R' D2 F R2 B2 U L
R' D2 F' R2 B2 U L'
R2 D2 F R2 B2 U L
F' U2 L2 D F' U' L
F' U2 L2 D' F' U' L
F' U2 L2 D2 F' U' L
B' U2 L2 F2 B U' L
R' D2 F' B2 R2 U L'
F' U2 L2 F' U' L D
F' U2 L2 F' U' L D'
F' U2 L2 F' U' L D2
F' U2 L2 F' U' D L
F' U2 L2 F' U' D' L
F' U2 L2 F' U' D2 L
B' U2 L2 B F2 U' L
F' U2 L2 F' D U' L
F' U2 L2 F' D' U' L
F' U2 L2 F' D2 U' L
B2 U2 L2 F2 B U' L
B2 U2 L2 B F2 U' L
R D2 F R2 B2 U L
R2 D2 F' R2 B2 U L'
R2 D2 F' B2 R2 U L'
B U2 L2 F2 B U' L
B U2 L2 B F2 U' L
R D2 F' R2 B2 U L'
R D2 F' B2 R2 U L'
L2 D2 B R2 F' U' L'
D U2 B U' L R2 F2
D U2 B U' L F2 R2
D U2 B U' R2 L F2
D U2 B U' R2 F2 L
D U2 B U' F2 L R2
D U2 B U' F2 R2 L
R' D2 B2 R2 F' U L'
D U2 B' U' R2 F2 L'
R' D2 B2 F' R2 U L'
R2 D2 B2 R2 F' U L'
R2 D2 B2 F' R2 U L'
F U2 D F U' F L'
R D2 B2 R2 F' U L'
R D2 B2 F' R2 U L'
B' U2 F2 L2 B U' L
B2 U2 F2 L2 B U' L
B' U2 F2 B L2 U' L'
B2 U2 F2 B L2 U' L'
F' U2 B L2 F' U' L
B U2 F2 L2 B U' L
F2 U2 B L2 F U' L'
F U2 F2 L2 F' U' L
B' U2 B F2 L2 U' L'
B U2 F2 B L2 U' L'
D2 F R2 F B2 U L
D2 F R2 F' B2 U L
D2 F R2 F2 B2 U L
B2 U2 B F2 L2 U' L'
F' U2 B' L2 F' U' L
D2 F R2 B2 U L D
D2 F R2 B2 U L D'
D2 F R2 B2 U L D2
D2 F R2 B2 U D L
