R' U F' R U' F
L' R' U2 F' R U' L
R' L' U2 F' R U' L
L2 R' U2 F' R U' L2
F L' R' U2 F' U' L
R' L2 U2 F' R U' L2
R' U L F' R U' F
R' U L' F' R U' F
R' U L2 F' R U' F
R' U F' R U' D F
R' U F' R U' D' F
R' U F' R U' D2 F
R' U F' R U' F D
R' U F' R U' F D'
R' U F' R U' F D2
R' U F' R D U' F
R' U F' R D' U' F
R' U F' R D2 U' F
R' U F' D R U' F
R' U F' D' R U' F
R' U F' D2 R U' F
R2 U F' R F' L' U'
F R U' L' B R2 U
F' R U' B R2 U B'
D R U' B R2 U B
F R U' B L' R2 U
F R U' B R2 L' U
R2 U' R U2 F' R U'
F R B L' R2 U L
F R B R2 L' U L
R U' R2 U2 F' R U'
D R B' D' R2 F2 B
D R B' D' R2 B F2
F R' L' U2 F' U' L
B2 R' U L F' R U'
F' R' U F' R2 U' F
B2 R' U F' L R U'
B2 R' U F' R L U'
D R' U F' U' F B
D R' U F' U' B F
U' R' D B' U R' B
U' R' D2 B' L U R'
B2 R' F' L R U' L'
B2 R' F' R L U' L'
U2 R' F2 U L' B' R'
D R' B U F' U' F
U' R' B' U D R' B
U' R' B' D U R' B
R' U2 F' R U R' U2
R' U2 F' R B2 U' L
R2 D R' B D' R' F2
R2 D R' B D' F2 R'
U' D R' B' U R' B2
R2 D B R' D' F2 B
R2 D B R' D' B F2
R2 D B R' B D' F2
D2 U' R' B' L U R'
F U' L' R' B' U R'
D U' R' B' U R' B2
F U' R' L' B' U R'
F U' R' B' L' U R'
L2 D' B2 L U' B' R'
U' D2 R' B' L U R'
R' F L' U L D R2
R' F L' U D L R2
R' F L' U D R2 L
R' F L' U2 F2 U' L
R' F L' D U L R2
R' F L' D U R2 L
R' F U F2 R U' F2
R' F D L' U L R2
R' F D L' U R2 L
R F U' L' B R2 U
R F U' B L' R2 U
U F U2 L' R' U R2
R F U' B R2 L' U
U F U2 R' L' U R2
R' F D2 B2 L' U L
R F B L' R2 U L
R F B R2 L' U L
R' F' R B2 L U' L'
R2 F' R F' L' U' L
U F' R U' D' F2 R
U F' R D' U' F2 R
B2 D' L U' B' L' R'
B2 D' L U' B' R' L'
R' B U F' R U' F
R B R2 F L' U L
R B F L' R2 U L
R B F R2 L' U L
R' B' U F' R U' F
D2 B2 L U' L' B' R'
D' B2 L U' B' L' R'
D' B2 L U' B' R' L'
R' B2 U F' R U' F
