F' L U2 R F U B
D2 L' F' B' L U' B'
D2 L' B' L F' U' B'
D2 L' B' F' L U' B'
D R U' F' B' L' R'
D R U' F' B' R' L'
D R U' B' F' L' R'
D R U' B' F' R' L'
F' R2 U2 R' F' U B'
L' D F' R B' U' F'
L' D F' B' R U' F'
L' D B' F' R U' F'
D' U' F' U' B' L' F
U' D' F' U' B' L' F
F' U2 R U B' D L2
F' U2 R U2 B U' B2
F' U2 R' F' R2 U B'
D2 F' L' B' L U' B'
D F' R U' F' B' L'
D F' R U' B' F' L'
D' F' U' F' B' L' F
D' F' U' B' F' L' F
U' F' U2 R U B' L'
L F' U2 R F2 U B
R F2 U' B' R' F' L'
B' F L' F2 B' U' B
B' F L' B' F2 U' B
B2 F L' F2 B' U' B2
B2 F L' B' F2 U' B2
B F L' F2 B' U' B'
B F L' B' F2 U' B'
F B L' F2 B' U' B'
F B L' B' F2 U' B'
F B' L' F2 B' U' B
F B' L' B' F2 U' B
L' B' D F' R U' F'
F B2 L' F2 B' U' B2
F B2 L' B' F2 U' B2
