U L2 B' R' U'
U L2 R B' R' U'
U L2 R' B' R' U'
U L2 R2 B' R' U'
U L2 D B' R' U'
U L2 D' B' R' U'
U L2 D2 B' R' U'
U L2 B' R' U' D
U L2 B' R' U' D'
U L2 B' R' U' D2
U L2 B' R' D U'
U L2 B' R' D' U'
U L2 B' R' D2 U'
U L2 B' D R' U'
U L2 B' D' R' U'
U L2 B' D2 R' U'
U R L2 B' R' U'
U R' L2 B' R' U'
U R2 L2 B' R' U'
B' U L2 B' R' U'
B2 U L2 B' R' U'
B U L2 B' R' U'
U' F U2 L2 R U'
U' F U2 R L2 U'
U' F' L' F2 R U
D F2 U' F' L' U
U B' L2 R' B' U'
U B' R' L2 B' U'
U' L U2 L B' R' U'
D2 L D' L2 F2 B' L
D2 L D' L2 B' L F2
D2 L D' L2 B' F2 L
F L' U L' U' L B'
F' L' U' F2 R U B'
U L' D L' B' R' U'
U L' D' L' B' R' U'
U L' D2 L' B' R' U'
F' L' F2 R U R' B'
D' L' B' L2 D F L'
F' L' B' U' F2 R U
U L' B' L' R' B' U'
U L' B' R' L' B' U'
F L' B' U L' U' L
U L2 R D B' R' U'
U L2 R D' B' R' U'
U L2 R D2 B' R' U'
U L2 R B' R' U' D
U L2 R B' R' U' D'
U L2 R B' R' U' D2
U L2 R B' R' D U'
U L2 R B' R' D' U'
U L2 R B' R' D2 U'
U L2 R B' D R' U'
U L2 R B' D' R' U'
U L2 R B' D2 R' U'
U L2 R' D B' R' U'
U L2 R' D' B' R' U'
U L2 R' D2 B' R' U'
U L2 R' B' R' U' D
U L2 R' B' R' U' D'
U L2 R' B' R' U' D2
U L2 R' B' R' D U'
U L2 R' B' R' D' U'
U L2 R' B' R' D2 U'
U L2 R' B' D R' U'
U L2 R' B' D' R' U'
U L2 R' B' D2 R' U'
U L2 R2 D B' R' U'
U L2 R2 D' B' R' U'
U L2 R2 D2 B' R' U'
U L2 R2 B' R' U' D
U L2 R2 B' R' U' D'
U L2 R2 B' R' U' D2
U L2 R2 B' R' D U'
U L2 R2 B' R' D' U'
U L2 R2 B' R' D2 U'
U L2 R2 B' D R' U'
U L2 R2 B' D' R' U'
U L2 R2 B' D2 R' U'
U L2 U' L' D' B' L
U L2 D R B' R' U'
U L2 D R' B' R' U'
U L2 D R2 B' R' U'
U L2 D B' R' U' D
U L2 D B' R' U' D'
U L2 D B' R' U' D2
U L2 D B' R' D U'
U L2 D B' R' D' U'
U L2 D B' R' D2 U'
U L2 D B' D R' U'
U L2 D B' D' R' U'
U L2 D B' D2 R' U'
U L2 D' R B' R' U'
U L2 D' R' B' R' U'
U L2 D' R2 B' R' U'
U L2 D' B' R' U' D
U L2 D' B' R' U' D'
U L2 D' B' R' U' D2
U L2 D' B' R' D U'
U L2 D' B' R' D' U'
U L2 D' B' R' D2 U'
U L2 D' B' D R' U'
U L2 D' B' D' R' U'
U L2 D' B' D2 R' U'
U L2 D2 R B' R' U'
U L2 D2 R' B' R' U'
U L2 D2 R2 B' R' U'
L' U L' B U' L B'
U L2 D2 B' R' U' D
U L2 D2 B' R' U' D'
U L2 D2 B' R' U' D2
U L2 D2 B' R' D U'
U L2 D2 B' R' D' U'
U L2 D2 B' R' D2 U'
U L2 D2 B' D R' U'
U L2 D2 B' D' R' U'
U L2 D2 B' D2 R' U'
R' U L2 B' R' U' R2
R2 U L2 B' R' U' R'
U L2 F' B' R' F U'
U L2 F2 B' R' F2 U'
U L2 B R B2 R' U'
U L2 B R' B2 R' U'
U L2 B R2 B2 R' U'
U' L2 B' U2 B L U
U L2 B' R U' D B2
U L2 B' R D U' B2
U L2 B' R2 D R U'
U L2 B' R2 D' R U'
U L2 B' R2 D2 R U'
U L2 B' D R' U' D
U L2 B' D R' U' D'
U L2 B' D R' U' D2
U L2 B' D R' D U'
U L2 B' D R' D' U'
U L2 B' D R' D2 U'
U L2 B' D' R' U' D
U L2 B' D' R' U' D'
U L2 B' D' R' U' D2
U L2 B' D' R' D U'
U L2 B' D' R' D' U'
U L2 B' D' R' D2 U'
U L2 B' D2 R' U' D
U L2 B' D2 R' U' D'
U L2 B' D2 R' U' D2
U L2 B' D2 R' D U'
U L2 B' D2 R' D' U'
U L2 B' D2 R' D2 U'
U L2 B' F' R' F U'
U L2 B' F2 R' F2 U'
U R L2 D B' R' U'
U R L2 D' B' R' U'
U R L2 D2 B' R' U'
U R L2 B' R' U' D
U R L2 B' R' U' D'
U R L2 B' R' U' D2
U R L2 B' R' D U'
U R L2 B' R' D' U'
U R L2 B' R' D2 U'
U R L2 B' D R' U'
U R L2 B' D' R' U'
U R L2 B' D2 R' U'
U2 R U' L2 B' U' B2
L' U B L' U' L2 B2
L' U B L' U' B2 L2
U' R U2 L2 B' R' U'
U' R F U2 L2 R U'
U' R F U2 R L2 U'
U' R F' L' F2 R U
R' U' L2 B' U' R B
U R B' L2 R' B' U'
U R B' R' L2 B' U'
U R' L2 D B' R' U'
U R' L2 D' B' R' U'
U R' L2 D2 B' R' U'
U R' L2 B' R' U' D
U R' L2 B' R' U' D'
U R' L2 B' R' U' D2
U R' L2 B' R' D U'
U R' L2 B' R' D' U'
U R' L2 B' R' D2 U'
U R' L2 B' D R' U'
U R' L2 B' D' R' U'
U R' L2 B' D2 R' U'
U' R' U2 L2 B' R' U'
F' R' D R F2 L' B'
U' R' F U2 L2 R U'
U' R' F U2 R L2 U'
U' R' F' L' F2 R U
U2 R' F' D R2 U2 F2
U2 R' F' D' B2 U2 L2
U R' B' L2 R' B' U'
U R' B' R' L2 B' U'
L U2 F U' L B' U'
U R2 L2 D B' R' U'
U R2 L2 D' B' R' U'
U R2 L2 D2 B' R' U'
U R2 L2 B' R' U' D
U R2 L2 B' R' U' D'
U R2 L2 B' R' U' D2
U R2 L2 B' R' D U'
U R2 L2 B' R' D' U'
U R2 L2 B' R' D2 U'
U R2 L2 B' D R' U'
U R2 L2 B' D' R' U'
U R2 L2 B' D2 R' U'
U' R2 U2 L2 B' R' U'
D2 R2 F L' U R2 B'
D2 R2 F L' U B' R2
U' R2 F U2 L2 R U'
U' R2 F U2 R L2 U'
U' R2 F' L' F2 R U
U R2 B' L2 R' B' U'
U R2 B' R' L2 B' U'
B' U L2 R B' R' U'
B' U L2 R' B' R' U'
B' U L2 R2 B' R' U'
B2 U L2 R B' R' U'
B2 U L2 R' B' R' U'
B2 U L2 R2 B' R' U'
B' U L2 D B' R' U'
B' U L2 D' B' R' U'
B' U L2 D2 B' R' U'
F2 U L2 U2 F' L' U
B2 U L2 D B' R' U'
B2 U L2 D' B' R' U'
B2 U L2 D2 B' R' U'
B' U L2 B' R' U' D
B' U L2 B' R' U' D'
B' U L2 B' R' U' D2
B' U L2 B' R' D U'
B' U L2 B' R' D' U'
B' U L2 B' R' D2 U'
B U L2 R B' R' U'
B' U L2 B' D R' U'
B' U L2 B' D' R' U'
B' U L2 B' D2 R' U'
B U L2 R' B' R' U'
B U L2 R2 B' R' U'
B2 U L2 B' R' U' D
B2 U L2 B' R' U' D'
B2 U L2 B' R' U' D2
B2 U L2 B' R' D U'
B2 U L2 B' R' D' U'
B2 U L2 B' R' D2 U'
B2 U L2 B' D R' U'
B2 U L2 B' D' R' U'
B2 U L2 B' D2 R' U'
B' U R L2 B' R' U'
B U L2 D B' R' U'
B U L2 D' B' R' U'
F U L2 U' L' B' L'
B2 U R L2 B' R' U'
B U L2 D2 B' R' U'
L2 D F' B' R U' R'
B U L2 B' R' U' D
B U L2 B' R' U' D'
B U L2 B' R' U' D2
B U L2 B' R' D U'
B U L2 B' R' D' U'
B U L2 B' R' D2 U'
D U L2 B' R' U' F2
B U L2 B' D R' U'
B U L2 B' D' R' U'
B U L2 B' D2 R' U'
B U R L2 B' R' U'
F U L2 B' R' U' L2
U D L2 B' R' U' F2
B' U R' L2 B' R' U'
B2 U R' L2 B' R' U'
B U R' L2 B' R' U'
B' U R2 L2 B' R' U'
B2 U R2 L2 B' R' U'
B U R2 L2 B' R' U'
D2 U F R2 B L U
U' D F U2 R U' F
L2 D B' F' R U' R'
U' D F' L' F2 U F
L D' L2 B' L D F2
B' U B' L2 R' B' U'
B' U B' R' L2 B' U'
B2 U B' L2 R' B' U'
B2 U B' R' L2 B' U'
B U B' L2 R' B' U'
B U B' R' L2 B' U'
F U B' L2 R' U' L2
F U B' R' L2 U' L2
D2 U' R2 F U2 R U'
D2 U' R2 F' L' F2 U
D2 U' F R2 U2 R' U'
D2 U' F' L' R2 F2 U
D2 U' F' L' F2 R2 U
D2 U' F' R2 L' F2 U
L2 D' B R' B2 U' R
D U' F U2 R U' F
D U' F' L' F2 U F
F2 U' D F' L' U F'
F2 U' D2 F' L' R2 U
F2 U' D2 F' R2 L' U
B' U' F U2 L2 R U'
B' U' F U2 R L2 U'
B2 U' F U2 L2 R U'
B2 U' F U2 R L2 U'
B' U' F' L' F2 R U
B2 U' F' L' F2 R U
F2 U' F' L' U2 L' U'
B U' F U2 L2 R U'
B U' F U2 R L2 U'
F2 U' F' D L' U F2
F2 U' F' D2 L' R2 U
F2 U' F' D2 R2 L' U
B U' F' L' F2 R U
L2 D2 R' B' U' R B2
L2 D2 R' B' U' B2 R
U' D2 R2 F U2 R U'
U' D2 R2 F' L' F2 U
U' D2 F R2 U2 R' U'
U' D2 F' L' R2 F2 U
U' D2 F' L' F2 R2 U
U' D2 F' R2 L' F2 U
U D2 F R2 B L U
L2 D2 B' R' U' B R
U' F L U2 L R U'
U' F L U2 R L U'
D2 F L' R2 U R2 B'
D2 F L' R2 U B' R2
U' F L' U2 L' R U'
U' F L' U2 R L' U'
U' F R' U D F2 B2
U' F R' U D B2 F2
U' F R' U2 L2 R2 U'
U' F R' U2 R2 L2 U'
U' F R' D U F2 B2
U' F R' D U B2 F2
U' F R' D2 L2 R2 U
U' F R' D2 R2 L2 U
D2 F R2 L' U R2 B'
D2 F R2 L' U B' R2
U' F R2 U2 L2 R' U'
U' F R2 U2 R' L2 U'
U' F U2 L2 R U' D
U' F U2 L2 R U' D'
U' F U2 L2 R U' D2
U' F U2 L2 R D U'
U' F U2 L2 R D' U'
U' F U2 L2 R D2 U'
U' F U2 L2 D R U'
U' F U2 L2 D' R U'
U' F U2 L2 D2 R U'
U' F U2 R L2 U' D
U' F U2 R L2 U' D'
U' F U2 R L2 U' D2
U' F U2 R L2 D U'
U' F U2 R L2 D' U'
U' F U2 R L2 D2 U'
U' F U2 R U' D F2
U' F U2 R D U' F2
U' F U2 D R U' F2
F' D L' D2 B' L2 F
U' F D U2 R U' F2
F' D L' F2 D2 B' L2
F' D L' F2 B' D2 L2
F' D L' B' F2 D2 L2
F D L' F2 D' B' L2
F D L' F2 B' D' L2
F D L' B' F2 D' L2
U' F D2 R2 U2 R' U'
F' D R F2 L' R' B'
F' D R F2 R' L' B'
U F D2 R2 B L U
D2 F' L D' L2 F2 B'
D2 F' L D' L2 B' F2
U' F' L' R F2 R U
F2 D U' F' L' U F'
U' F' L' R' F2 R U
U' F' L' R2 F2 R U
D2 F' L' D' F2 B' L2
U' F' L' F2 R U D
U' F' L' F2 R U D'
U' F' L' F2 R U D2
U' F' L' F2 R D U
U' F' L' F2 R D' U
U' F' L' F2 R D2 U
D2 F' L' D' B' L2 F2
D2 F' L' D' B' F2 L2
U' F' L' F2 D R U
U' F' L' F2 D' R U
U' F' L' F2 D2 R U
D F' L D' L2 F' B'
D F' L D' L2 B' F'
D2 F' L' B' D' L2 F2
D' F' L' B' D' L2 F
D2 F' L' B' D' F2 L2
D F' L' D' F' B' L2
U' F' R L' F2 R U
D F' L' D' B' L2 F'
D F' L' D' B' F' L2
D F' L' B' D' L2 F'
D F' L' B' D' F' L2
F' D F2 L D2 L2 B'
F' D F2 L' D2 B' L2
F' D F2 L' B' D2 L2
U' F' R' L' F2 R U
B' D F2 U' F' L' U
B2 D F2 U' F' L' U
F' D F2 D2 L' B' L'
U' F' R2 L' F2 R U
F D F2 L D' L2 B'
F D F2 L' D' B' L2
B D F2 U' F' L' U
F D F2 L' B' D' L2
F D F2 D' L' B' L'
F' D' L' D2 B' L' F2
F' D' L' B' L2 F L
D2 F' D' L' B' L' F2
D2 F' D' F2 L' B' L'
D F' D' L' B' L' F'
D F' D' F' L' B' L'
D F2 L' U' F' U B'
D F2 L' B' U' F' U
F' D' B' L' B' L' F
D2 F2 U' F' L' R2 U
D2 F2 U' F' R2 L' U
D F2 U' L F' L' U
D F2 U' L' F' L' U
D F2 U' L2 F' L' U
D F2 U' D F' L' U
D F2 U' D' F' L' U
D F2 U' D2 F' L' U
D F2 U' F' L' U D
D F2 U' F' L' U D'
D F2 U' F' L' U D2
D F2 U' F' L' D U
D F2 U' F' L' D' U
D F2 U' F' L' D2 U
D F2 U' F' D L' U
D F2 U' F' D' L' U
D F2 U' F' D2 L' U
F' D2 L' D B' L2 F
F D2 L' R2 U R2 B'
F D2 L' R2 U B' R2
D F2 D U' F' L' U
D F2 D' U' F' L' U
D F2 D2 U' F' L' U
D F2 B U' F' L' U
F D2 R2 L' U R2 B'
F D2 R2 L' U B' R2
D F2 B' U' F' L' U
F2 D2 U' F' L' R2 U
F2 D2 U' F' R2 L' U
D F2 B2 U' F' L' U
U' B L2 F R B' U'
U' B L2 F B' R U'
U' B L2 B' F R U'
U B L2 B' U2 L' U
U2 B U' L2 B' R' U'
L B D L' F L' B'
L' B' L U L2 B' U'
D B F2 U' F' L' U
L' B' L2 U L B' U'
L2 B' R U' D2 R' B
U B' L2 R B' R2 U'
U B' L2 R' D B' U'
