D F L B2 D2 R2
D F L2 B2 L' R'
D F L2 B2 R' L'
F2 D L F' R B2
F2 D L F' B2 R
F2 D L B2 F' R
D F' L R F2 B2
D F' L R B2 F2
D F' L B2 R F2
F2 D F' L R B2
F2 D F' L B2 R
F2 D F' R L B2
D F' R L F2 B2
D F' R L B2 F2
D F' R F2 L B2
F L R2 U' B' U B
F L U R2 U2 B' U
F L U' D B' U B'
F L U' D2 B' L2 U
F L U' B' U D B2
F L U' B' U2 R2 U'
F L U' B' D U B2
F L U' B' D2 L2 U
F L D U' B' U B'
F L D B D' B R2
F L D B2 U' B U
D' L D2 R F' R B2
D' L D2 R F' B2 R
D' L D2 R B2 F' R
D' L D2 F' R F' B2
D' L D2 F' R B2 F'
D' L D2 F' B2 R F'
F L D2 U' B' L2 U
D' L D2 B2 R F' R
D' L D2 B2 F' R F'
F L D2 B D' R2 B2
F L D2 B D' B2 R2
D L F' B2 D2 R F'
F2 L B D' F' R2 B
F L B D B2 D2 R2
F L B D' R2 D2 B2
F L B' U R2 U' R2
F L B' D B2 D' R2
F L B2 U R2 F' U'
D L B2 F' D2 R F'
F' L' R2 F U' F L2
F L' R2 F U' L2 F'
F L' R2 F U' F' L2
F L' U R2 F U' L2
F L' U F R2 U' L2
R2 L' F L U' F L
F' L' F R2 U' F L2
F2 L' F R2 U' L2 F2
F2 L' F R2 U' F2 L2
F2 L' F' L2 D R2 B2
F2 L' F' L2 D B2 R2
L2 R2 U B' U2 L' R'
L2 R2 U B' U2 R' L'
R2 L2 U B' U2 L' R'
R2 L2 U B' U2 R' L'
L2 R2 U' L2 F L R
L2 R2 U' L2 F R L
R2 L2 U' L2 F L R
R2 L2 U' L2 F R L
L' R2 F L U' F L
D' L2 F2 R B' L U2
D' L2 F2 B' L R U2
D' L2 F2 B' R L U2
D' L2 B' L F2 U2 L2
D' L2 B' F2 L R U2
D' L2 B' F2 R L U2
D L2 B2 L' R2 F' R
D L2 B2 R2 L' F' R
D R F L B2 D2 R2
D R F L2 B2 L' R'
D R F L2 B2 R' L'
D2 R F D' L B2 R'
D R F' L R F2 B2
D R F' L R B2 F2
D R F' L B2 R F2
D R F' R L F2 B2
D R F' R L B2 F2
D R F' R F2 L B2
R2 U' D F L D2 R2
R2 U' D F' L R F2
R2 U' D F' R L F2
R2 U' D F' R F2 L
R2 U' F L U' B' U
R2 U' F2 D L F' R
R2 U' F2 D F' L R
R2 U' F2 D F' R L
D R' F L B2 D2 R2
D R' F L2 B2 L' R'
D R' F L2 B2 R' L'
D R' F' L R F2 B2
D R' F' L R B2 F2
D R' F' L B2 R F2
D R' F' R L F2 B2
D R' F' R L B2 F2
D R' F' R F2 L B2
F R2 L U' B' U B
F' R2 L' F U' F L2
F R2 L' F U' L2 F'
F R2 L' F U' F' L2
D R2 F L B2 D2 R2
D R2 F L2 B2 L' R'
D R2 F L2 B2 R' L'
D R2 F' L R F2 B2
D R2 F' L R B2 F2
D R2 F' L B2 R F2
D R2 F' R L F2 B2
D R2 F' R L B2 F2
D R2 F' R F2 L B2
R2 D U' F L D2 R2
R2 D U' F' L R F2
R2 D U' F' R L F2
R2 D U' F' R F2 L
R2 D F' U' L R F2
R2 D F' U' R L F2
R2 D F' U' R F2 L
U' D F L B2 D2 R2
U' D F L2 B2 L' R'
U' D F L2 B2 R' L'
F2 U D L F' R B2
F2 U D L F' B2 R
F2 U D L B2 F' R
U2 D F L B2 D2 R2
U2 D F L2 B2 L' R'
U2 D F L2 B2 R' L'
F2 U D F' L R B2
F2 U D F' L B2 R
F2 U D F' R L B2
U' D F' L R F2 B2
U' D F' L R B2 F2
D U F L B2 D2 R2
U' D F' L B2 R F2
D U F L2 B2 L' R'
D U F L2 B2 R' L'
U' D F' R L F2 B2
U' D F' R L B2 F2
U' D F' R F2 L B2
U D F L B2 D2 R2
U2 D F' L R F2 B2
U2 D F' L R B2 F2
U D F L2 B2 L' R'
U D F L2 B2 R' L'
U2 D F' L B2 R F2
U2 D F' R L F2 B2
U2 D F' R L B2 F2
U2 D F' R F2 L B2
D U F' L R F2 B2
D U F' L R B2 F2
D U F' L B2 R F2
D U F' R L F2 B2
D U F' R L B2 F2
D U F' R F2 L B2
U D F' L R F2 B2
U D F' L R B2 F2
U D F' L B2 R F2
U D F' R L F2 B2
U D F' R L B2 F2
U D F' R F2 L B2
D U' F L B2 D2 R2
D U' F L2 B2 L' R'
D U' F L2 B2 R' L'
D U' F' L R F2 B2
D U' F' L R B2 F2
D U' F' L B2 R F2
D U' F' R L F2 B2
D U' F' R L B2 F2
D U' F' R F2 L B2
F2 U' D L F' R B2
F2 U' D L F' B2 R
F2 U' D L B2 F' R
F2 U' D F' L R B2
F2 U' D F' L B2 R
F2 U' D F' R L B2
R D2 R F' U' L F2
R D2 R F' U' F2 L
D U2 F L B2 D2 R2
D U2 F L2 B2 L' R'
D U2 F L2 B2 R' L'
D U2 F' L R F2 B2
D U2 F' L R B2 F2
D U2 F' L B2 R F2
D U2 F' R L F2 B2
D U2 F' R L B2 F2
D U2 F' R F2 L B2
F2 U2 D L F' R B2
F2 U2 D L F' B2 R
F2 U2 D L B2 F' R
F2 U2 D F' L R B2
F2 U2 D F' L B2 R
F2 U2 D F' R L B2
L' F L R2 U' F L
D' F L B D2 R' B
D F L R B2 D2 R2
R2 F L U' B' U B
D F L R' B2 D2 R2
D F L R2 B2 D2 R2
D F L U2 L2 U2 B2
D F L D2 R2 D2 B2
D F L B D2 B R2
D F L B' D2 R2 B'
D F L B' D2 B' R2
D F L B2 R D2 R2
D F L B2 R' D2 R2
D F L B2 R2 D2 R2
D F L B2 U2 L2 U2
D F L B2 D2 R2 D
D F L B2 D2 R2 D'
D F L B2 D2 R2 D2
R2 F L' F U' L2 F'
R2 F L' F U' F' L2
D' F L2 B L' R' B2
D' F L2 B R' L' B2
D' F L2 B R' B2 L'
D' F L2 B' L' D2 R2
D F L' B2 L2 D2 R2
D F L2 R B2 L' R'
D F L2 R B2 R' L'
D F L2 R' B2 L' R'
D F L2 R' B2 R' L'
D F L2 R2 B2 L' R'
D F L2 R2 B2 R' L'
D F L2 B L' B R'
D F L2 B2 L' R' D
D F L2 B2 L' R' D'
D F L2 B2 L' R' D2
D F L2 B2 L' D R'
D F L2 B2 L' D' R'
D F L2 B2 L' D2 R'
D F L2 B2 R' L' D
D F L2 B2 R' L' D'
D F L2 B2 R' L' D2
D F L2 B2 R' D L'
D F L2 B2 R' D' L'
D F L2 B2 R' D2 L'
D F L2 B2 D L' R'
D F L2 B2 D R' L'
D F L2 B2 D' L' R'
D F L2 B2 D' R' L'
D F L2 B2 D2 L' R'
D F L2 B2 D2 R' L'
D F R L B2 D2 R2
D F R L2 B2 L' R'
D F R L2 B2 R' L'
L' F R2 L U' F L
D F R' L B2 D2 R2
D F R' L2 B2 L' R'
D F R' L2 B2 R' L'
D F R2 L B2 D2 R2
D F R2 L2 B2 L' R'
D F R2 L2 B2 R' L'
F2 D L F' R B2 D
F2 D L F' R B2 D'
F2 D L F' R B2 D2
F2 D L F' R' B2 R2
F2 D L F' B' R B'
F2 D L F' B2 R D
F2 D L F' B2 R D'
F2 D L F' B2 R D2
F2 D L F' B2 D R
F2 D L F' B2 D' R
F2 D L F' B2 D2 R
F2 D L B' F' R B'
F2 D L B2 F' R D
F2 D L B2 F' R D'
F2 D L B2 F' R D2
F2 D L B2 F' D R
F2 D L B2 F' D' R
F2 D L B2 F' D2 R
D F U2 L' U2 L2 B2
D F U2 L' U2 B2 L2
F2 D L' F' L2 R B2
F2 D L' F' L2 B2 R
F2 D L' F' R L2 B2
F2 D L' F' R B2 L2
F2 D L' F' B2 L2 R
F2 D L' F' B2 R L2
F D L F' R F B2
F D L F' R B2 F
F D L F' B2 R F
F2 D L' B2 L2 F' R
F2 D L' B2 F' L2 R
F2 D L' B2 F' R L2
F D L B D2 B R'
F D L B2 F' R F
F2 D L2 B2 L' F' R
D' F B L2 R' B' L
R F D' L B R' B2
D' F B R' L2 B' L
D F D2 L D2 R2 B2
D F D2 L D2 B2 R2
F2 D U L F' R B2
F2 D U L F' B2 R
F2 D U L B2 F' R
F2 D U F' L R B2
F2 D U F' L B2 R
F2 D U F' R L B2
D' F' L R2 F2 B R'
D' F' L R2 B R' F2
D' F' L R2 B F2 R'
F2 D U' L F' R B2
F2 D U' L F' B2 R
F2 D U' L B2 F' R
F2 D U' F' L R B2
F2 D U' F' L B2 R
F2 D U' F' R L B2
D F B2 U2 L' R' U2
D F B2 U2 R' L' U2
F2 D U2 L F' R B2
F2 D U2 L F' B2 R
F2 D U2 L B2 F' R
D F' L R F2 B2 D
D F' L R F2 B2 D'
D F' L R F2 B2 D2
D F' L R B2 F2 D
D F' L R B2 F2 D'
D F' L R B2 F2 D2
D F' L R' F2 R2 B2
D F' L R' F2 B2 R2
D F' L R' B2 R2 F2
D F' L R' B2 F2 R2
D F' L R2 F2 R' B2
F2 D U2 F' L R B2
F2 D U2 F' L B2 R
F2 D U2 F' R L B2
B2 D F L2 B2 L R'
B2 D F L2 B2 R' L
D F' L B' R F2 B'
D F' L B' R B' F2
D F' L B2 R F2 D
D F' L B2 R F2 D'
D F' L B2 R F2 D2
D F' L B2 R' F2 R2
D F' L B2 R2 F2 R'
D F' L' R F2 L2 B2
D F' L' R F2 B2 L2
D F' L' R B2 L2 F2
D F' L' R B2 F2 L2
R2 F' L' F U' F L2
B2 D F B2 L D2 R2
F2 D F' L R B2 D
F2 D F' L R B2 D'
F2 D F' L R B2 D2
F2 D F' L R' B2 R2
F2 D F' L B' R B'
F2 D F' L B2 R D
F2 D F' L B2 R D'
F2 D F' L B2 R D2
F2 D F' L B2 D R
F2 D F' L B2 D' R
F2 D F' L B2 D2 R
F2 D F' L' R B2 L2
D F' L' F2 L2 B2 R'
F2 D F' L' B2 L2 R
F2 D F' L' B2 R L2
F2 D F' L2 R B2 L'
F2 D F' L2 B2 L' R
F2 D F' L2 B2 R L'
F2 D F' R L B2 D
F2 D F' R L B2 D'
F2 D F' R L B2 D2
F2 D F' R L' B2 L2
F2 D F' R L2 B2 L'
F2 D F' R' L B2 R2
D F' L' B2 L2 R F2
D F' L' B2 R L2 F2
D F' L' B2 R F2 L2
D F' L2 R B2 L' F2
B2 D F' B2 L R F2
B2 D F' B2 R L F2
B2 D F' B2 R F2 L
F2 D F' B2 R D2 L2
D F' L2 B2 L' R F2
D F' L2 B2 R L' F2
D F' R L F2 B2 D
D F' R L F2 B2 D'
D F' R L F2 B2 D2
D F' R L B2 F2 D
D F' R L B2 F2 D'
D F' R L B2 F2 D2
D F' R L' F2 L2 B2
D F' R L' F2 B2 L2
D F' R L' B2 L2 F2
D F' R L' B2 F2 L2
F D F' R F L B2
D F' R L2 B2 L' F2
D F' R F' L F' B2
D F' R F' L B2 F'
D' F' R2 L F2 B R'
D' F' R2 L B R' F2
D' F' R2 L B F2 R'
D F' R F2 L B2 D
D F' R F2 L B2 D'
D F' R F2 L B2 D2
D F' R F2 L' B2 L2
D F' R F2 L2 B2 L'
D F' R' L F2 R2 B2
D F' R' L F2 B2 R2
D F' R' L B2 R2 F2
D F' R' L B2 F2 R2
D' F' R2 F2 L B R'
D F' R' F2 L R2 B2
D F' R' F2 L B2 R2
D F' R' F2 R2 L B2
D F' R' B2 R2 F2 L'
D F' R2 L F2 R' B2
D F' R2 F2 L R' B2
D F' R2 F2 R' L B2
D F' U L R F2 B2
D F' U L R B2 F2
D F' U L B2 R F2
D F' U R L F2 B2
D F' U R L B2 F2
D F' U R F2 L B2
B2 D B2 F L D2 R2
B2 D B2 F' L R F2
B2 D B2 F' R L F2
B2 D B2 F' R F2 L
F2 D B2 F' R D2 L2
D F' U' L R F2 B2
D F' U' L R B2 F2
D F' U' L B2 R F2
D F' U' R L F2 B2
D F' U' R L B2 F2
F2 D' L D2 F' R B2
F2 D' L D2 F' B2 R
F2 D' L D2 B2 F' R
D F' U' R F2 L B2
F2 D' L F' R2 B R'
D F' U2 L R F2 B2
D F' U2 L R B2 F2
D F' U2 L B2 R F2
D F' U2 R L F2 B2
D F' U2 R L B2 F2
D F' U2 R F2 L B2
F D' L B R' D2 B2
F D' L B D2 R' B2
F D' L B' D2 B2 R'
D F' B2 R F2 D2 L2
D F' B2 R2 F2 L' R'
D F' B2 R2 F2 R' L'
D F2 L F R F2 B2
D F2 L F R B2 F2
D F2 L F B2 R F2
D F2 L B2 F R F2
R2 F2 L' F U' L2 F2
R2 F2 L' F U' F2 L2
D F2 L' F' L2 B2 R'
F2 D' F' L R2 B R'
F2 D' F' R2 L B R'
D' F2 U2 L D2 F' R
D' F2 U2 D2 L F' R
D' F2 U2 D2 F' L R
D' F2 U2 D2 F' R L
R2 F2 U' D L F' R
R2 F2 U' D F' L R
R2 F2 U' D F' R L
U' F2 D L F' R B2
U' F2 D L F' B2 R
U' F2 D L B2 F' R
U' F2 D F' L R B2
U' F2 D F' L B2 R
U' F2 D F' R L B2
U2 F2 D L F' R B2
U2 F2 D L F' B2 R
U2 F2 D L B2 F' R
D2 F2 D' L F' R B2
D2 F2 D' L F' B2 R
D2 F2 D' L B2 F' R
U2 F2 D F' L R B2
U2 F2 D F' L B2 R
U2 F2 D F' R L B2
D2 F2 D' F' L R B2
D2 F2 D' F' L B2 R
D2 F2 D' F' R L B2
R2 F2 D U' L F' R
R2 F2 D U' F' L R
R2 F2 D U' F' R L
U F2 D L F' R B2
U F2 D L F' B2 R
U F2 D L B2 F' R
D' F2 D2 U2 L F' R
D' F2 D2 U2 F' L R
D' F2 D2 U2 F' R L
U F2 D F' L R B2
U F2 D F' L B2 R
U F2 D F' R L B2
D' F2 B' L U2 F' L'
D' B R' D2 F L' B2
D' B R' D2 F B2 L'
D' B R' D2 B2 F L'
D' B R' F L2 B' L
D' B D2 R' F L' B2
D' B D2 R' F B2 L'
D' B D2 R' B2 F L'
D' B D2 F L' R' B2
D' B D2 F R' L' B2
D' B D2 F R' B2 L'
D' B F L2 R' B' L
D' B F R' L2 B' L
D B D2 F L' B R'
D B D2 F B L' R'
D B D2 F B R' L'
D B D2 B R' F L'
D B D2 B F L' R'
D B D2 B F R' L'
D' B' F2 L U2 F' L'
D B2 R F' R F2 L'
B2 F2 D F' B2 L R
B2 F2 D F' B2 R L
F2 B2 D F' B2 L R
F2 B2 D F' B2 R L
B2 F2 D B2 L F' R
B2 F2 D B2 F' L R
B2 F2 D B2 F' R L
F2 B2 D B2 L F' R
F2 B2 D B2 F' L R
F2 B2 D B2 F' R L
D B2 F U2 L' R' U2
D B2 F U2 R' L' U2
D B2 F' R F2 D2 L2
