L2 R F U R2 B2
L2 R F U B2 R2
D L2 R F U R2
R L2 F U R2 B2
R L2 F U B2 R2
D R L2 F U R2
R U2 B' U' R2 B'
R U2 B' U' B' R2
R D L2 F B2 U
R D L2 B2 F U
R B' U' B' R2 F'
R' B2 U' R2 F' U
L R U R2 B L B
R L U R2 B L B
L R U B L B R2
R L U B L B R2
L2 R D F L2 B2 U
L2 R D F B2 L2 U
F' L U' R' F' L' B2
F' L U' R' F' B2 L'
F' L U' R' B2 F' L'
L2 R D B2 F L2 U
B' L U2 R U B R'
L2 R F L U R2 B2
L2 R F L U B2 R2
L2 R F L' U R2 B2
L2 R F L' U B2 R2
L2 R F L2 U R2 B2
L2 R F L2 U B2 R2
L2 R F U R B2 R
L2 R F U R2 B2 D
L2 R F U R2 B2 D'
L2 R F U R2 B2 D2
L2 R F U B' R2 B'
L2 R F U B2 R2 D
L2 R F U B2 R2 D'
L2 R F U B2 R2 D2
L2 R F D L2 B2 U
L2 R F D B2 L2 U
L2 R F B U B R2
L2 R F B' U R2 B'
L2 R F B' U B' R2
L R B U B L R2
L R B U B R2 L
R L B U B L R2
R L B U B R2 L
L2 R B F U B R2
L2 R B' F U R2 B'
L2 R B' F U B' R2
L2 R' U' R2 F U B2
L2 R' U' F R2 U B2
L2 R' F R2 U R2 B2
L2 R' F R2 U B2 R2
L2 R' F' B2 D' L2 F2
L2 R' F' B2 D' F2 L2
R' L' B' D' F2 B' L
R' L' B' D' B' L F2
R' L' B' D' B' F2 L
L' R' B' D' F2 B' L
L' R' B' D' B' L F2
L' R' B' D' B' F2 L
L2 R' B2 U' R2 F U
L2 R' B2 U' F R2 U
L2 R' B2 F' D' L2 F2
L2 R' B2 F' D' F2 L2
R' L2 U' R2 F U B2
R' L2 U' F R2 U B2
R L2 D F L2 B2 U
R L2 D F B2 L2 U
R L2 D B2 F L2 U
U' L2 R F U R2 B2
U' L2 R F U B2 R2
D L2 R D F B2 U
D L2 R D B2 F U
U2 L2 R F U R2 B2
U2 L2 R F U B2 R2
D L2 R F U R2 D
D L2 R F U R2 D'
D L2 R F U R2 D2
D L2 R F D B2 U
D L2 R F B U R2
D L2 R F B' U R2
D L2 R F B2 U R2
D L2 R B F U R2
U L2 R F U R2 B2
U L2 R F U B2 R2
D L2 R B' F U R2
D L2 R B2 F U R2
R' L2 F R2 U R2 B2
R' L2 F R2 U B2 R2
R L2 F L U R2 B2
R L2 F L U B2 R2
R L2 F L' U R2 B2
R L2 F L' U B2 R2
D L2 R' F R2 U R2
R L2 F L2 U R2 B2
R L2 F L2 U B2 R2
R L2 F U R B2 R
R L2 F U R2 B2 D
R L2 F U R2 B2 D'
R L2 F U R2 B2 D2
R L2 F U B' R2 B'
R L2 F U B2 R2 D
R L2 F U B2 R2 D'
R L2 F U B2 R2 D2
R L2 F D L2 B2 U
R L2 F D B2 L2 U
R L2 F B U B R2
R L2 F B' U R2 B'
R L2 F B' U B' R2
R' L2 F' B2 D' L2 F2
R' L2 F' B2 D' F2 L2
R L2 B F U B R2
D L2 D R F U R2
R' L2 B2 U' R2 F U
R' L2 B2 U' F R2 U
R L2 B' F U R2 B'
R L2 B' F U B' R2
R' L2 B2 F' D' L2 F2
R' L2 B2 F' D' F2 L2
D L2 D' R F U R2
D L2 D2 R F U R2
F' L2 F R U R2 B2
F' L2 F R U B2 R2
L2 U R F U R2 B2
L2 U R F U B2 R2
R U R2 U B' U' B'
R U R2 B D L2 B
R U R2 B D B L2
