U B' U2 B' R'
L2 R' F' U' F2 B2
L2 R' F' U' B2 F2
R' L2 F' U' F2 B2
R' L2 F' U' B2 F2
R' L2 F' U' B2 F2
U L2 F R B2 L
L2 U F R B2 L
L2 U' F B' R' B'
L2 U' B' R' F B'
L2 U' B' R' B' F
L2 U' B' F R' B'
F' U B' U2 B' R'
F2 U B' U2 B' R'
F U B' U2 B' R'
B' U' B U' B2 R'
U F B' U2 R B'
R' F' L2 U' F B2
U F B' U2 B' R
R' F' L2 U' B2 F
R' F' U B' U2 B'
U' B' R B' R2 F'
U B' L2 F U2 R
U B' U2 R B' R'
U B' U2 R' B' R'
U B' U2 R2 B' R'
U B' U2 D B' R'
U B' U2 D' B' R'
U B' U2 D2 B' R'
U B' U2 B' R' D
U B' U2 B' R' D'
U B' U2 B' R' D2
U B' U2 B' R' D2
U B' U2 B' D R'
U B' U2 B' D' R'
U B' U2 B' D2 R'
U B' D U2 B' R'
U B' D' U2 B' R'
U B' D2 U2 B' R'
U B' F U2 R B'
U B' F U2 B' R
U' B2 R2 D2 F' R
U' B2 U2 B U2 R'
U' B2 U2 B U2 R'
U' B2 D2 R2 F' R
U L R B2 L F R
L2 R U2 B U F B
L2 R U2 B U B F
L2 R D' R2 F' U' F2
U L U2 B' R' F' B'
U L U2 B' R' B' F'
R' L F' L U' F B2
R' L F' L U' B2 F
U L F R B2 L F
U L F' L' B' U2 B'
U L B' U2 B' R' F'
L2 R' U' F B2 D R2
L2 R' U' B2 F D R2
L2 R' D' F' R2 U' F2
R' L' F' L' U' F B2
R' L' F' L' U' B2 F
L' R' F' L' U' F B2
L' R' F' L' U' B2 F
L2 R' F B2 D L2 R2
L2 R' F B2 D R2 L2
L2 R' F' L U' F2 B2
L2 R' F' L U' B2 F2
L R' F' L U' F B2
L R' F' L U' B2 F
L2 R' F' L' U' F2 B2
L2 R' F' L' U' B2 F2
L2 R' F' L2 U' F2 B2
L2 R' F' L2 U' B2 F2
D L' U2 L' B' U F
L2 R' F' R U' F2 B2
L2 R' F' R U' B2 F2
L2 R' F' R' U' F2 B2
L2 R' F' R' U' B2 F2
L2 R' F' R2 U' F2 B2
L2 R' F' R2 U' B2 F2
L2 R' F' U' F2 B2 D
L2 R' F' U' F2 B2 D'
L2 R' F' U' F2 B2 D2
L2 R' F' U' B2 F2 D
L2 R' F' U' B2 F2 D'
L2 R' F' U' B2 F2 D2
L2 R' F' D' L2 R2 U'
L2 R' F' D' R2 L2 U'
L2 R' B2 F D L2 R2
L2 R' B2 F D R2 L2
U L' F' L' U2 F B2
U L' F' L' U2 B2 F
R' L2 U' F B2 D R2
R' L2 U' B2 F D R2
R L2 U2 B U F B
R L2 U2 B U B F
R' L2 D' F' R2 U' F2
R L2 D' R2 F' U' F2
U L2 R F B2 L R
U L2 R F B2 R L
D' L2 R' F' R' U' F2
F' L2 R' F' U' F2 B2
F' L2 R' F' U' B2 F2
U L2 R B2 F L R
U L2 R B2 F R L
F2 L2 R' F' U' F2 B2
F2 L2 R' F' U' B2 F2
F L2 R' F' U' F2 B2
F L2 R' F' U' B2 F2
R' L2 F B2 D L2 R2
R' L2 F B2 D R2 L2
R' L2 F' L U' F2 B2
R' L2 F' L U' B2 F2
R' L2 F' L' U' F2 B2
R' L2 F' L' U' B2 F2
R' L2 F' L2 U' F2 B2
R' L2 F' L2 U' B2 F2
R' L2 F' R U' F2 B2
R' L2 F' R U' B2 F2
R' L2 F' R' U' F2 B2
R' L2 F' R' U' B2 F2
R' L2 F' R2 U' F2 B2
R' L2 F' R2 U' B2 F2
R' L2 F' U' F2 B2 D
R' L2 F' U' F2 B2 D'
R' L2 F' U' F2 B2 D2
R' L2 F' U' B2 F2 D
R' L2 F' U' B2 F2 D'
R' L2 F' U' B2 F2 D2
R' L2 F' D' L2 R2 U'
R' L2 F' D' R2 L2 U'
F' L2 U F R B2 L
D2 L2 U F2 U2 F' R
F2 L2 U F R B2 L
F L2 U F R B2 L
F' L2 U' F B' R' B'
F2 L2 U' F B' R' B'
F' L2 U' B' R' F B'
F' L2 U' B' R' B' F
F' L2 U' B' F R' B'
F2 L2 U' B' R' F B'
F2 L2 U' B' R' B' F
F2 L2 U' B' F R' B'
F L2 U' F B' R' B'
F L2 U' B' R' F B'
F L2 U' B' R' B' F
