U' R' B' L U' L
B2 L U' L' U2 L2 F
B2 L U' L' B' U2 L2
L' R D B2 L' R' F
L' R D B2 L' F R'
L' R D B2 R' L' F
U' L' R' U' D L' F
U' L' R' D U' L' F
U' L' R' B' L U' L2
R L' D B2 L' R' F
R L' D B2 L' F R'
R L' D B2 R' L' F
U' L' D R' U' L' F
U' L2 R' B' L U' L'
R2 U D F2 L' U F
U2 L2 B2 U' L U F
D' R U2 D L2 F' B2
D' R U2 D L2 B2 F'
D' R U2 D F' L2 B2
D' R U2 D F' B2 L2
D' R U2 D B2 L2 F'
D' R U2 D B2 F' L2
D' R U2 F' D L2 B2
D' R U2 F' D B2 L2
D2 R D R U2 F' B2
D2 R D R U2 B2 F'
D' R D U2 L2 F' B2
D' R D U2 L2 B2 F'
D' R D U2 F' L2 B2
D' R D U2 F' B2 L2
D' R D U2 B2 L2 F'
D' R D U2 B2 F' L2
D' R D' R2 F2 B U2
D' R D' R2 B F2 U2
D2 R D' F2 U2 L' F
D' R D' F2 R2 U2 F
R2 U' R B' L U' L
U' R B' L R2 U' L
U' R B' R2 L U' L
R U' R2 B' L U' L
R2 U' D' R B2 U' F'
R2 U' D' B2 R U' F'
U' R' L' U' D L' F
U' R' L' D U' L' F
U' R' L' B' L U' L2
U' R' L2 B' L U' L'
U' R' U' L' D L' F
U2 R' U' L2 D' R F'
R' U' B' L U' L B
R2 U' B' L R U' L
R2 U' B' R L U' L
R U' B' L R2 U' L
R U' B' R2 L U' L
U2 R' D' B2 U' R F'
R U2 L' D L' F B2
R U2 L' D L' B2 F
R U2 L' D B2 L' F
D' R' B U' B U' B'
U' R' B U2 R' U L2
U' R' B D' B2 L U'
U' R' B' L U' L D
U' R' B' L U' L D'
U' R' B' L U' L D2
U' R' B' L U' D L
U' R' B' L U' D' L
U' R' B' L U' D2 L
U' R' B' L D U' L
U' R' B' L D' U' L
U' R' B' L D2 U' L
U2 R' B' L U' L R
U2 R' B' L U' R L
U' R' B' D' L B2 U'
U' R' B2 L U' L F
U' R' B2 U' L F L
B R2 U R U L2 B
B R2 U R U B L2
D2 R2 U' D R U' F'
D R2 U F2 L' U F
R' U2 B R' U L2 R
R' U2 B R' U R L2
D2 R2 D U' R U' F'
U' R2 D' R B2 U' F'
U R2 D F2 L' U F
U' R2 D' B2 R U' F'
U' R2 B' L R U' L
U' R2 B' R L U' L
R2 D U F2 L' U F
B2 U L R' U L F'
B2 U L R' U F' L
B2 U R' L U L F'
B2 U R' L U F' L
B U R' U' F' U2 L2
B U R' F2 U L2 B'
D U R2 F2 L' U F
U D R2 F2 L' U F
L2 D' R D' F' R2 B
B' U' L U' D L B'
R2 D' U' R B2 U' F'
B' U' L D U' L B'
R2 D' U' B2 R U' F'
U' D' R' B2 L2 U' F
D' U' R' B2 L2 U' F
U' D' R' B2 U B' U2
D' U' R' B2 U B' U2
F' U' R' B' L U' L
F2 U' R' B' L U' L
F U' R' B' L U' L
L2 D2 R D R F' B2
L2 D2 R D R B2 F'
L2 D2 R D B2 R F'
D2 F R2 U' L' R U'
D2 F R2 U' R L' U'
B D2 R2 U R U B
U2 B R' U L2 R B
U2 B R' U R L2 B
U2 B R' U R B L2
R' B U2 R' U L2 R
R' B U2 R' U R L2
U' B' L U' D L B'
U' B' L D U' L B'
R' B' L U L' U2 L2
R' B' L U' L D2 R2
R' B' L F2 U' L R
R' B' L F2 U' R L
R2 B' U' L R U' L
R2 B' U' R L U' L
R B' U' L R2 U' L
R B' U' R2 L U' L
L' B2 L U L2 R' F'
L' B2 L U R' L2 F'
L' B2 L U R' F' L2
U' B2 U2 L U L F
U2 B2 U' L U F L
