D2 L2 B' U' R' B' L
F2 R' U R B R2 U
F2 R' U R' U2 F' U'
F2 R' U2 F R D' F2
F2 D R' B L B U2
F2 D B L B U2 L
F2 D' R' U2 F R F
F2 D' R' B L U2 F2
F2 D' R' B' U2 R' F2
F2 D' R' B' U2 F2 R'
F D' R' F U2 F R
F D' F R' U2 F R
R' F2 U R B R2 U
R' F2 U R' U2 F' U'
R' F2 U2 F R D' F2
D' F2 D' B' R' B' L
R2 B U' L R F2 U2
R2 B U' L F2 U2 L'
R2 B U' R L F2 U2
R2 B U' R F2 L U2
R2 B U' F2 L U2 L2
D2 B' R' B' D L F2
D2 B' R' B' D F2 L
R2 B' U R' D2 L2 B2
R2 B' U R' D2 B2 L2
R2 B' U' R F2 U2 R2
R2 B' U' F2 U2 L' R'
R2 B' U' F2 U2 R' L'
B2 F' R2 U L B R'
F' B2 R2 U L B R'
