U L' B U L F
B L R' F L2 U F2
B L F L2 R' U F'
B L F R' L2 U F'
B L' R' U2 B' U' F'
B L' U2 B' L U' F
U L' D B U L F
U L' D' B U L F
U L' D2 B U L F
U L' F B R U L
U L' B R U L F
U L' B R' U L F
U L' B R2 U L F
U L' B U L D F
U L' B U L D' F
U L' B U L D2 F
U L' B U L F D
U L' B U L F D'
U L' B U L F D2
U L' B U D L F
U L' B U D' L F
U L' B U D2 L F
U L' B U F L F
U L' B U F' L F
U L' B U F2 L F
U L' B D U L F
U L' B D' U L F
U L' B D2 U L F
U L' B F R U L
B' L' B2 R' U F' L'
L U F L2 B R U
L U F B L2 R U
L U F B R L2 U
L U B F L2 R U
L U B F R L2 U
B R' L F L2 U F2
B R' L' U2 B' U' F'
R' U2 L' B' U F' L'
F' R2 F' R U' F' L'
D' U L' B U L F
D2 U L' B U L F
D U L' B U L F
U D L' B U L F
U D' L' B U L F
U D2 L' B U L F
L F L2 B R' U F'
L F B L2 R' U F'
L F B R' L2 U F'
U2 B L' U' B' R' U2
U B L' U L F L
U B L' F R U L2
L' B R' U D L2 F'
L' B R' U D F' L2
L' B R' U F' D L2
L' B R' U2 B2 U' F'
L' B R' D U L2 F'
L' B R' D U F' L2
L' B R' D2 F2 U F
L B R' F L2 U F2
U B U L D' F B2
U B U L D' B2 F
U B U L F D' B2
L' B U2 L B2 U' F
L' B U2 B2 L U' F
L' B D R' U L2 F'
L' B D R' U F' L2
L' B D2 R' F2 U F
L' B D2 F2 R' U F'
L B F L2 R' U F'
L B F R' L2 U F'
U B' L' B2 U L F
L' B2 R' B' U F' L'
