L2 D R B R F'
B L D' L2 U2 L' B'
L2 R B R D F' R2
L2 R B R' D R2 F'
L2 R' D R' F' R' B
B L' U2 L' D R2 B'
B L' U2 L' D B' R2
B L' U2 L' B' D R2
B L' U2 D L' R2 B'
B L' U2 D L' B' R2
B L' U2 D R2 L' B'
U2 L' D R2 B' L' F'
B L' D U2 L' R2 B'
B L' D U2 L' B' R2
B L' D U2 R2 L' B'
R' L2 D R' F' R' B
B2 L2 R D F B R2
B2 L2 R D B R2 F
B2 L2 R D B F R2
B' L2 R B D R2 F'
B2 L2 R B D R2 F
B2 L2 R B D F R2
B2 L2 R' D R2 F B
B2 L2 R' D R2 B F
L2 R2 F' R' D B R'
R2 L2 F' R' D B R'
R L2 B R D F' R2
R L2 B R' D R2 F'
B2 L2 D R B R F
B2 L2 D F R B R
B2 L2 F U F R U'
B2 R L2 D F B R2
B2 R L2 D B R2 F
B2 R L2 D B F R2
B' R L2 B D R2 F'
B2 R L2 B D R2 F
B2 R L2 B D F R2
B R U' F2 U' L2 B
B R U' F2 U' B L2
B R U2 L2 D B R2
B R U2 L2 B D R2
B R U2 B L2 D R2
B2 R F2 U' L2 F B
B2 R F2 U' L2 B F
B' R B L2 D R2 F'
B R B L2 D R2 F
D R B R D' L2 F'
B R B L2 D F R2
D R B R D' F' L2
B2 R' L2 D R2 F B
B2 R' L2 D R2 B F
B R' U' F2 U' L2 B'
B R' U2 L2 D R2 B
L' U2 L' D R2 F' B'
L' U2 L' D R2 B' F'
B R' F' U' F' U' L2
B2 R' F2 U' L2 F B'
B2 R' F2 U' L2 B' F
L' U2 D L' R2 F' B'
L' U2 D L' R2 B' F'
L' U2 D R2 L' F' B'
L' U2 D R2 L' B' F'
L' D L' R B R F'
L D L R B R F'
L' D R L' B R F'
L' D R B L' R F'
L' D R B R L' F'
L D R L B R F'
L2 D R B R D F'
L2 D R B R D' F'
L2 D R B R D2 F'
L2 D R B R F' D
L2 D R B R F' D'
L2 D R B R F' D2
L2 D R B' R F' B2
L2 D R B' R B2 F'
L2 D R B2 R F' B'
L2 D R B2 R B' F'
L2 D R2 F' R' B R
L D R2 D2 L F' B'
L D R2 D2 L B' F'
L D R2 D2 F' L B'
L D R2 F' D2 L B'
L' D U2 L' R2 F' B'
L' D U2 L' R2 B' F'
L' D U2 R2 L' F' B'
L' D U2 R2 L' B' F'
L2 D F R B R F'
L2 D F' R B R F'
L2 D F2 R B R F'
L' D B U2 L' R2 B'
L' D B U2 L' B' R2
L' D B U2 R2 L' B'
L D' L2 B U2 L' B'
B U' F2 U' L' B' L'
B U' F2 B' R' U' L2
B U' B' R' F2 U' L2
B U' B' F2 R' U' L2
B U2 L' D R2 B' L'
B U2 L' D B' L' R2
B U2 L' D B' R2 L'
B U2 L' B' L' D R2
B U2 L' B' D L' R2
B U2 L' B' D R2 L'
R2 F' L2 R' D B R'
R2 F' R' L2 D B R'
R' F2 R' U' L2 F' B'
R' F2 R' U' L2 B' F'
D F2 R U B R F'
R2 F2 R' U' F L2 B
R2 F2 R' U' F B L2
R2 F2 R' U' B F L2
R B L2 R D F' R2
R B L2 R' D R2 F'
R B R L2 D F' R2
R B R' L2 D R2 F'
L' B U2 L' D R2 B'
L' B U2 L' D B' R2
L' B U2 L' B' D R2
L' B U2 D L' R2 B'
L' B U2 D L' B' R2
L' B U2 D R2 L' B'
L' B D U2 L' R2 B'
L' B D U2 L' B' R2
L' B D U2 R2 L' B'
L2 B' R B D R2 F'
B2 F2 R U' L2 F B
B2 F2 R U' L2 B F
F2 B2 R U' L2 F B
F2 B2 R U' L2 B F
