R2 B R F' L' U'
F' L R' F' L2 B' U'
B2 L F R F2 B U
B2 L F R B F2 U
R2 L B R F' L' U'
F' L' R' F' U2 F U
R2 L' B R F' L' U'
L' R2 B R F' L' U'
L2 R2 B R F' L' U'
F' L2 U2 L R' F U'
R2 L2 B R F' L' U'
F' L2 U2 L F R' U'
L R2 B R F' L' U'
F' L2 U2 R' L F U'
F' R U2 L' R2 F' U'
F' R U2 R2 L' F' U'
F R F2 U2 R2 F' U'
F R F2 D B U B
F R F2 D2 L2 B U
F R F2 D2 B L2 U
F R F2 B U D B2
F' R B U2 L' R2 U'
F R F2 B U2 R2 U'
F R F2 B D U B2
F R F2 B D2 L2 U
F' R B U2 R2 L' U'
F R B F2 U D B2
F R B F2 U2 R2 U'
F R B F2 D U B2
F R B F2 D2 L2 U
F' R' L F' L2 B' U'
F' R' L' F' U2 F U
F R' U2 R2 F2 B U
F R' U2 R2 B F2 U
F R' D' F' U' L2 F'
F R' D' F' U' F' L2
F R' D2 L2 F' B2 U'
F R' D2 L2 B2 F' U'
F R' D2 F' L2 B2 U'
F R' D2 F' B2 L2 U'
F R' D2 B2 L2 F' U'
F R' D2 B2 F' L2 U'
F2 R' F' U2 R F2 U
F R' F' U2 F' R2 U
F' R2 U2 L' R F' U'
R2 U2 B L R F' U'
F' R2 U2 R L' F' U'
R2 U2 B R L F' U'
R2 U2 B R F' L U'
F R2 F2 L' R' B U
D' R2 B R F' L' U'
D2 R2 B R F' L' U'
F R2 F2 R' L' B U
F R2 F2 R' B L' U
U2 R2 B L R F U'
U2 R2 B R L F U'
D R2 B R F' L' U'
B2 U L F' U F2 R
R' D F' L' B' U' L
R' D F' B' L' U' L2
R' D B' F' L' U' L2
R' D' F' L' U R U2
R' D2 L F' B' L' U'
R' D2 L B' F' L' U'
R' D2 L2 F' L' B' U'
F' U2 L R' F L2 U'
F' U2 L F L2 R' U'
F' U2 L F R' L2 U'
F' U2 L' R' U2 B' U
R' D2 F' L B' L2 U'
R' D2 F' L' U2 F U
F' U2 R' L F L2 U'
F' U2 R' L' U2 B' U
B U2 F' L' B' R' U
R' F' L' R' B R U'
R' F' L' D B' U' L
R' F' L2 D2 L B' U'
R' F' R' L' B R U'
R' F' R' B L' R U'
R' F' R' B R L' U'
R' F' U2 F2 R F' U
R' F' D L' B' U' L
U2 F' U2 R' F' L' U'
R' F' D B' L' U' L2
R' F' D2 L B' L2 U'
R' F' D2 L' U2 F U
R' F2 D' F U' L' F
R2 B L R F' L' U'
R2 B L' R F' L' U'
R2 B L2 R F' L' U'
R2 B R L F' L' U'
R2 B R L' F' L' U'
R2 B R L2 F' L' U'
R2 B R D F' L' U'
R2 B R D' F' L' U'
R2 B R D2 F' L' U'
R2 B R F' L' U' D
R2 B R F' L' U' D'
R2 B R F' L' U' D2
R2 B R F' L' D U'
R2 B R F' L' D' U'
R2 B R F' L' D2 U'
R2 B R F' D L' U'
R2 B R F' D' L' U'
R2 B R F' D2 L' U'
B2 F L R F2 B U
B2 F L R B F2 U
B2 F R L F2 B U
B2 F R L B F2 U
B2 F R F2 L B U
B F R F2 B L U
B F R B L F2 U
B F R B F2 L U
F B R F2 B L U
F B R B L F2 U
F B R B F2 L U
R2 B' R F' L' B2 U'
R2 B' R F' B2 L' U'
R2 B' R B2 F' L' U'
U B2 L F' U F2 R
F B2 L R F2 B U
F B2 L R B F2 U
R2 B2 R F' B' L' U'
R2 B2 R B' F' L' U'
F B2 R L F2 B U
F B2 R L B F2 U
F B2 R F2 L B U
