D2 B' L U F' L'
D' L U F' B' L' R'
D' L U F' B' R' L'
D' L U B' F' L' R'
D' L U B' F' R' L'
U2 L F L' B' U F2
F' L2 R F B U' F'
F' L2 R B F U' F'
F' R L2 F B U' F'
F' R L2 B F U' F'
F' R B D2 F2 U' F2
B' R' F' U2 R U' F'
F2 R' F' B' L' U F2
F R' B' L' F' U F'
F2 R' B' F' L' U F2
B' U D' L F' B' L'
B' U D' L B' F' L'
B' U D' L2 F' L' B'
B' U D' F' L B' L2
B' U F' L' U R U'
B' U F' U R U' L'
D2 U2 B' L F U F2
U2 D2 B' L F U F2
U F B' L' U F2 L'
L2 F' R F2 B U' F2
L2 F' R B F2 U' F2
B' D' L U F' B' L'
B' D' L U B' F' L'
R' F' B' U2 R U' F'
B' D' U L F' B' L'
B' D' U L B' F' L'
B' D' U L2 F' L' B'
B' D' U F' L B' L2
L F2 U' F R B L
U F2 B' U F L' B'
B' F L' R' F' U F'
B' F L' U F' L' F'
B' F L' F' U F' L'
U' B D' L F' R2 B'
U' B D' L F' B' R2
U' B D' L B' F' R2
U' B D' F' L R2 B'
U' B D' F' L B' R2
U' B D' F' R2 L B'
B' F R' L' F' U F'
D2 B' L U L F' L'
D2 B' L U L' F' L'
D2 B' L U L2 F' L'
D2 B' L U D F' L'
D2 B' L U D' F' L'
D2 B' L U D2 F' L'
D2 B' L U F' L' D
D2 B' L U F' L' D'
D2 B' L U F' L' D2
D2 B' L U F' D L'
D2 B' L U F' D' L'
D2 B' L U F' D2 L'
D' B' L U F' B' L'
D' B' L U B' F' L'
D2 B' L D U F' L'
D2 B' L D' U F' L'
D2 B' L D2 U F' L'
U2 B' L F L' U F2
D' B' U L F' B' L'
D' B' U L B' F' L'
D' B' U L2 F' L' B'
D2 B' U F' L' D' B2
D' B' U F' L B' L2
F B' L' R' F' U F'
F B' L' U F' L' F'
F B' L' F' U F' L'
D2 B' D L U F' L'
D2 B' D' L U F' L'
F2 B' R' F' L' U F2
D2 B' D2 L U F' L'
F B' R' L' F' U F'
F2 B' U F' L' F2 B'
F2 B' U F' L' B' F2
R' B' F' U2 R U' F'
U B' F L' U F2 L'
U B' F2 U F L' B'
B' F2 R' F' L' U F2
B' F2 U F' L' F2 B'
B' F2 U F' L' B' F2
