D B R' B2 L F
B' L D' F' L2 R F2
B' L D' F' R L2 F2
B' L D' F' R F2 L2
D L' R2 B' L U2 B'
B' L' D' L2 F' R F2
B' L' D' F' L2 R F
B' L' D' F' R L2 F
B' L' D' F2 L2 F R
D L' B' L R2 U2 B'
D L' B' R2 L U2 B'
D' L2 U2 F L' U2 F
D' L2 F L' U2 F L
D' L2 F' D2 R F' B2
D' L2 F' D2 R B2 F'
D' L2 F' D2 B2 R F'
U2 R' F2 B U F B2
U2 R' F2 B U B2 F
F2 R' B L U F B2
F2 R' B L U B2 F
U2 R' B F2 U F B2
U2 R' B F2 U B2 F
U2 R' B' D' L2 F' R2
U2 R' B' D' F' L2 R2
U2 R' B' D' F' R2 L2
D R2 L' B' L U2 B'
D R2 U2 B R' F' B2
D R2 U2 B R' B2 F'
D R2 B U2 R' F' B2
D R2 B U2 R' B2 F'
U2 D B R' F' B2 L
U2 D B R' B2 L F'
U2 D B R' B2 F' L
F2 U B' U' R' B U
U2 D' R' F' R B' L2
U2 D' R' F' B' L2 R
U2 D' R' F' B' R L2
U2 D' R' B' L2 F' R
U2 D' R' B' F' L2 R
U2 D' R' B' F' R L2
U2 D' B' L2 R' F' R
U2 D' B' R' L2 F' R
U2 D' B' R' F' L2 R
U2 D' B' R' F' R L2
D' U2 R' F' R B' L2
D' U2 R' F' B' L2 R
D' U2 R' F' B' R L2
D' U2 R' B' L2 F' R
D' U2 R' B' F' L2 R
D' U2 R' B' F' R L2
D' U2 B' L2 R' F' R
D' U2 B' R' L2 F' R
D' U2 B' R' F' L2 R
D' U2 B' R' F' R L2
D U2 B R' F' B2 L
D U2 B R' B2 L F'
D U2 B R' B2 F' L
D F B R' B2 L F
D' F' R B' L F L
B' D' L F L D2 R2
B' D' L F' L R F2
B' D' L F' R L F2
B' D' L F' R F2 L
B' D' L2 F' D2 R F'
D' F' B' L R F L
D' F' B' L2 D2 R F'
D' F' B' R L F L
D F' B R' B2 L F
B' D' F' L R F L
B' D' F' L2 D2 R F'
B' D' F' R L F L
B' D' F2 L F L R
B' D' F2 L F R L
U2 F2 R' B U F' B2
U2 F2 R' B U B2 F'
D' F2 U2 B' L2 R' F'
D' F2 U2 B' R' L2 F'
D' F2 U2 B' R' F' L2
R' F2 B L U F B2
R' F2 B L U B2 F
D' F2 B' L F L R
D' F2 B' L F R L
D F2 B R' B2 L F
R' B L F2 U F' B2
R' B L F2 U B2 F'
U F2 B' R' B U B'
D B L R' F B2 L
D B L R' B2 F L
D B L F R' B2 L
D B R' L F B2 L
D B R' L B2 F L
D B R' F B2 L F
D B R' F' B2 L F
D B R' F2 B2 L F
D B R' B2 L D F
D B R' B2 L D' F
D B R' B2 L D2 F
D B R' B2 L F D
D B R' B2 L F D'
D B R' B2 L F D2
D B R' B2 D L F
D B R' B2 D' L F
D B R' B2 D2 L F
D B R' B2 F L F
D B R' B2 F' L F
D B R' B2 F2 L F
D B U2 R' F' B2 L
D B U2 R' B2 L F'
D B U2 R' B2 F' L
R' B F2 L U F B2
R' B F2 L U B2 F
D B F R' B2 L F
D B F' R' B2 L F
R' B' L D' R2 F L2
R' B' L D' F L2 R2
R' B' L D' F R2 L2
D' B' L F L D2 R2
D' B' L F' L R F2
D' B' L F' R L F2
D' B' L F' R F2 L
D B F2 R' B2 L F
R' B' L' D' L2 R2 F
R' B' L' D' L2 F R2
R' B' L' D' R2 L2 F
D' B' L2 F' D2 R F'
D B' L' D2 L2 R2 F
D B' L' D2 L2 F R2
D B' L' D2 R2 L2 F
U B' R' F2 B U B'
U B' R' B F2 U B'
U B' U' R' F2 B U
U B' U' R' B F2 U
R' B' D' L R2 F L
R' B' D' L F L R2
R' B' D' L F R2 L
U B' U' F2 R' B U
R' B' D' R2 L F L
U2 B' D' L2 R' F' R
U2 B' D' R' L2 F' R
U2 B' D' R' F' L2 R
U2 B' D' R' F' R L2
D' B' F' L R F L
D' B' F' L2 D2 R F'
D' B' F' R L F L
D' B' F2 L F L R
D' B' F2 L F R L
U B' F2 R' B U B'
