B2 L B' R' U L U2
U' L' R' F B' L U
U' L' R' B' F L U
R' L' F B' L U R'
L' R' F B' L U R'
L2 R' B' L F U R'
R' L' B' F L U R'
L' R' B' F L U R'
U' L' F R' B' L U
R' L2 B' L F U R'
U' R' L' F B' L U
U' R' L' B' F L U
D' R' B' U L R' B2
D' R' B' U R' L B2
R' D' B' U L R' B
R' D' B' U R' L B
R D' F2 B' L R' B
R D' F2 B' R' L B
R D' B' L R' F2 B
R D' B' L R' B F2
R D' B' L F2 R' B
R D' B' R' L F2 B
R D' B' R' L B F2
R D' B' R' F2 L B
R D' B' F2 L R' B
R D' B' F2 R' L B
L' F R' B' L U R'
R' B' L' F L2 U R'
U' B2 L F B' R' U'
U' B2 L B' R' F U'
U' B2 L B' F R' U'
U B2 L B' R' F' U'
