F' L' R' B U R'
F' L' D' R' B U
F' L' B U R' F'
F' R' L' B U R'
F' R' B L' U R'
D2 F' L' R' U R2
D' F' L' R' B U
D2 F' R' L' U R2
D' F' R' L' B U
D' F' R' B L' U
F' D' L' R' B U
F' D' R' L' B U
F' D' R' B L' U
F' B L' U R' F'
B F' L' U R' F'
F' L R' B L2 U R'
F' L D' R' B U B
D2 L F' L' R' U R2
D' L F' L' R' B U
D2 L F' R' L' U R2
D' L F' R' L' B U
B L F' L' U R' F'
D' L F' R' B L' U
D L F' R' B' L' U
F' L B L2 U R' F'
F' L' R B R2 U R
F' L' R' U B R' B'
F' L' R' B U R' D
F' L' R' B U R' D'
F' L' R' B U R' D2
F' L' R' B U D R'
F' L' R' B U D' R'
F' L' R' B U D2 R'
F' L' R' B D U R'
F' L' R' B D' U R'
F' L' R' B D2 U R'
F' L' R' B' U' L U2
F' L' R2 B R U R2
F' L' D' R' D B U
F' L' D' R' D' B U
F' L' D' R' D2 B U
F' L' D' R' B U D
F' L' D' R' B U D'
F' L' D' R' B U D2
F' L' D' R' B D U
F' L' D' R' B D' U
F' L' D' R' B D2 U
D' L' F' L' R' B U
D2 L' F' L' R' U R2
D2 L' F' R' L' U R2
D' L' F' R' L' B U
D' L' F' R' B L' U
B L' F' L' U R' F'
F' L' B U R' D F'
F' L' B U R' D' F'
F' L' B U R' D2 F'
F' L' B U R' F' D
F' L' B U R' F' D'
F' L' B U R' F' D2
F' L' B U D R' F'
F' L' B U D' R' F'
F' L' B U D2 R' F'
F' L' B U F R' F'
F' L' B U F' R' F'
F' L' B U F2 R' F'
F' L' B D U R' F'
F' L' B D' U R' F'
F' L' B D2 U R' F'
F' L2 R' D L B' U
F' L2 D L R' B' U
F' L2 D R' L B' U
F' L2 D' L R' B U
F' L2 D' R' L B U
D2 L2 F' L' R' U R2
D' L2 F' L' R' B U
D2 L2 F' R' L' U R2
D' L2 F' R' L' B U
D' L2 F' R' B L' U
D L2 F' L' R' B' U
B L2 F' L' U R' F'
D L2 F' R' L' B' U
F' R L' B R2 U R
F' R B L' R2 U R
F' R B R2 L' U R
F' R' L B L2 U R'
F' R' L' U B R' B'
F' R' L' B U R' D
F' R' L' B U R' D'
F' R' L' B U R' D2
F' R' L' B U D R'
F' R' L' B U D' R'
F' R' L' B U D2 R'
F' R' L' B D U R'
F' R' L' B D' U R'
F' R' L' B D2 U R'
F' R' L' B' U' L U2
F' R' L2 D L B' U
F' R' D L B' L2 U
F' R' D L' U2 F U'
F2 R' F L' B U R'
F2 R' F B L' U R'
F' R' B L' U R' D
F' R' B L' U R' D'
F' R' B L' U R' D2
F' R' B L' U D R'
F' R' B L' U D' R'
F' R' B L' U D2 R'
F' R' B L' D U R'
F' R' B L' D' U R'
F' R' B L' D2 U R'
F' R' B D L' U R'
F' R' B D' L' U R'
F' R' B D2 L' U R'
F' R' B' L' U D2 R2
F' R' B' L' U' L2 U2
F' R' B' L' D' B2 U
F' R' B' L' D2 U R2
F2 R' B F L' U R'
F' R' B2 L' B' U R'
F' R2 L' B R U R2
F' R2 B L' R U R2
F' R2 B R L' U R2
B R2 B L U' R B
L' D' F' L' R' B U
L' D' F' R' L' B U
L' D' F' R' B L' U
L2 D' F' L' R' B U
L2 D' F' R' L' B U
L2 D' F' R' B L' U
L D' F' L' R' B U
L D' F' R' L' B U
L D' F' R' B L' U
D2 U' F' R' U R2 B
U2 D' F' R' B L U
U' D2 F' R' U R2 B
D' U2 F' R' B L U
L' D2 F' L' R' U R2
L' D2 F' R' L' U R2
L2 D2 F' L' R' U R2
L2 D2 F' R' L' U R2
L D2 F' L' R' U R2
L D2 F' R' L' U R2
F' D L R' B' L2 U
F' D L' R' U2 F U'
F' D R' L B' L2 U
F' D R' L' U2 F U'
D' F' L R' B L2 U
D2 F' L' R' U R2 D
D2 F' L' R' U R2 D'
D2 F' L' R' U R2 D2
