F' D B2 R' B L
D2 L U L2 F U F2
R2 L' U D2 R2 F' L'
R2 L' U' L2 B U2 L
R2 L' U' B L2 U2 L'
R2 L' D2 U R2 F' L'
D' L' U F L' F2 R
D2 L' D' F B2 U F2
D2 L' D' B2 F U F2
D2 L' D2 F U R2 F2
D2 L' D2 F U F2 R2
D' L' F U L' F2 R
D2 L' F U F2 D2 R2
D2 L' F U' L2 U2 F2
L' R2 U D2 R2 F' L'
L' R2 U' L2 B U2 L
L' R2 U' B L2 U2 L'
L' R2 D2 U R2 F' L'
L U2 D' F L' F2 B2
L U2 D' F L' B2 F2
L U2 D' F B2 L' F2
L U2 D' B2 F L' F2
L U2 F2 D' F L' B2
L U2 F2 D' F B2 L'
L U2 F2 D' B2 F L'
L D R2 F2 B R' U2
L D R2 B R' F2 U2
L D R2 B F2 R' U2
L D F2 U2 D2 F L'
L D F2 D2 U2 F L'
L D F2 B R' U2 F
L D F2 B' U2 F L
L D B F2 R' U2 F
L D B' F2 U2 F L
L' D' F B2 U L' F2
L D' U2 F L' F2 B2
L D' U2 F L' B2 F2
L D' U2 F B2 L' F2
L D' U2 B2 F L' F2
L D' F L' F2 B2 R'
L D' F L' B2 R' F2
L D' F L' B2 F2 R'
L D' F U2 L' F2 B2
L D' F U2 L' B2 F2
L D' F U2 B2 L' F2
L' D' B2 U F L' F2
L' D' B2 F U L' F2
F' D B' L B' R' B
F' D B' D2 L B' R'
F' D B2 L R' B L
F' D B2 L' R' B L
F' D B2 L2 R' B L
F' D B2 R' L B L
F' D B2 R' L' B L
F' D B2 R' L2 B L
F' D B2 R' D B L
F' D B2 R' D' B L
F' D B2 R' D2 B L
F' D B2 R' B L D
F' D B2 R' B L D'
F' D B2 R' B L D2
F' D B2 R' B D L
F' D B2 R' B D' L
F' D B2 R' B D2 L
U' F' D B2 R' B L
U2 F' D B2 R' B L
D2 F' D' B' L B' R'
U F' D B2 R' B L
D F' B' D' L B' R'
D F' B2 D R' B L
B2 D2 L' F U R' F2
B2 D2 L' F U F2 R'
B D2 L' F U F2 R
L F2 U2 D' F L' B2
L F2 U2 D' F B2 L'
L F2 U2 D' B2 F L'
L' F2 D' B2 U F L'
L F2 D' U2 F L' B2
L F2 D' U2 F B2 L'
L F2 D' U2 B2 F L'
L F2 D' F L' B2 R'
B' F' D B' L R' B
B' F' D B' R' L B
B2 F' D R' B' L B2
D B' F' D' L B' R'
F' B' D B' L R' B
F' B' D B' R' L B
D2 B2 L' F U R' F2
D2 B2 L' F U F2 R'
F' B2 D R' B' L B2
D B2 F' D R' B L
