R' L U F B R2
R' L U B R2 F
R' L U B F R2
D2 L U R F B'
D2 L U R B' F
D2 L U B' R F
L R' U F B R2
L R' U B R2 F
L R' U B F R2
L U R F D2 B2
L U R' F B R2
L U R' B R2 F
L U R' B F R2
U2 R' U' F' B R2
U2 R' U' B F' R2
D B' L U R F
R' L U R2 F D2 B2
R' L U F B R2 D
R' L U F B R2 D'
R' L U F B R2 D2
R' L U F B' R2 B2
R' L U F B2 R2 B'
R2 L U F R' D B2
R' L U F' B R2 F2
R' L U B R' F R'
R' L U B R2 D F
R' L U B R2 D' F
R' L U B R2 D2 F
R' L U B R2 F D
R' L U B R2 F D'
R' L U B R2 F D2
R' L U B F R2 D
R' L U B F R2 D'
R' L U B F R2 D2
R' L U B F' R2 F2
R' L U B' R2 F B2
R' L U B' R2 B2 F
B' L R' U F B R2
B' L R' U B R2 F
B' L R' U B F R2
R' L U B' F R2 B2
D2 L R' U R2 F B'
D2 L R' U R2 B' F
D2 L R' U F R2 B'
R' L U B2 R2 F B'
D2 L R' U F B' R2
R' L U B2 R2 B' F
D2 L R' U B' R2 F
D2 L R' U B' F R2
R' L U B2 F R2 B'
B2 L R' U F B R2
B2 L R' U B R2 F
B2 L R' U B F R2
U2 L R' U' F' B R2
U2 L R' U' B F' R2
B L R' U F B R2
B L R' U B R2 F
B L R' U B F R2
D2 L R2 U R' F B'
D2 L R2 U R' B' F
D2 L R2 U F R' B'
B' L U R F D2 B2
D2 L U R D F B'
D2 L U R D B' F
D2 L U R D' F B'
D2 L U R D' B' F
D2 L U R D2 F B'
D2 L U R D2 B' F
D2 L U R F D B'
D2 L U R F D' B'
D2 L U R F D2 B'
D2 L U R F B' D
D2 L U R F B' D'
D2 L U R F B' D2
B' L U R' F B R2
B' L U R' B R2 F
B' L U R' B F R2
D2 L U R B' D F
D2 L U R B' D' F
D2 L U R B' D2 F
B2 L U R F D2 B2
D2 L U R B' F D
D2 L U R B' F D'
D2 L U R B' F D2
D2 L U R' F R2 B'
D2 L U R' F B' R2
D2 L U R' B' R2 F
D2 L U R' B' F R2
B2 L U R' F B R2
B2 L U R' B R2 F
B2 L U R' B F R2
B L U R F D2 B2
D2 L U R2 F R' B'
D2 L U D R F B'
D2 L U D R B' F
B L U R' F B R2
B L U R' B R2 F
B L U R' B F R2
D2 L U D B' R F
D2 L U D' R F B'
D2 L U D' R B' F
D2 L U D' B' R F
D2 L U D2 R F B'
D2 L U D2 R B' F
D2 L U D2 B' R F
D2 L U B R F B2
D2 L U B R B2 F
D2 L U B' R D F
D2 L U B' R D' F
D2 L U B' R D2 F
D2 L U B' R F D
D2 L U B' R F D'
D2 L U B' R F D2
D2 L U B' R' F R2
D2 L U B' R2 F R'
D2 L U B' D R F
D2 L U B' D' R F
D2 L U B' D2 R F
R' L D B2 U F B'
R' L D B2 U B' F
D2 L D U R F B'
D2 L D U R B' F
D2 L D U B' R F
D2 L D' U R F B'
D2 L D' U R B' F
D2 L D' U B' R F
D2 L D2 U R F B'
D2 L D2 U R B' F
D2 L D2 U B' R F
L' R F2 D' L2 F B'
L' R F2 D' L2 B' F
L R F2 D' L2 F' B'
L R F2 D' L2 B' F'
R L F2 D' L2 F' B'
R L F2 D' L2 B' F'
R' L B' U R2 F B2
R' L B' U R2 B2 F
R' L B' U F R2 B2
R' L B' U F B2 R2
R' L B' U B2 R2 F
R' L B' U B2 F R2
R' L B2 U R2 F B'
R' L B2 U R2 B' F
R' L B2 U F R2 B'
R' L B2 U F B' R2
R' L B2 U B' R2 F
R' L B2 U B' F R2
D2 L B U R F B2
D2 L B U R B2 F
D2 L B U B2 R F
L R' U R2 F D2 B2
L' R' U B R2 D2 F2
R' L' U B R2 D2 F2
L R' U F B R2 D
L R' U F B R2 D'
L R' U F B R2 D2
L R' U F B' R2 B2
L R' U F B2 R2 B'
L R' U F' B R2 F2
L' R' U B2 R2 F' B'
L' R' U B2 R2 B' F'
R' L' U B2 R2 F' B'
R' L' U B2 R2 B' F'
L R' U B R' F R'
L R' U B R2 D F
L R' U B R2 D' F
L R' U B R2 D2 F
L R' U B R2 F D
L R' U B R2 F D'
L R' U B R2 F D2
L R' U B F R2 D
L R' U B F R2 D'
L R' U B F R2 D2
L R' U B F' R2 F2
L R' U B' R2 F B2
L R' U B' R2 B2 F
L R' U B' F R2 B2
L R' U B2 R2 F B'
L R' U B2 R2 B' F
L R' U B2 F R2 B'
R' L' U' B' U2 R2 B2
R' L' U' B' U2 B2 R2
L' R' U' B' U2 R2 B2
L' R' U' B' U2 B2 R2
D2 L B2 U B R F
D L B2 U R F B
D L B2 U R B F
U2 L' R' U' F' B R2
U2 L' R' U' B F' R2
L R' D B2 U F B'
L R' D B2 U B' F
R L' F2 D' L2 F B'
R L' F2 D' L2 B' F
L R' B' U R2 F B2
L R' B' U R2 B2 F
L R' B' U F R2 B2
L R' B' U F B2 R2
L R' B' U B2 R2 F
L R' B' U B2 F R2
R' L' B2 U R2 F' B'
R' L' B2 U R2 B' F'
L' R' B2 U R2 F' B'
L' R' B2 U R2 B' F'
L R' B2 U R2 F B'
L R' B2 U R2 B' F
L R' B2 U F R2 B'
L R' B2 U F B' R2
L R' B2 U B' R2 F
L R' B2 U B' F R2
L R2 U F R' D B2
U2 L2 R' U' F' B R2
U2 L2 R' U' B F' R2
L' U R U2 F' B' U2
L' U R U2 B' F' U2
L U R U2 F' U2 F2
L U R D F D2 B2
L U R D' F D2 B2
L U R D2 F D2 B2
L U R F U2 F2 U2
L U R F D2 B2 D
L U R F D2 B2 D'
L U R F D2 B2 D2
L U R F B D2 B2
L U R F B' D2 B2
L U R F B2 D2 B2
L U R B F D2 B2
L U R B' F D2 B2
L U R B2 F D2 B2
L' U R' B R2 D2 F2
L' U R' B2 R2 F' B'
L' U R' B2 R2 B' F'
L U R' F B R2 D
L U R' F B R2 D'
L U R' F B R2 D2
L U R' F B' R2 B2
L U R' F B2 R2 B'
L U R' F' B R2 F2
L U R' B R' F R'
L U R' B R2 D F
L U R' B R2 D' F
L U R' B R2 D2 F
L U R' B R2 F D
L U R' B R2 F D'
L U R' B R2 F D2
L U R' B F R2 D
L U R' B F R2 D'
L U R' B F R2 D2
L U R' B F' R2 F2
L U R' B' R2 F B2
L U R' B' R2 B2 F
L U R' B' F R2 B2
L U R' B2 R2 F B'
L U R' B2 R2 B' F
L U R' B2 F R2 B'
L U R2 F R B R2
L U F R' D2 B R'
R' U B R2 U L U'
R' U B U L U' R2
L' U B R' B R2 F'
L U B R F D2 B2
L U B R' F B R2
L U B R' B R2 F
L U B R' B F R2
L U B' R F D2 B2
U R U2 F' U' L' U'
L U B' R' F B R2
L U B' R' B R2 F
L U B' R' B F R2
L U B2 R F D2 B2
L U B2 R' F B R2
L U B2 R' B R2 F
L U B2 R' B F R2
L U' R F D2 B2 L
D2 R' L U R2 F B'
D2 R' L U R2 B' F
D2 R' L U F R2 B'
D2 R' L U F B' R2
D2 R' L U B' R2 F
D2 R' L U B' F R2
B' R' L U F B R2
B' R' L U B R2 F
B' R' L U B F R2
B2 R' L U F B R2
B2 R' L U B R2 F
B2 R' L U B F R2
U2 R' L U' F' B R2
U2 R' L U' B F' R2
B R' L U F B R2
B R' L U B R2 F
B R' L U B F R2
U2 R' L' U' F' B R2
U2 R' L' U' B F' R2
U2 R' L2 U' F' B R2
U2 R' L2 U' B F' R2
U2 R' U' F B R2 F2
U2 R' U' F' B R2 D
U2 R' U' F' B R2 D'
U2 R' U' F' B R2 D2
U2 R' U' F' B' R2 B2
U2 R' U' F' B2 R2 B'
U2 R' U' F2 B R2 F
U2 R' U' B F R2 F2
U2 R' U' B F' R2 D
U2 R' U' B F' R2 D'
