D' L D' B2 R2 F' L'
F L' U L' R U2 B'
F L' U R L' U2 B'
D' L' F' B2 U L' F2
D' L' B2 F' U L' F2
L2 U L F U2 L' U'
L2 U L F' R F2 U
L2 U F' L R F U
L2 U F' R L F U
L2 U F2 L F R U
D R F2 R U' F L'
U' D F2 R B U' F'
D U F2 R U' F' L'
U D F2 R U' F' L'
L D' F' B2 L' R' F
L D' F' B2 L' F R'
L D' F' B2 R' L' F
D U' F2 R B U' F'
L D' B2 R' F' L' F
L D' B2 F' L' R' F
L D' B2 F' L' F R'
L D' B2 F' R' L' F
L2 F' U L R U L2
L2 F' U R L U L2
D F2 R U' F L' F2
L' F2 U L R F L'
L' F2 U R L F L'
L2 F2 U L U F L'
D' B2 L' F' U L' F2
