B L2 D R2 U2 B
D' L2 D' R2 F' B
D' L2 D' R2 B F'
B L2 D F' R2 U2
B L2 D' F' U2 L2
B L2 F' U F' U
F' L2 B U F' U
D2 R2 D L2 F' B
D2 R2 D L2 B F'
D2 R2 D F' L2 B
D2 R2 D F' B L2
D2 R2 D B L2 F'
D2 R2 D B F' L2
D2 R2 F' D L2 B
D2 R2 F' D B L2
L2 D R2 U2 F' B
L2 D R2 U2 B F'
L2 D F' R2 U2 F'
L2 D F' B R2 U2
L2 D B R2 U2 B
L2 D B F' R2 U2
F2 U' L2 B U2 B2
L2 D' F' B U2 L2
L2 D' B F' U2 L2
F2 U' F L2 B U2
F2 U' F B L2 U2
F2 U' B L2 U2 B'
F2 U' B F L2 U2
L2 F' B U F' U
F' B L2 U F' U
L2 B D R2 U2 B
L2 B D F' R2 U2
L2 B D' F' U2 L2
L2 B F' U F' U
B F' L2 U F' U
D2 L R2 D L2 F' B
D2 L R2 D L2 B F'
D2 L R2 D F' L2 B
D2 L R2 D F' B L2
D2 L R2 D B L2 F'
D2 L R2 D B F' L2
D2 L R2 F' D L2 B
D2 L R2 F' D B L2
F2 L U' L B U2 B2
B L D L R2 U2 B
B L D L F' R2 U2
B L D R2 L U2 B
B L D F' L R2 U2
B L D F' R2 L U2
D' L D' L R2 F' B
D' L D' L R2 B F'
B L D' L F' U2 L
D' L D' R2 L F' B
D' L D' R2 L B F'
D' L D' R2 F' L B
B L D' F' L U2 L
B L F' L U F' U
D2 L' R2 D L2 F' B
D2 L' R2 D L2 B F'
D2 L' R2 D F' L2 B
D2 L' R2 D F' B L2
D2 L' R2 D B L2 F'
D2 L' R2 D B F' L2
D2 L' R2 F' D L2 B
D2 L' R2 F' D B L2
B L' D L' R2 U2 B
B L' D L' F' R2 U2
R2 L' F2 U B R F
B L' D R2 L' U2 B
D' L' D' L' R2 F' B
D' L' D' L' R2 B F'
D' L' D' R2 L' F' B
D' L' D' R2 L' B F'
D' L' D' R2 B L' F'
B L' F' U F' U R
L2 R2 U F2 U F B
L2 R2 U F2 U B F
R2 L2 U F2 U F B
R2 L2 U F2 U B F
F' L' B L' U F' U
L2 R2 U2 D' L2 F' B
L2 R2 U2 D' L2 B F'
L2 R2 U2 D' F' L2 B
L2 R2 U2 D' F' B L2
R2 L2 U2 D' L2 F' B
R2 L2 U2 D' L2 B F'
L2 R2 U2 D' B L2 F'
L2 R2 U2 D' B F' L2
R2 L2 U2 D' F' L2 B
R2 L2 U2 D' F' B L2
R2 L2 U2 D' B L2 F'
R2 L2 U2 D' B F' L2
L2 R2 U2 B D' L2 F'
L2 R2 U2 B D' F' L2
R2 L2 U2 B D' L2 F'
R2 L2 U2 B D' F' L2
L2 R2 D R2 F' B U2
L2 R2 D R2 B F' U2
R2 L2 D R2 F' B U2
R2 L2 D R2 B F' U2
L2 R2 D' U2 L2 F' B
L2 R2 D' U2 L2 B F'
L2 R2 D' U2 F' L2 B
L2 R2 D' U2 F' B L2
L2 R2 D' U2 B L2 F'
L2 R2 D' U2 B F' L2
R2 L2 D' U2 L2 F' B
R2 L2 D' U2 L2 B F'
R2 L2 D' U2 F' L2 B
R2 L2 D' U2 F' B L2
R2 L2 D' U2 B L2 F'
R2 L2 D' U2 B F' L2
F' L2 R2 U' B U' F'
D2 L2 R2 D L2 F' B
D2 L2 R2 D L2 B F'
D2 L2 R2 D F' L2 B
D2 L2 R2 D F' B L2
D2 L2 R2 D B L2 F'
D2 L2 R2 D B F' L2
D' L2 R2 D' F' B R2
D' L2 R2 D' B F' R2
B L2 R2 U F2 U B
D2 L2 R2 F' D L2 B
D2 L2 R2 F' D B L2
D' L2 R2 F' D' B R2
B L2 R2 U2 D' L2 B
B L2 R2 U2 D' B L2
B L2 R2 U2 B D' L2
B L2 R2 D R2 F' U2
B L2 R2 D' U2 L2 B
B L2 R2 D' U2 B L2
F' L2 U F' R2 U F'
F' L2 U F' U' B U2
L' R2 F2 U B R F
B L2 U F2 L2 U B'
B L2 U F2 U' F U2
U' L2 D R2 U2 F' B
U' L2 D R2 U2 B F'
B2 L2 D R2 U2 F B
B2 L2 D R2 U2 B F
U2 L2 D R2 U2 F' B
U2 L2 D R2 U2 B F'
U' L2 D F' R2 U2 F'
U' L2 D F' B R2 U2
B L2 D R2 U2 D B
B L2 D R2 U2 D' B
B L2 D R2 U2 D2 B
B L2 D R2 U2 B D
B L2 D R2 U2 B D'
B L2 D R2 U2 B D2
B L2 D R2 D U2 B
B L2 D R2 D' U2 B
B L2 D R2 D2 U2 B
B L2 D R2 F U2 B
B L2 D R2 F' U2 B
B L2 D R2 F2 U2 B
U' L2 D B R2 U2 B
F' L2 D B U F' U
B2 L2 D F' R2 U2 F2
U' L2 D B F' R2 U2
U2 L2 D F' R2 U2 F'
U2 L2 D F' B R2 U2
B L2 D F R2 F2 U2
U L2 D R2 U2 F' B
U L2 D R2 U2 B F'
U2 L2 D B R2 U2 B
U2 L2 D B F' R2 U2
B L2 D F' R2 U2 D
B L2 D F' R2 U2 D'
B L2 D F' R2 U2 D2
B L2 D F' R2 D U2
B L2 D F' R2 D' U2
B L2 D F' R2 D2 U2
B L2 D F' U2 D2 L2
B L2 D F' D2 U2 L2
B L2 D F2 R2 F U2
U L2 D F' R2 U2 F'
D' L2 D' R2 D F' B
D' L2 D' R2 D B F'
D' L2 D' R2 D' F' B
D' L2 D' R2 D' B F'
D' L2 D' R2 D2 F' B
D' L2 D' R2 D2 B F'
D' L2 D' R2 F' D B
D' L2 D' R2 F' D' B
D' L2 D' R2 F' D2 B
D' L2 D' R2 F' B D
D' L2 D' R2 F' B D'
D' L2 D' R2 F' B D2
D' L2 D' R2 B D F'
D' L2 D' R2 B D' F'
D' L2 D' R2 B D2 F'
D' L2 D' R2 B F' D
D' L2 D' R2 B F' D'
D' L2 D' R2 B F' D2
U L2 D F' B R2 U2
U L2 D B R2 U2 B
U L2 D B F' R2 U2
U' L2 D' F' B U2 L2
B L2 D' R2 U2 L2 B
B L2 D' R2 U2 B L2
F' L2 D' B U F' U
U' L2 D' B F' U2 L2
B2 L2 D' F' U2 L2 F2
B2 L2 D' F' U2 F2 L2
U2 L2 D' F' B U2 L2
U2 L2 D' B F' U2 L2
B L2 D' F' R U2 L2
B L2 D' F' R' U2 L2
B L2 D' F' R2 U2 L2
B L2 D' F' U2 L2 D
B L2 D' F' U2 L2 D'
B L2 D' F' U2 L2 D2
B L2 D' F' D2 R2 U2
B L2 D' F2 U2 L2 B'
U L2 D' F' B U2 L2
U L2 D' B F' U2 L2
F' L2 D2 B U F' U
B L2 D2 F' U' B2 U'
B L2 D2 F' U2 D L2
B L2 D2 F' D U2 L2
B L2 D2 F' D' R2 U2
B2 L2 F' U F' U F'
B L2 F' R2 U' B U'
B L2 F' U D F' U
B L2 F' U D' F' U
B L2 F' U D2 F' U
B L2 F' U F' U D
B L2 F' U F' U D'
B L2 F' U F' U D2
B L2 F' U F' D U
B L2 F' U F' D' U
B L2 F' U F' D2 U
U' L2 F' B U F' U
B' L2 F' B2 U F' U
B L2 F' D U F' U
U2 L2 F' B U F' U
B L2 F' D' U F' U
B L2 F' D2 U F' U
U L2 F' B U F' U
F' L2 B R2 U' B U'
F L2 F2 B U' B2 U'
F L2 F2 B U2 D L2
F L2 F2 B D U2 L2
F L2 F2 B D' R2 U2
F' L2 B U D F' U
F' L2 B U D' F' U
F' L2 B U D2 F' U
F' L2 B U F' U D
F' L2 B U F' U D'
F' L2 B U F' U D2
F' L2 B U F' D U
F' L2 B U F' D' U
F' L2 B U F' D2 U
F' L2 B D U F' U
U' L2 B D R2 U2 B
U' L2 B D F' R2 U2
F' L2 B D' U F' U
U' L2 B D' F' U2 L2
F' L2 B D2 U F' U
F2 L2 B U2 B2 D L2
U2 L2 B D R2 U2 B
U2 L2 B D F' R2 U2
U' L2 B F' U F' U
U2 L2 B D' F' U2 L2
U2 L2 B F' U F' U
U L2 B D R2 U2 B
U L2 B D F' R2 U2
U L2 B D' F' U2 L2
F L2 B F2 U' B2 U'
F L2 B F2 U2 D L2
F L2 B F2 D U2 L2
F L2 B F2 D' R2 U2
L2 U R2 F2 U F B
L2 U R2 F2 U B F
U L2 B F' U F' U
B' L2 B2 D R2 U2 B
B' L2 B2 D F' R2 U2
B' L2 B2 D' F' U2 L2
B' L2 B2 F' U F' U
L2 U F2 U' F B U2
L2 U F2 U' B F U2
D2 R2 L D L2 F' B
D2 R2 L D L2 B F'
D2 R2 L D F' L2 B
D2 R2 L D F' B L2
D2 R2 L D B L2 F'
D2 R2 L D B F' L2
D2 R2 L F' D L2 B
D2 R2 L F' D B L2
D2 R2 L' D L2 F' B
D2 R2 L' D L2 B F'
D2 R2 L' D F' L2 B
D2 R2 L' D F' B L2
D2 R2 L' D B L2 F'
D2 R2 L' D B F' L2
D2 R2 L' F' D L2 B
D2 R2 L' F' D B L2
F' R2 L2 U' B U' F'
D2 R2 L2 D L2 F' B
D2 R2 L2 D L2 B F'
D2 R2 L2 D F' L2 B
D2 R2 L2 D F' B L2
D2 R2 L2 D B L2 F'
D2 R2 L2 D B F' L2
D' R2 L2 D' F' B R2
D' R2 L2 D' B F' R2
D2 R2 L2 F' D L2 B
D2 R2 L2 F' D B L2
D' R2 L2 F' D' B R2
B R2 L2 U F2 U B
B R2 L2 U2 D' L2 B
B R2 L2 U2 D' B L2
B R2 L2 U2 B D' L2
B R2 L2 D R2 F' U2
B R2 L2 D' U2 L2 B
B R2 L2 D' U2 B L2
D2 R2 U B2 U' F' B'
D2 R2 U B2 U' B' F'
F2 R2 U F' D2 R2 B2
F2 R2 U F' D2 B2 R2
F2 R2 U' L2 U2 F' B'
F2 R2 U' L2 U2 B' F'
F2 R2 U' F L2 U2 F2
D R2 U' F2 U' F B
D R2 U' F2 U' B F
D2 R2 D L F' L B
D2 R2 D L' B L' F'
D2 R2 D L2 D F' B
D2 R2 D L2 D B F'
D2 R2 D L2 D' F' B
D2 R2 D L2 D' B F'
D2 R2 D L2 D2 F' B
D2 R2 D L2 D2 B F'
D2 R2 D L2 F' D B
D2 R2 D L2 F' D' B
D2 R2 D L2 F' D2 B
D2 R2 D L2 F' B D
D2 R2 D L2 F' B D'
D2 R2 D L2 F' B D2
D2 R2 D L2 B D F'
D2 R2 D L2 B D' F'
D2 R2 D L2 B D2 F'
D2 R2 D L2 B F' D
D2 R2 D L2 B F' D'
D2 R2 D L2 B F' D2
D R2 U2 D F' B R2
D R2 U2 D B F' R2
D2 R2 D F L2 F2 B
D2 R2 D F L2 B F2
D R2 U2 B D F' R2
D2 R2 D F B L2 F2
D2 R2 D F' L' B L'
D2 R2 D F' L2 D B
D2 R2 D F' L2 D' B
D2 R2 D F' L2 D2 B
D2 R2 D F' L2 B D
D2 R2 D F' L2 B D'
D2 R2 D F' L2 B D2
D2 R2 D F' B L2 D
D2 R2 D F' B L2 D'
D2 R2 D F' B L2 D2
D2 R2 D F' B' L2 B2
D2 R2 D B L F' L
D2 R2 D B L2 D F'
D2 R2 D B L2 D' F'
D2 R2 D B L2 D2 F'
D2 R2 D B L2 F' D
D2 R2 D B L2 F' D'
D2 R2 D B L2 F' D2
D2 R2 D B F L2 F2
D2 R2 D B F' L2 D
D2 R2 D B F' L2 D'
D2 R2 D B F' L2 D2
D2 R2 D B' L2 F' B2
D2 R2 D B' L2 B2 F'
D2 R2 D B' F' L2 B2
D R2 D U2 F' B R2
D R2 D U2 B F' R2
D2 R2 D' F' D2 L2 B
D2 R2 D' F' D2 B L2
D2 R2 D' F' B D2 L2
D2 R2 D' B D2 L2 F'
D2 R2 D' B D2 F' L2
D2 R2 D' B F' D2 L2
D R2 D' L2 U2 F' B
D R2 D' L2 U2 B F'
L' D L' R2 U2 F' B
L' D L' R2 U2 B F'
L D L R2 U2 F' B
L D L R2 U2 B F'
D2 R2 D2 B D' L2 F'
D2 R2 D2 B D' F' L2
L' D L' F' R2 U2 F'
L' D L' F' B R2 U2
L D L F' R2 U2 F'
L D L F' B R2 U2
L' D L' B R2 U2 B
L' D L' B F' R2 U2
L D L B R2 U2 B
L D L B F' R2 U2
D2 R2 F' L D L2 B
D2 R2 F' L D B L2
D2 R2 F' L' D L2 B
D2 R2 F' L' D B L2
D' R2 F' L2 D' B R2
D2 R2 F' L2 D L2 B
D2 R2 F' L2 D B L2
D2 R2 F' U B2 U' B'
D2 R2 F' D L' B L'
D2 R2 F' D L2 D B
D2 R2 F' D L2 D' B
D2 R2 F' D L2 D2 B
D2 R2 F' D L2 B D
D2 R2 F' D L2 B D'
D2 R2 F' D L2 B D2
D2 R2 F' D B L2 D
D2 R2 F' D B L2 D'
D2 R2 F' D B L2 D2
D2 R2 F' D B' L2 B2
D2 R2 F' D' B D2 L2
D2 R2 F' D2 B D' L2
D2 R2 F' B U B U'
D2 R2 F2 D F L2 B
D2 R2 F2 D F B L2
D2 R2 F2 D B F L2
D2 R2 B U B U' F'
L' D R2 L' U2 F' B
L' D R2 L' U2 B F'
D2 R2 B F' U B U'
L2 D R2 U2 D F' B
L2 D R2 U2 D B F'
L2 D R2 U2 D' F' B
L2 D R2 U2 D' B F'
L2 D R2 U2 D2 F' B
L2 D R2 U2 D2 B F'
L2 D R2 U2 F' D B
L2 D R2 U2 F' D' B
L2 D R2 U2 F' D2 B
L2 D R2 U2 F' B D
L2 D R2 U2 F' B D'
L2 D R2 U2 F' B D2
L2 D R2 U2 B D F'
L2 D R2 U2 B D' F'
L2 D R2 U2 B D2 F'
L2 D R2 U2 B F' D
L2 D R2 U2 B F' D'
L2 D R2 U2 B F' D2
L2 D R2 D U2 F' B
L2 D R2 D U2 B F'
L2 D R2 D' U2 F' B
L2 D R2 D' U2 B F'
L2 D R2 D2 U2 F' B
L2 D R2 D2 U2 B F'
L2 D R2 F U2 F2 B
L2 D R2 F U2 B F2
L D R2 L U2 F' B
L D R2 L U2 B F'
L2 D R2 F2 U2 F B
L2 D R2 F2 U2 B F
L2 D R2 B' U2 F' B2
L2 D R2 B' U2 B2 F'
L2 D R2 B2 U2 F' B'
L2 D R2 B2 U2 B' F'
D' R2 B2 U F' B' L2
D' R2 B2 U B' L2 F'
D' R2 B2 U B' F' L2
L2 D F R2 F2 U2 F
D' U L2 D' R2 F' B
D' U L2 D' R2 B F'
L' D F' R2 U2 F' R
L2 D F B R2 F2 U2
L2 D F' R2 U2 D F'
L2 D F' R2 U2 D' F'
L2 D F' R2 U2 D2 F'
L2 D F' R2 U2 F' D
L2 D F' R2 U2 F' D'
L2 D F' R2 U2 F' D2
L2 D F' R2 D U2 F'
L2 D F' R2 D' U2 F'
L2 D F' R2 D2 U2 F'
L2 D F' R2 B U2 F'
L2 D F' R2 B' U2 F'
L2 D F' R2 B2 U2 F'
F2 U L2 B U2 L2 B2
F2 U L2 B U2 B2 L2
L D F' L R2 U2 F'
L D F' L B R2 U2
L2 D F' D2 B U2 L2
L2 D F' D2 B U2 L2
L2 D F' B R2 U2 D
L2 D F' B R2 U2 D'
L2 D F' B R2 U2 D2
L2 D F' B R2 D U2
L2 D F' B R2 D' U2
L2 D F' B R2 D2 U2
L2 D F' B U2 D2 L2
L2 D F' B D2 U2 L2
L2 D F' B' R2 B2 U2
L2 D F' B2 R2 B' U2
L D F' R2 L U2 F'
L2 D F2 R2 F U2 F2
L' D B L' R2 U2 B
L' D B L' F' R2 U2
L' D B R2 L' U2 B
L2 D F2 B R2 F U2
L2 D B R2 U2 D B
L2 D B R2 U2 D' B
L2 D B R2 U2 D2 B
L2 D B R2 U2 B D
L2 D B R2 U2 B D'
L2 D B R2 U2 B D2
L2 D B R2 D U2 B
L2 D B R2 D' U2 B
L2 D B R2 D2 U2 B
L2 D B R2 F U2 B
L2 D B R2 F' U2 B
L2 D B R2 F2 U2 B
D2 U R2 D L2 F' B
D2 U R2 D L2 B F'
D2 U R2 D F' L2 B
D2 U R2 D F' B L2
D2 U R2 D B L2 F'
D2 U R2 D B F' L2
L2 D B D2 F' U2 L2
L2 D B F R2 F2 U2
L2 D B F' R2 U2 D
L2 D B F' R2 U2 D'
L2 D B F' R2 U2 D2
L2 D B F' R2 D U2
L2 D B F' R2 D' U2
L2 D B F' R2 D2 U2
L2 D B F' U2 D2 L2
L2 D B F' D2 U2 L2
L2 D B F2 R2 F U2
D2 U R2 F' D L2 B
D2 U R2 F' D B L2
L D B R2 U2 B R'
L2 D B' R2 B2 U2 B'
F2 U R2 F' D2 R2 B2
F2 U R2 F' D2 B2 R2
L2 D B' F' R2 B2 U2
L2 D B2 R2 B' U2 B2
L2 D B2 F' R2 B' U2
F' U D2 F' U R2 F'
F2 U D2 R2 F' D2 B2
F2 U D2 F2 R2 F' B
F2 U D2 F2 R2 B F'
F2 U F L2 B U2 L2
F2 U F B L2 U2 L2
F' U F' U D2 R2 F'
F' U F' U' L2 B U2
F' U F' U' B L2 U2
L2 D' L2 D2 R2 F' B
L2 D' L2 D2 R2 B F'
R2 D' L2 D' F' B R2
R2 D' L2 D' B F' R2
F' U F' D2 U R2 F'
R2 D' L2 F' D' B R2
F2 U F' D2 R2 F' B2
F2 U F' D2 R2 B2 F'
F2 U F2 D2 R2 F' B
F2 U F2 D2 R2 B F'
B U F2 U' L2 U2 B'
B U F2 U' F L2 U2
F2 U B L2 U2 B' L2
F2 U B F L2 U2 L2
L2 D' R2 U2 L2 F' B
L2 D' R2 U2 L2 B F'
L2 D' R2 U2 F' L2 B
L2 D' R2 U2 F' B L2
L2 D' R2 U2 B L2 F'
L2 D' R2 U2 B F' L2
F2 U B' D2 F2 R2 B
U' D' L2 D' R2 F' B
U' D' L2 D' R2 B F'
D' U' L2 D' R2 F' B
D' U' L2 D' R2 B F'
U2 D' L2 D' R2 F' B
U2 D' L2 D' R2 B F'
U D' L2 D' R2 F' B
U D' L2 D' R2 B F'
F2 U' L' B L' U2 B'
F2 U' L2 U2 B' D2 F2
D2 U' R2 D L2 F' B
D2 U' R2 D L2 B F'
F2 U' L2 D B U2 B2
D2 U' R2 D F' L2 B
D2 U' R2 D F' B L2
D2 U' R2 D B L2 F'
D2 U' R2 D B F' L2
F2 U' L2 D' B U2 B2
L2 D' F' R2 U2 L2 F'
L2 D' F' R2 U2 F' L2
R2 D' F' L2 D' B R2
F2 U' L2 D2 B U2 B2
F2 U' L2 F B U2 B2
F2 U' L2 F' B U2 B2
D2 U' R2 F' D L2 B
D2 U' R2 F' D B L2
F2 U' L2 F2 B U2 B2
F2 U' L2 B U2 B2 D
F2 U' L2 B U2 B2 D'
F2 U' L2 B U2 B2 D2
F2 U' L2 B D2 F2 U2
F2 U' L2 B F U2 B2
F2 U' L2 B F' U2 B2
F2 U' L2 B F2 U2 B2
L2 D' F' D2 R2 U2 F'
L2 D' F' D2 B R2 U2
L2 D' F' B R U2 L2
L2 D' F' B R' U2 L2
L2 D' F' B R2 U2 L2
L2 D' F' B U2 L2 D
L2 D' F' B U2 L2 D'
L2 D' F' B U2 L2 D2
L2 D' F' B D2 R2 U2
L2 D' F' B2 U2 L2 F
L2 D' F2 B U2 L2 B'
L2 D' B R2 U2 L2 B
L2 D' B R2 U2 B L2
L2 D' B D2 R2 U2 B
L2 D' B D2 F' R2 U2
L2 D' B F' R U2 L2
L2 D' B F' R' U2 L2
L2 D' B F' R2 U2 L2
L2 D' B F' U2 L2 D
L2 D' B F' U2 L2 D'
L2 D' B F' U2 L2 D2
L2 D' B F' D2 R2 U2
L2 D' B F2 U2 L2 B'
R2 D' B2 U F' B' L2
R2 D' B2 U B' L2 F'
R2 D' B2 U B' F' L2
L2 D' B2 F' U2 L2 F
F2 U' D2 F U2 R2 F'
F2 U' D2 F B U2 R2
F2 U' D2 B F U2 R2
F2 U' F L' B L' U2
F2 U' F L2 D B U2
F2 U' F L2 D' B U2
F2 U' F L2 D2 B U2
F2 U' F L2 B U2 D
F2 U' F L2 B U2 D'
F2 U' F L2 B U2 D2
F2 U' F L2 B D U2
F2 U' F L2 B D' U2
F2 U' F L2 B D2 U2
F2 U' F U2 D2 R2 F'
B U' D2 B2 U' R2 B
F2 U' F D2 U2 R2 F'
F2 U' F D2 B U2 R2
F2 U' F B L2 U2 D
F2 U' F B L2 U2 D'
F2 U' F B L2 U2 D2
F2 U' F B L2 D U2
F2 U' F B L2 D' U2
F2 U' F B L2 D2 U2
F2 U' F B U2 D2 R2
F2 U' F B D2 U2 R2
F2 U' F B' L2 B2 U2
F2 U' F B2 L2 U2 F
F2 U' F' L2 F2 B U2
F2 U' F' L2 B F2 U2
F2 U' F' B L2 F2 U2
F2 U' F2 L2 F' B U2
F2 U' F2 L2 B F' U2
D' U2 L2 D' R2 F' B
D' U2 L2 D' R2 B F'
F2 U' F2 B L2 F' U2
F2 U' B L2 U2 D B'
F2 U' B L2 U2 D' B'
F2 U' B L2 U2 D2 B'
