R' F' U B' U2 L
L2 R' D2 F' U' F2 L'
L2 R' F' B' U' L F2
L2 R' F' B' U' F2 L
L2 R' B' F' U' L F2
L2 R' B' F' U' F2 L
R' L2 D2 F' U' F2 L'
D2 L2 R' F' U' F2 L'
D' L2 R' F' B U' F2
D' L2 R' B F' U' F2
R' L2 F' B' U' L F2
R' L2 F' B' U' F2 L
R' L2 B' F' U' L F2
R' L2 B' F' U' F2 L
R' U B' U' F' U' L
D2 R' L2 F' U' F2 L'
D' R' L2 F' B U' F2
D' R' L2 B F' U' F2
U2 R' U B' U2 L R'
U2 R' U B' U2 R' L
D' R' F' L2 B U' F
D2 R' F' U R B' U2
D2 R' F' U B' R U2
F' R' F' U B' U2 L
D' R' F' B U B2 U2
D' R' F' B U' D2 F2
D' R' F' B D L2 U'
D' R' F' B D2 U' F2
F2 R' F' U B' U2 L
F R' F' U B' U2 L
D' R' B D L2 F' U'
D' R' B D F' L2 U'
D' R' B D2 F' U' F'
D' R' B F' U B2 U2
D' R' B F' U' D2 F2
D' R' B F' D L2 U'
D' R' B F' D2 U' F2
B U R' F' L' B2 U2
B U R' F' B2 L' U2
B U R' B2 F' L' U2
L2 D' R' F' B U' F2
L2 D' R' B F' U' F2
R' D2 L2 F' U' F2 L'
R D2 L2 B U F L'
L2 D2 R' F' U' F2 L'
R' D2 F' U R B' U2
R' D2 F' U B' R U2
R' F' L2 U' D2 F L'
R' F' L2 D2 U' F L'
R' F' L2 B' U' F L
R' F' U R B' U2 L
R' F' U R' B' U2 L
R' F' U R2 B' U2 L
R' F' U B R' B2 U2
R' F' U B' R U2 L
R' F' U B' R' U2 L
R' F' U B' R2 U2 L
R' F' U B' U2 L D
R' F' U B' U2 L D'
R' F' U B' U2 L D2
R' F' U B' U2 D L
R' F' U B' U2 D' L
R' F' U B' U2 D2 L
R' F' U B' D U2 L
R' F' U B' D' U2 L
R' F' U B' D2 U2 L
R' F' U' L2 D2 F L'
R' F' U' D2 L2 F L'
R' F' D2 L2 U' F L'
R' F' D2 U' L2 F L'
R' F' B U R' B2 U2
R' F' B U B2 U2 L
R' B F' U R' B2 U2
R' B F' U B2 U2 L
U' B' U2 L D' R' B
U' B' U2 R' D L B'
U' B' U2 D L R' B'
U' B' U2 D R' L B'
U' B' U2 D' L R' B
U' B' U2 D' R' L B
R2 B' U' R F' U' L
U' B' D U2 L R' B'
U' B' D U2 R' L B'
U' B' D' U2 L R' B
U' B' D' U2 R' L B
U B' U2 D L B' R'
R B' U2 D L B2 R'
U B' D U2 L B' R'
R B' D L2 U2 L' B2
R B' D L2 U2 B2 L'
R B' D U2 L B2 R'
R B' D' F2 U2 L R2
R B' D' F2 U2 R2 L
