B' L D F' R B
B' L R D' B R' F'
B' L D F' R D B
B' L D F' R D' B
B' L D F' R D2 B
B' L D F' R B D
B' L D F' R B D'
B' L D F' R B D2
B' L D F' D R B
B' L D F' D' R B
B' L D F' D2 R B
B' L D F' B R B
B' L D F' B' R B
B' L D F' B2 R B
B2 L D F' R B L
B' L D B F' R B
B' L D B' F' R B
B' L D B2 F' R B
B' L D' R B R' F'
B' L D' F' R B R'
B' L F' R D' B R'
B' L F' D' R B R'
B' L B D F' R B
B' L B' D F' R B
B' L B2 D F' R B
U2 L' U F' B' L R'
U2 L' U F' B' R' L
U2 L' U B' L F' R'
U2 L' U B' F' L R'
U2 L' U B' F' R' L
U2 L' B' L F' D R2
U2 L2 B' U L F' B'
U2 L2 B' U L B' F'
U2 L2 B' U F' L B'
B' R L D' B R' F'
F R U' F2 B' L B2
F R U' B' L F2 B2
F R U' B' L B2 F2
F R U' B' F2 L B2
F' R B' L B2 D R2
F R B' U' L F2 B2
F R B' U' L B2 F2
F R B' U' F2 L B2
F R' U' F2 L2 B' L
F' R' B' L D R2 B
F' R' B' D L R2 B
F' R' B' D R2 L B
F' R' B2 D R2 B L
D2 U F R U' L' F2
B' U F R U' L F2
B' U F R U' F2 L
B2 U F R B U' F2
D2 U' F U' L' F2 B'
D2 U' F U' L' B' F2
U' D2 F U' L' F2 B'
U' D2 F U' L' B' F2
U D2 F R U' L' F2
F U2 L' U F2 B' L
F U2 L' U B' L F2
F U2 L' U B' F2 L
U2 F L' U' F2 B' L
U2 F L' U' B' L F2
U2 F L' U' B' F2 L
B2 U2 F' L' D R2 B'
B2 U2 F' L' D B' R2
B2 U2 F' L' B' D R2
D2 F R U' L' F2 B
D2 F R U' L' B F2
D2 F R U' B L' F2
B2 U2 F' D L' R2 B'
B2 U2 F' D L' B' R2
B2 U2 F' D R2 L' B'
U F R B' U' L F2
U F R B' U' F2 L
U' F U' L' F2 B' L
U' F U' L' B' L F2
U' F U' L' B' F2 L
U' F U' F2 L' B' L
R2 F U B R' U2 B
B' D L D F' R B
U' F B' R' U' L F2
U' F B' R' U' F2 L
U F B' R U' L F2
U F B' R U' F2 L
U2 F' L' B' L D R2
U2 F' L' B' D L R2
U2 F' L' B' D R2 L
B' D' L D F' R B
B' D2 L D F' R B
R2 B R' U' F U' B
B' F R U' L F2 B
B' F R U' L B F2
B' F R U' F2 L B
B' F' L R D B R2
B' F' L R B D R2
B' F' L R' D R2 B
B' F' L D R B R
F' B' L R D B R2
F' B' L R B D R2
F' B' L R' D R2 B
F' B' L D R B R
L2 B' U F' L D' B2
B' F' R L D B R2
B' F' R L B D R2
B' F' R D L B R2
F' B' R L D B R2
F' B' R L B D R2
F' B' R D L B R2
B' F' R' L D R2 B
B2 F' R D B L R2
B2 F' R D B R2 L
B' F' R' D L R2 B
B' F' R' D R2 L B
B2 F' R B L D R2
F' B' R' L D R2 B
B2 F' R B D L R2
B2 F' R B D R2 L
F' B' R' D L R2 B
F' B' R' D R2 L B
B2 F' R' D R2 B L
F B' R U' L F2 B
F B' R U' L B F2
F B' R U' F2 L B
L B' D L F' R B
L B' D F' L R B
U' B' F R' U' L F2
L B' D F' R L B
U' B' F R' U' F2 L
B' F' D L R B R
B' F' D R L B R
B' F' D R2 D2 L B'
F' B' D L R B R
F' B' D R L B R
U B' F R U' L F2
U B' F R U' F2 L
F' B' D R2 D2 L B'
B2 F' D R B L R
B2 F' D R B R L
F' B2 R D B L R2
F' B2 R D B R2 L
F' B2 R B L D R2
F' B2 R B D L R2
F' B2 R B D R2 L
F' B2 R' D R2 B L
L B2 D F' R B L
F' B2 D R B L R
F' B2 D R B R L
