U' R U B U B
U' L R U B U B
F2 L F U L2 B2 R'
F2 L F' U L2 R B2
F2 L F' U L2 B2 R
F2 L F' U R L2 B2
F2 L F' U R B2 L2
F2 L F' U B2 L2 R
F2 L F' U B2 R L2
U' L' R U B U B
U' L2 R U B U B
D L2 U' R U B U
R U L' R' B' U B'
F' L2 F' U B2 L' R'
F' L2 F' U B2 R' L'
F2 L2 F' U L R B2
F2 L2 F' U L B2 R
F2 L2 F' U R L B2
R U R' L' B' U B'
R U R' U B' R' B'
R U R' B' U B' R'
U' R L U B U B
U' R L' U B U B
U' R L2 U B U B
U' R U L B U B
U' R U L' B U B
U' R U L2 B U B
B' R U R' U B' R'
U' R U D L2 B U
U' R U D B L2 U
U' R U B L U B
U' R U B L' U B
U' R U B L2 U B
U' R U B U D B
U' R U B U D' B
U' R U B U D2 B
U' R U B U B D
U' R U B U B D'
U' R U B U B D2
U' R U B D U B
U' R U B D' U B
U' R U B D2 U B
U' R U' R2 F' U' B2
U' R U' D' R2 F' U'
U' R U2 B' D' R2 B'
U' R U2 B' D' B' R2
U' R U2 B2 U' B' U
U' R D U L2 B U
U' R D U B L2 U
U' R D' U' R2 F' U'
U' R D2 F2 U B U
U' R F U B U B
U' R F' U B U B
F R F B2 L' D F2
L' U' R U B U B
L2 U' R U B U B
L U' R U B U B
U' R F2 U B U B
F R B2 F L' D F2
U2 R2 B' U' R' B' L
U R2 B2 L U F U'
F2 U L' F' R F B2
F2 U L' F' R B2 F
F2 U L' F' B2 R F
F2 U L' B D2 B R'
F2 U L' B2 F' R F
U' D R U L2 B U
U' D R U B L2 U
F U R F L' F' B2
F U R F L' B2 F'
F U R F B2 L' F'
F U R B' D2 B' L
F U R B2 F L' F'
F U F L' F' R B2
F U F L' F' B2 R
F U F L' B2 F' R
F2 U F' R F L' B2
F2 U F' R F B2 L'
F2 U F' R B2 F L'
F U F B2 L' F' R
F2 U F' B2 R F L'
F2 U B L' D2 B R'
F2 U B D2 L' B R'
F2 U B D2 B L' R'
F2 U B D2 B R' L'
F2 U B2 L' F' R F
F U B' R D2 B' L
F U B' D2 R B' L
F U B' D2 B' L R
F U B' D2 B' R L
F2 U B2 F' R F L'
F U B2 R F L' F'
D2 U' R F2 U B U
F U B2 F L' F' R
D U' R U L2 B U
D U' R U B L2 U
B' U' R U B U B2
B' U' R U2 B' D' R2
B2 U' R U B U B'
U' D2 R F2 U B U
R F R B2 L D' F2
R F R B2 D' L F2
R F R B2 D' F2 L
R F R' U R2 B2 L
R F U R' U R2 B2
R F U R' U B2 R2
R F U2 R B2 D' F2
R2 F B2 L D' R F2
R2 F B2 D' L R F2
R2 F B2 D' R L F2
R2 F B2 D' R F2 L
R F' L' U R' U B2
R2 F' B2 D' F2 L R
R2 F' B2 D' F2 R L
D F2 L2 F' U L R
D F2 L2 F' U R L
U2 F2 B' U' R' B' L'
B' F U R D2 B' L
B' F U D2 R B' L
B' F U D2 B' L R
B' F U D2 B' R L
F2 B U L' D2 B R'
F2 B U D2 L' B R'
F2 B U D2 B L' R'
F2 B U D2 B R' L'
B' F D2 U R B' L
B' F D2 U B' L R
B' F D2 U B' R L
F2 B D2 U L' B R'
F2 B D2 U B L' R'
F2 B D2 U B R' L'
U2 B' U R U2 R2 B'
U2 B' U R U2 B' R2
U2 B' U' R' D2 B' L2
U2 B' U' R' B' D2 L2
F B' U R D2 B' L
F B' U D2 R B' L
F B' U D2 B' L R
F B' U D2 B' R L
U2 B' F2 U' R' B' L'
R2 B2 L D' F R F
R2 B2 L F D' R F2
R2 B2 L F' D' F2 R
F B' D2 U R B' L
F B' D2 U B' L R
F B' D2 U B' R L
B F2 U L' D2 B R'
B F2 U D2 L' B R'
B F2 U D2 B L' R'
B F2 U D2 B R' L'
U B2 U2 R U B U
R2 B2 D' L F R F
R2 B2 D' F R F L
R2 B2 F L D' R F2
R2 B2 F D' L R F2
R2 B2 F D' R L F2
R2 B2 F D' R F2 L
R2 B2 F' D' F2 L R
R2 B2 F' D' F2 R L
B F2 D2 U L' B R'
B F2 D2 U B L' R'
B F2 D2 U B R' L'
