B' L F U D2 F2 R
B' L F U' L' B2 U2
B' L F U' B2 L' U2
B' L F D2 U F2 R
F L' B U' R' B2 U'
B2 U B' R' F' U2 R
B U' R' F' U' L' R
B U' R' F' U' R L'
B U' F' R' U' L' R2
B U' F' R' U' R2 L'
B' D' L R2 F B' U
B' D' L R2 B' F U
B' D' L F R2 B' U
B' D' L F B' R2 U
B' D' L B' R2 F U
B' D' L B' F R2 U
B' D' R2 L F B' U
B' D' R2 L B' F U
R' B R' U' F' L' R
R' B R' U' F' R L'
B F L' U' R' B' U'
F B L' U' R' B' U'
F2 B U' R' F' U' L'
R2 B' L F U F2 R
R2 B2 U F' R B L
R2 B2 U' F' L' R B'
R2 B2 U' F' L' B' R
R2 B2 U' F' R L' B'
B F2 U' R' F' U' L'
