D L B' L2 U F2 L'
D L' U2 F U' F L'
B L' F2 R U L' R2
B L' F2 R U R2 L'
F2 L2 D' R F' U' L
F2 R B L2 U' L R'
F2 R B L2 U' R' L
B D L' U F2 L' R'
B D L' U F2 R' L'
B D F2 L' R' D B2
B D F2 R' L' D B2
B D F2 R' D L' B2
B D F2 R' D B2 L'
D F2 L' U R F U'
L' F2 R B U L' R'
L' F2 R B U R' L'
L' F2 B R U L' R2
L' F2 B R U R2 L'
F2 B L2 R U' L R2
F2 B L2 R U' R2 L
F2 B R L2 U' L R2
F2 B R L2 U' R2 L
F2 B R' D L' F2 B2
F2 B R' D L' B2 F2
F2 B R' D B2 L' F2
L' B F2 R U L' R2
L' B F2 R U R2 L'
L2 B' U L R U2 B
L2 B' U R L U2 B
B F2 L2 R U' L R2
B F2 L2 R U' R2 L
B F2 R L2 U' L R2
B F2 R L2 U' R2 L
B F2 R' D L' F2 B2
B F2 R' D L' B2 F2
B F2 R' D B2 L' F2
