F' U B' R D' F2
B' L U' F' U R F2
F2 L D F L' R B'
F2 L D F L' B' R
F2 L D F R L' B'
B' L F U' F2 U R
B' L F' R F2 D' L2
B2 L F' U B R F2
B L F' U R F2 B2
B L F' U R B2 F2
B L F' U B2 R F2
L U F' U R F2 B
L U F' U R B F2
L U' F' L' U R F2
U2 R' F' D R B' L
U2 R' F' D B' L R
U2 R' F' D B' R L
F' U R B' U' R' U
F' U D B' R D' F2
F' U D' B' R D' F2
F' U D2 B' R D' F2
F2 U F U B' R' F'
F' U B' R U' R2 U
F' U B' R D' F2 D
F' U B' R D' F2 D'
F' U B' R D' F2 D2
F' U B' R F D' F2
F' U B' R F' D' F2
F' U B' R F2 D' F2
F' U B' U' R' U R2
F' U B' D R D' F2
F' U B' D' R D' F2
F' U B' D2 R D' F2
F' U B2 D' B R F'
B' U' F R F2 U R
F2 U' F R B U B2
B' U' F' U2 L' U' R
F' U2 R' U' F' R2 B'
F' U2 R' U' F' B' R2
F' U2 R' U' B' F' R2
L2 F L' U F2 U F'
L2 F L' U2 D' F L2
L2 F L' D R2 U2 F
L2 F L' D' U2 F L2
U' F R F2 U R B'
U' F R F2 U B' R
F2 U2 B' R' F' D' L2
F' D U B' R D' F2
L F' L' U R F2 B'
L F' L' U R B' F2
L F' L' U B' R F2
R2 F' R D B' L F
U2 F' R' U F' R2 B'
U2 F' R' U F' B' R2
U2 F' R' U B' F' R2
U F' R2 U R' F' B'
U F' R2 U R' B' F'
L2 F' U D2 R F' B2
L2 F' U D2 R B2 F'
L2 F' U D2 B2 R F'
U F' U R B' D2 F2
U F' U R' F' R2 B'
U F' U R' F' B' R2
U F' U R' B' F' R2
L2 F' U' F2 L' U2 F
U F' U B' R' F' R2
R' F' D R B' L F
R' F' D B' L R F
R' F' D B' R L F
L2 F' D2 U R F' B2
L2 F' D2 U R B2 F'
L2 F' D2 U B2 R F'
F' D' U B' R D' F2
R' F2 D B' L F R
F' D2 U B' R D' F2
F' B L U R F B2
F' B L U R B2 F
F' B L U B2 R F
F' B U B2 D' R F'
B2 F' L U B R F
F2 B' L D F L' R
F2 B' L D F R L'
B F' L U R F B2
B F' L U R B2 F
B F' L U B2 R F
U B' U' F' R' U R2
F2 B' U' F R B U
B F' U B2 D' R F'
B' F2 L D F L' R
B' F2 L D F R L'
F' B2 L U B R F
B' F2 U' F R B U
