F' L' U D R2 F
F' L' U D F R2
F' L' U2 F2 U' F'
F' L' D U R2 F
F' L' D U F R2
F' L' D2 B2 U F
F U2 F2 L' U F
L' F' L' B' U F2
F D2 R B2 U' F'
F D2 B2 R U' F'
F L R U' D' L2 F
F L R D' U' L2 F
L' R U' F R B L
F L D' R U' L2 F
R L' U' F R B L
F' L' R U D R2 F
F' L' R U D F R2
F' L' R U2 F2 U' F'
F' L' R D U R2 F
F' L' R D U F R2
F L' R U' D' F L2
F L' R U2 F2 U F'
F' L' R D2 B2 U F
F L' R D' U' F L2
F L' R D2 B2 U' F
F' L' R' U D R2 F
F' L' R' U D F R2
F' L' R' U2 F2 U' F'
F' L' R' D U R2 F
F' L' R' D U F R2
F' L' R' D2 B2 U F
F' L' R2 U D R2 F
F' L' R2 U D F R2
F' L' R2 U2 F2 U' F'
F' L' R2 D U R2 F
F' L' R2 D U F R2
F' L' R2 D2 B2 U F
F' L' U R D R2 F
F' L' U R D F R2
F' L' U R' D R2 F
F' L' U R' D F R2
F' L' U R2 D R2 F
F' L' U R2 D F R2
F' L' U D R' F R'
F' L' U D R2 D F
F' L' U D R2 D' F
F' L' U D R2 D2 F
F' L' U D R2 F D
F' L' U D R2 F D'
F' L' U D R2 F D2
F' L' U D F R2 D
F' L' U D F R2 D'
F' L' U D F R2 D2
F' L' U D F' R2 F2
F' L' U D' F D2 R2
F' L' U D2 F D' R2
F' L' U F U F U'
F' L' U' D' L2 B' U2
F' L' U2 F2 L U' F'
F' L' U2 F2 L' U' F'
F' L' U2 F2 L2 U' F'
F' L' U2 F2 U' D F'
F' L' U2 F2 U' D' F'
F' L' U2 F2 U' D2 F'
F' L' U2 F2 U' F' D
F' L' U2 F2 U' F' D'
F' L' U2 F2 U' F' D2
F' L' U2 F2 D U' F'
F' L' U2 F2 D' U' F'
F' L' U2 F2 D2 U' F'
F L' U2 F2 L' U F'
F' L' D R U R F
F' L' D R' U R' F
F' L' D R' U F R'
F' L' D U R' F R'
F' L' D U R2 D F
F' L' D U R2 D' F
F' L' D U R2 D2 F
F' L' D U R2 F D
F' L' D U R2 F D'
F' L' D U R2 F D2
F' L' D U F R2 D
F' L' D U F R2 D'
F' L' D U F R2 D2
F' L' D U F' R2 F2
F' L' D B U R2 F
F' L' D B U F R2
F' L' D B' U R2 F
F' L' D B' U F R2
F' L' D B2 U R2 F
F' L' D B2 U F R2
F' L' D' U F D2 R2
F' L' D' U' L2 B' U2
F L' D' R U' F L2
R2 L' B U' F R B
F' L' D2 R B2 U F
F' L' D2 R' B2 U F
F' L' D2 R2 B2 U F
F' L' D2 U F D' R2
F L' D2 R B2 U' F
F' L' D2 B2 R U F
F' L' D2 B2 R' U F
F' L' D2 B2 R2 U F
F' L' D2 B2 U D F
F' L' D2 B2 U D' F
F' L' D2 B2 U D2 F
F' L' D2 B2 U F D
F' L' D2 B2 U F D'
F' L' D2 B2 U F D2
F' L' D2 B2 D U F
F' L' D2 B2 D' U F
F' L' D2 B2 D2 U F
F L' D2 B2 R U' F
B' L' F' L' B' U F2
B2 L' F' L' B' U F2
D L' F' L' R B' U
D L' F' L' B' R U
B L' F' L' B' U F2
D L' F' R L' B' U
U L' F' U F2 B' R'
U L' F' U B' R' F2
U L' F' U B' F2 R'
F' L' B U D R2 F
F' L' B U D F R2
F' L' B U2 F2 U' F'
F' L' B D U R2 F
F' L' B D U F R2
F' L' B D2 B2 U F
F' L' B' U D R2 F
F' L' B' U D F R2
F' L' B' U2 F2 U' F'
F' L' B' D U R2 F
F' L' B' D U F R2
F' L' B' D2 B2 U F
F' L' B2 U D R2 F
F' L' B2 U D F R2
F' L' B2 U2 F2 U' F'
F' L' B2 D U R2 F
F' L' B2 D U F R2
F' L' B2 D2 B2 U F
L' R2 B U' F R B
F' L2 D L U R2 F
F' L2 D L U F R2
F' L2 D2 L B2 U F
D L2 F' R B' L' U
D L2 F' B' L' R U
D L2 F' B' R L' U
D L2 B' F' L' R U
D L2 B' F' R L' U
F R L U' D' L2 F
F' R L' U D R2 F
F' R L' U D F R2
F R L D' U' L2 F
F' R L' U2 F2 U' F'
F' R L' D U R2 F
F' R L' D U F R2
F' R L' D2 B2 U F
F R L' U' D' F L2
F R L' U2 F2 U F'
F R L' D' U' F L2
F R L' D2 B2 U' F
F R U' L D' L2 F
F R U' L' D' F L2
F R D' B' L U' L
D2 R F R B U' F2
F2 R F L' U F R
D R F L' R B U'
D R F R L' B U'
D R F R B L' U'
F' R' L' U D R2 F
F' R' L' U D F R2
F' R' L' U2 F2 U' F'
F' R' L' D U R2 F
F' R' L' D U F R2
L' U' F R D' L2 B
L' U' F R D' B L2
L' U' F R B D' L2
F' R' L' D2 B2 U F
L' U' F D' L2 R B
L' U' F D' R L2 B
L' U' F D' R B L2
F' R2 L' U D R2 F
F' R2 L' U D F R2
F' R2 L' U2 F2 U' F'
F' R2 L' D U R2 F
F' R2 L' D U F R2
F' R2 L' D2 B2 U F
F2 R2 F L' B U F
D R2 F L' B R U'
F2 R2 F B L' U F
D R2 F B L' R U'
D R2 F B R L' U'
F2 R2 B F L' U F
D R2 B F L' R U'
D R2 B F R L' U'
R2 D F L' B R U'
L' D F' L' B' U F2
R D F L' R B U'
R2 D F B L' R U'
R2 D F B R L' U'
R D F R L' B U'
R D F R B L' U'
R D F R B L' U'
R2 D B F L' R U'
R2 D B F R L' U'
L' D' F' L' B' U F2
L' D2 F' L' B' U F2
R2 D2 F B R U' F'
R D2 F R B U' F'
F U2 L' F2 L' U F'
R2 D2 B F R U' F'
D F L' R U' D' L2
D F L' R U2 F2 U
D F L' R D' U' L2
D F L' R D2 B2 U'
D F L' U2 F2 L' U
D F L' D' R U' L2
D F L' D2 R B2 U'
R2 F L' B R U' F
D F L' D2 B2 R U'
R F L' R B U' F
D2 F R U' D' L2 F'
D2 F R U' D' F' L2
D2 F R U2 F2 U F
D2 F R D' U' L2 F'
D2 F R D' U' F' L2
D2 F R D2 B2 U' F'
F' U2 F2 L' R U' F
F' U2 F2 R L' U' F
D F R L' U' D' L2
D F R L' U2 F2 U
D F R L' D' U' L2
D F R L' D2 B2 U'
F' U2 F2 D2 R U' F'
D F R U2 F2 R U
D F R D' L' U' L'
D F R D2 L' B2 U'
D F R D2 B2 L' U'
R F R L' B U' F
F U2 F2 L' R U F
F U2 F2 L' R' U F
F U2 F2 L' R2 U F
F U2 F2 L' U D F
F U2 F2 L' U D' F
F U2 F2 L' U D2 F
F U2 F2 L' U F D
F U2 F2 L' U F D'
F U2 F2 L' U F D2
F U2 F2 L' D U F
F U2 F2 L' D' U F
F U2 F2 L' D2 U F
F U2 F2 R L' U F
F U2 F2 R' L' U F
F U2 F2 R2 L' U F
R F R B L' U' F
D F U2 F2 L' R U
D F U2 F2 R L' U
D' F D' R U' L2 F'
D' F D' R U' F' L2
D F D' L' R U' L'
D F D' R L' U' L'
D F D2 L' R B2 U'
D F D2 L' B2 R U'
D F D2 R L' B2 U'
D F D2 R B2 L' U'
R2 F D2 B R U' F'
R2 F B L' R U' F
D F D2 B2 L' R U'
D F D2 B2 R L' U'
R2 F B R L' U' F
R F D2 R B U' F'
R2 F B D2 R U' F'
L' F' L' R B' U F2
L' F' L' R' B' U F2
L' F' L' R2 B' U F2
L' F' L' D R2 B' U
L' F' L' D B' R2 U
L' F' L' B' R U F2
L' F' L' B' R' U F2
L' F' L' B' R2 U F2
L' F' L' B' U F2 D
L' F' L' B' U F2 D'
L' F' L' B' U F2 D2
L' F' L' B' D R2 U
D F' L' R U D R2
D F' L' R U2 F2 U'
D F' L' R D U R2
D F' L' R D2 B2 U
D F' L' U2 F2 L' U'
D F' L' D R U R
D F' L' D2 R B2 U
D F' L' D2 B2 R U
L' F' R L' B' U F2
L' F' R' L' B' U F2
D F' R L' U D R2
D F' R L' U2 F2 U'
D F' R L' D U R2
D F' R L' D2 B2 U
D F' R U2 F2 R U'
D F' R D L' U R2
D F' R D2 L' B2 U
D F' R D2 B2 L' U
L' F' R2 L' B' U F2
D2 F' U2 F2 R U' F'
D' F' D L' U R2 F
D' F' D L' U F R2
L' F' D L' R2 B' U
L' F' D L' B' R2 U
L' F' D R2 L' B' U
D F' U2 F2 L' R U'
D F' U2 F2 R L' U'
D F' D L' R U R
D F' D R L' U R
D2 F' D2 L' B2 U F
D2 F' D2 B2 L' U F
L' F' B L' B' U F2
D F' D2 L' R B2 U
D F' D2 L' B2 R U
D F' D2 R L' B2 U
D F' D2 R B2 L' U
L' F' B' L' B' U F2
F D' R B' L U' L
D F' D2 B2 L' R U
D F' D2 B2 R L' U
L2 F' B' L' U' B' U2
L' F' B2 L' B' U F2
F D' B' L R U' L
F D' B' R L U' L
F' D2 L' R B2 U F'
F D2 L R B2 U' F'
F' D2 L' B2 R U F'
F D2 L B2 R U' F'
