R2 U R' U' F'
B L R U' L' R
B L R U' R L'
L' R U' L R F
L' R U' R L F
R L' U' L R F
R L' U' R L F
R2 U L R' U' F'
R2 U L' R' U' F'
R2 U L2 R' U' F'
R2 U R' L U' F'
R2 U R' L' U' F'
R2 U R' L2 U' F'
R2 U R' U' D F'
R2 U R' U' D' F'
R2 U R' U' D2 F'
R2 U R' U' F' D
R2 U R' U' F' D'
R2 U R' U' F' D2
R' U R2 U' R F'
R2 U R' D U' F'
R2 U R' D' U' F'
R2 U R' D2 U' F'
R2 U D R' U' F'
R2 U D' R' U' F'
B R L U' L' R
B R L U' R L'
R2 U D2 R' U' F'
U R U B U2 R
U R U' R2 F' R'
B R2 U L R' U'
B R2 U R' L U'
R2 D U R' U' F'
B U L R U' R
B U R L U' R
R2 D' U R' U' F'
R2 D2 U R' U' F'
R2 F U R' U' F'
R2 F' U R' U' F'
R2 F2 U R' U' F'
R B L U' L' R
R B L U' R L'
B L R U' L' R D
B L R U' L' R D'
B L R U' L' R D2
B L R U' L' D R
B L R U' L' D' R
B L R U' L' D2 R
B L R U' R L' D
B L R U' R L' D'
B L R U' R L' D2
B L R U' R D L'
B L R U' R D' L'
B L R U' R D2 L'
B L R U' D L' R
B L R U' D R L'
B L R U' D' L' R
B L R U' D' R L'
B L R U' D2 L' R
B L R U' D2 R L'
U L R U B U2 R
U L R U' R2 F' R'
R2 L U R' U' L' F'
B L R D U' L' R
B L R D U' R L'
B L R D' U' L' R
B L R D' U' R L'
B L R D2 U' L' R
B L R D2 U' R L'
B L R B U' L' R
B L R B U' R L'
L' R U' L R D F
L' R U' L R D' F
L' R U' L R D2 F
L' R U' L R F D
L' R U' L R F D'
L' R U' L R F D2
L' R U' L R' F R2
L' R U' L R2 F R'
L' R U' L D R F
L' R U' L D' R F
L' R U' L D2 R F
B L R B' U' L' R
B L R B' U' R L'
B L R B2 U' L' R
B L R B2 U' R L'
L' R U' R L D F
L' R U' R L D' F
L' R U' R L D2 F
L' R U' R L F D
L' R U' R L F D'
L' R U' R L F D2
L' R U' R D L F
L2 R U' L R F L
L' R U' R D' L F
L' R U' R D2 L F
L' R U' R F L F
L R U' L R F L2
L' R U' R F' L F
L' R U' R F2 L F
L' R U' R' L F R2
L' R U' R2 L F R'
L2 R U' L2 D2 R F'
L' R U' D L R F
L' R U' D R L F
R L U' L R F L2
L2 R U' R L F L
L R U' R L F L2
L' R U' D' L R F
L' R U' D' R L F
L' R U' D2 L R F
L' R U' D2 R L F
R L U' R L F L2
L' R U' F' L F R
L' R D U' L R F
L' R D U' R L F
L' R D' U' L R F
L' R D' U' R L F
U' L U2 R U' R F
L' R D2 U' L R F
L' R D2 U' R L F
L R B L U' L2 R
L R B L U' R L2
L2 R B L U' L R
L2 R B L U' R L
R L B L U' L2 R
R L B L U' R L2
B L B R U' L' R
B L B R U' R L'
R2 L' U R' U' L F'
R2 L' U R' U' F' L
B L B' R U' L' R
B L B' R U' R L'
R L' U' L R D F
R L' U' L R D' F
R L' U' L R D2 F
R L' U' L R F D
R L' U' L R F D'
R L' U' L R F D2
R L' U' L R' F R2
R L' U' L R2 F R'
R L' U' L D R F
R L' U' L D' R F
R L' U' L D2 R F
R L' U' R L D F
R L' U' R L D' F
R L' U' R L D2 F
R L' U' R L F D
R L' U' R L F D'
R L' U' R L F D2
R L' U' R D L F
R L' U' R D' L F
R L' U' R D2 L F
R L' U' R F L F
R L' U' R F' L F
R L' U' R F2 L F
R L' U' R' L F R2
R L' U' R2 L F R'
R L' U' D L R F
R L' U' D R L F
R L' U' D' L R F
R L' U' D' R L F
R L' U' D2 L R F
R L' U' D2 R L F
R L' U' F' L F R
B L B2 R U' L' R
B L B2 R U' R L'
U L' R U B U2 R
U L' R U' R2 F' R'
D' L' R F2 U' L F
F2 L' R' U L R' F'
F2 L' R' U R' L F'
F2 L' R' U R' F' L
R L' D U' L R F
R L' D U' R L F
R L' D' U' L R F
R L' D' U' R L F
F2 L' U L R' F' R'
F2 L' U R' L F' R'
F2 L' U R' F' L R'
F2 L' U R' F' R' L
R L' D2 U' L R F
R L' D2 U' R L F
F2 L' U' L F R2 B
L' R2 U R' U' L F'
L' R2 U R' U' F' L
L2 R2 U R' U' L2 F'
R2 L2 U R' U' L2 F'
L2 R2 U R' U' F' L2
R2 L2 U R' U' F' L2
L R2 U R' U' L' F'
R L2 U' L R F L
R L2 U' L2 D2 R F'
R L2 U' R L F L
U L2 R U B U2 R
U L2 R U' R2 F' R'
R L2 B L U' L R
R L2 B L U' R L
R' U L R2 U' R F'
R2 U L R' U' D F'
R2 U L R' U' D' F'
R2 U L R' U' D2 F'
R2 U L R' U' F' D
R2 U L R' U' F' D'
R2 U L R' U' F' D2
R2 U L R' D U' F'
R2 U L R' D' U' F'
R2 U L R' D2 U' F'
R2 U L D R' U' F'
R2 U L D' R' U' F'
R2 U L D2 R' U' F'
R' U L' R2 U' R F'
R2 U L' R' U' D F'
R2 U L' R' U' D' F'
R2 U L' R' U' D2 F'
R2 U L' R' U' F' D
R2 U L' R' U' F' D'
R2 U L' R' U' F' D2
R2 U L' R' D U' F'
R2 U L' R' D' U' F'
R2 U L' R' D2 U' F'
R2 U L' D R' U' F'
R2 U L' D' R' U' F'
R2 U L' D2 R' U' F'
R' U L2 R2 U' R F'
R2 U L2 R' U' D F'
R2 U L2 R' U' D' F'
