D B R' U L B'
D L B R' U L B2
B' L B2 R U L F'
B' L B2 R U F' L
B R U L D F' B2
B R U L D B2 F'
B R U L F' D B2
B R U D L F' B2
B R U D L B2 F'
B R U D F' L B2
B R U F' L D B2
B R U F' D L B2
B R D U L F' B2
B R D U L B2 F'
B R D U F' L B2
B R D2 L2 U L' F'
B R' U' B U2 B' L
R D F' B L R' B'
R D F' B R' L B'
L' D B R' U L B'
L2 D B R' U L B'
R D B L F' R' B'
L D B R' U L B'
R D B F' L R' B'
R D B F' R' L B'
R D' F' R' B L R2
R D' F' R' B R2 L
D2 F L' B U F L
D2 F B L' U F L2
D F B R' U L B'
F' D B R' U L B'
F2 D B R' U L B'
F D B R' U L B'
R F' D B L R' B'
R F' D B R' L B'
R2 F' B R' U' L F'
R2 F' B R' U' F' L
D F' B R' U L B'
D F2 B R' U L B'
D B L' R' U L2 B'
D B R' L' U L2 B'
D B R' U L D B'
D B R' U L D' B'
D B R' U L D2 B'
D B R' U L B' D
D B R' U L B' D'
D B R' U L B' D2
D B R' F U L B'
D B R' F' U L B'
D B R' F2 U L B'
D2 B F L' U F L2
D B D2 R' U L B
D B F R' U L B'
R2 B F' R' U' L F'
R2 B F' R' U' F' L
D B F' R' U L B'
D B F2 R' U L B'
