D2 R2 B U' F2
D2 L R2 B U' F2
D2 L' R2 B U' F2
D2 L2 R2 B U' F2
D L2 D R2 B U'
F' L2 D' R2 B' U
F' L2 D' B' R2 U
U2 L2 D' F' R2 U
F' L2 D2 B' U F2
U2 L2 D2 F' U F'
U2 L2 F' U D2 F2
U2 L2 F' U' B2 U2
U2 L2 F' D' R2 U
U2 L2 F' D2 U F2
F' L2 B' U' B' U2
D2 R2 L B U' F2
D2 R2 L' B U' F2
D2 R2 L2 B U' F2
D2 R2 D' L2 B U'
D2 R2 D' B L2 U'
D2 R2 B L U' F2
D2 R2 B L' U' F2
D2 R2 B L2 U' F2
D2 R2 B U' F2 D
D2 R2 B U' F2 D'
D2 R2 B U' F2 D2
D2 R2 B D' L2 U'
U2 D' F' R2 U B2
D' U2 F' R2 U B2
B2 U2 L2 F' U F
B' U2 L2 F' U F2
R2 D2 B R2 U' F2
B' U2 F' L2 U F
U2 F' L2 U D2 F2
U2 F' L2 U' B2 U2
U2 F' L2 D' R2 U
U2 F' L2 D2 U F2
U2 F' D' R2 U B2
B D2 R2 B U' F'
D2 B R2 B U' F2
R2 B D2 R2 U' F'
D2 B' R2 B U' F2
F' B' L2 B' U F
B' F' L2 B' U F
D2 B2 R2 B U' F2
U B2 U L2 F' U
U B2 U F' L2 U
D2 L R2 D' L2 B U'
D2 L R2 D' B L2 U'
D2 L R2 B L U' F2
D2 L R2 B L' U' F2
D2 L R2 B L2 U' F2
D2 L R2 B U' F2 D
D2 L R2 B U' F2 D'
D2 L R2 B U' F2 D2
D2 L R2 B D' L2 U'
B2 L U2 L F' U F
D' L U2 F' R2 U B2
D L D L R2 B U'
D L D R2 L B U'
U2 L D' L F' R2 U
D' L D' R2 B U' F2
U2 L D' F' L R2 U
U2 L D' F' R2 L U
U2 L D2 L F' U F'
U2 L D2 F' L U F'
U2 L F' L U D2 F2
U2 L F' L U' B2 U2
U2 L F' L D' R2 U
U2 L F' L D2 U F2
U2 L F' D' L R2 U
U2 L F' D' R2 L U
U2 L F' D2 L U F2
D2 L B R2 B U' F2
D2 L B' R2 B U' F2
D2 L B2 R2 B U' F2
D2 L' R2 D' L2 B U'
D2 L' R2 D' B L2 U'
D2 L' R2 B L U' F2
D2 L' R2 B L' U' F2
D2 L' R2 B L2 U' F2
D2 L' R2 B U' F2 D
D2 L' R2 B U' F2 D'
D2 L' R2 B U' F2 D2
D2 L' R2 B D' L2 U'
B' L' U2 L' F' U F2
B2 L' U2 L' F' U F
D' L' U2 F' R2 U B2
D L' D L' R2 B U'
D L' D R2 L' B U'
D L' D R2 B L' U'
F' L' D' L' R2 B' U
F' L' D' L' B' R2 U
U2 L' D' L' F' R2 U
F' L' D' R2 L' B' U
D' L' D' R2 B U' F2
F' L' D2 L' B' U F2
U2 L' D2 L' F' U F'
D2 L' B R2 B U' F2
D2 L' B' R2 B U' F2
D2 L' B2 R2 B U' F2
F' L2 R D' R2 B' U
F' L2 R D' B' R2 U
F' L2 R D2 B' U F2
F' L2 R B' U' B' U2
F' L2 R' D' R2 B' U
F' L2 R' D' B' R2 U
F' L2 R' D2 B' U F2
F' L2 R' B' U' B' U2
D2 L2 R2 D' L2 B U'
D2 L2 R2 D' B L2 U'
F' L2 R2 D' R2 B' U
F' L2 R2 D' B' R2 U
F' L2 R2 D2 B' U F2
U2 L2 R2 D' R2 F' U
D2 L2 R2 B L U' F2
D2 L2 R2 B L' U' F2
D2 L2 R2 B L2 U' F2
D L2 R2 D B R2 U'
D2 L2 R2 B U' F2 D
D2 L2 R2 B U' F2 D'
D2 L2 R2 B U' F2 D2
D2 L2 R2 B D' L2 U'
D L2 R2 D2 B U' B
F' L2 R2 B' U' B' U2
D L2 R2 B U F2 U2
D L2 R2 B U' D2 B2
D L2 R2 B D R2 U'
D L2 R2 B D2 U' B2
D L2 U F2 U F U
F' L2 U' B2 U B U
U2 L2 U' B2 U F' U
L2 R2 B U B U2 B'
R2 L2 B U B U2 B'
F' L2 U2 D L2 F U'
D' L2 U2 F' R2 U B2
D L2 U2 D' L2 F' U
D L2 U2 D' F' L2 U
D L2 U2 D2 F' U B2
D L2 U2 F' U' F' U2
F' L2 D U2 L2 F U'
D L2 D R2 D B U'
D L2 D R2 D' B U'
D L2 D R2 D2 B U'
D L2 D R2 B U' D
D L2 D R2 B U' D'
D L2 D R2 B U' D2
D L2 D R2 B D U'
D L2 D R2 B D' U'
D L2 D R2 B D2 U'
U2 L2 D F' U D F2
U2 L2 D F' U2 L2 U'
U2 L2 D F' D U F2
F' L2 D B' U D F2
U2 L2 D F' D2 R2 U
F' L2 D B' U2 L2 U'
F' L2 D B' D U F2
F' L2 D B' D2 R2 U
D L2 D B R2 B U'
D L2 D B' R2 B U'
D L2 D B2 R2 B U'
F' L2 D' R B' R U
D' L2 D' R2 B U' F2
F' L2 D' R2 D B' U
F' L2 D' R2 D' B' U
F' L2 D' R2 D2 B' U
F' L2 D' R2 B' U D
F' L2 D' R2 B' U D'
F' L2 D' R2 B' U D2
F' L2 D' R2 B' D U
F' L2 D' R2 B' D' U
F' L2 D' R2 B' D2 U
U2 L2 D' R2 U2 B U'
U' L2 D' F' R2 U R2
U2 L2 D' F R2 F2 U
F' L2 D' B R2 B2 U
F L2 D' R2 B U L2
D L2 D' U2 L2 F' U
U2 L2 D' F' R2 U D
U2 L2 D' F' R2 U D'
U2 L2 D' F' R2 U D2
U2 L2 D' F' R2 D U
U2 L2 D' F' R2 D' U
U2 L2 D' F' R2 D2 U
U2 L2 D' F' U D' F2
D L2 D' U2 F' L2 U
U2 L2 D' F' D' U F2
F' L2 D' B' R2 U D
F' L2 D' B' R2 U D'
F' L2 D' B' R2 U D2
F' L2 D' B' R2 D U
F' L2 D' B' R2 D' U
F' L2 D' B' R2 D2 U
F' L2 D' B' U D' F2
F' L2 D' B' D' U F2
U2 L2 D' F2 R2 F U
F' L2 D2 R B' U F2
U L2 D' F' R2 B2 U
U L2 D' F' B2 R2 U
F' L2 D2 R' B' U F2
F' L2 D2 R2 B' U F2
U L2 D' B2 F' R2 U
D L2 D2 R2 B U' B
U2 L2 D2 F' U D F'
U2 L2 D2 F' U D' F'
U2 L2 D2 F' U D2 F'
U2 L2 D2 F' U F' D
U2 L2 D2 F' U F' D'
U2 L2 D2 F' U F' D2
U2 L2 D2 F' D U F'
U2 L2 D2 F' D' U F'
U2 L2 D2 F' D2 U F'
F' L2 D2 B' R U F2
D L2 D2 U2 F' U B2
F' L2 D2 B' R' U F2
F' L2 D2 B' R2 U F2
F' L2 D2 B' U F2 D
F' L2 D2 B' U F2 D'
F' L2 D2 B' U F2 D2
F' L2 D2 B' D R2 U
U L2 D2 F' U F' R2
U2 L2 F D' R2 U L2
U2 L2 F' R U D2 F2
U2 L2 F' R U' B2 U2
U2 L2 F' R D' R2 U
U2 L2 F' R D2 U F2
U2 L2 F' R' U D2 F2
U2 L2 F' R' U' B2 U2
U2 L2 F' R' D' R2 U
U2 L2 F' R' D2 U F2
U2 L2 F' R2 U D2 F2
U2 L2 F' R2 U' B2 U2
U2 L2 F' R2 D' R2 U
U2 L2 F' R2 D2 U F2
B' L2 F' U2 F U' F
U2 L2 F' U D2 F2 D
U2 L2 F' U D2 F2 D'
U2 L2 F' U D2 F2 D2
U2 L2 F' U F D2 F2
U2 L2 F' U F' D2 F2
U2 L2 F' U F2 D2 F2
U' L2 F' D' R2 U R2
U2 L2 F' U' B2 U2 D
U2 L2 F' U' B2 U2 D'
U2 L2 F' U' B2 U2 D2
U2 L2 F' U' B2 D U2
U2 L2 F' U' B2 D' U2
U2 L2 F' U' B2 D2 U2
U2 L2 F' U2 D L2 U'
B2 L2 F' U2 F U' F'
U2 L2 F' D U2 L2 U'
U2 L2 F' D' R2 U D
U2 L2 F' D' R2 U D'
U2 L2 F' D' R2 U D2
U2 L2 F' D' R2 D U
U2 L2 F' D' R2 D' U
U2 L2 F' D' R2 D2 U
U2 L2 F' D2 R U F2
U2 L2 F' D2 R' U F2
U2 L2 F' D2 R2 U F2
U2 L2 F' D2 U F2 D
U2 L2 F' D2 U F2 D'
U2 L2 F' D2 U F2 D2
U L2 F' U D2 R2 F2
U L2 F' U D2 F2 R2
U L2 F' U' L2 B2 U2
U L2 F' U' B2 L2 U2
U L2 F' D' R2 B2 U
U L2 F' D' B2 R2 U
U L2 F' D2 U R2 F2
U L2 F' D2 U F2 R2
U2 L2 F2 D' R2 F U
U2 L2 F2 D' F R2 U
U2 L2 F2 D2 F U F
D2 L2 B R2 B U' F2
F' L2 B R2 B2 U F'
F' L2 B U D' R2 F'
F' L2 B D' U R2 F'
D L2 B D R2 B U'
F' L2 B' R U' B' U2
F' L2 B' R' U' B' U2
D2 L2 B' R2 B U' F2
F' L2 B' R2 U' B' U2
F' L2 B' U L2 F L2
F' L2 B' U' D B' U2
F' L2 B' U' D' B' U2
F' L2 B' U' D2 B' U2
F' L2 B' U' B' U2 D
F' L2 B' U' B' U2 D'
F' L2 B' U' B' U2 D2
F' L2 B' U' B' D U2
F' L2 B' U' B' D' U2
F' L2 B' U' B' D2 U2
F' L2 B' U2 L2 U' F
F' L2 B' D U' B' U2
F' L2 B' D' U' B' U2
F' L2 B' D2 U' B' U2
D L2 B' D R2 B U'
D2 L2 B2 R2 B U' F2
D L2 B2 D R2 B U'
F' R L2 D' R2 B' U
F' R L2 D' B' R2 U
F' R L2 D2 B' U F2
F' R L2 B' U' B' U2
L' U B2 U L' F' U
D2 R D' L2 R B U'
D2 R D' R L2 B U'
D2 R D' R B L2 U'
L2 U B2 U F' U B2
R2 U B2 U L2 F U
D2 R B R B U' F2
D2 R B' R B U' F2
F' R B' L2 B' U F
D2 R B2 R B U' F2
F' R' L2 D' R2 B' U
F' R' L2 D' B' R2 U
F' R' L2 D2 B' U F2
F' R' L2 B' U' B' U2
L U2 L D' F' R2 U
L U2 L D2 F' U F'
L' U2 L' D' F' R2 U
L U2 L F' U D2 F2
L' U2 L' D2 F' U F'
L U2 L F' U' B2 U2
L U2 L F' D' R2 U
L U2 L F' D2 U F2
L' U2 L' F' U D2 F2
L' U2 L' F' U' B2 U2
L' U2 L' F' D' R2 U
L' U2 L' F' D2 U F2
R2 U2 L2 D' R2 F' U
F' R' B' L2 B' U F
L' U2 D' L' F' R2 U
D2 R2 L D' L2 B U'
D2 R2 L D' B L2 U'
L' U2 D2 L' F' U F'
R2 U2 D' R2 F' U B2
L U2 D' L F' R2 U
D2 R2 L B L U' F2
D2 R2 L B L' U' F2
D2 R2 L B L2 U' F2
D2 R2 L B U' F2 D
D2 R2 L B U' F2 D'
D2 R2 L B U' F2 D2
D2 R2 L B D' L2 U'
L U2 D' F' L R2 U
L U2 D' F' R2 L U
D2 R2 L' D' L2 B U'
D2 R2 L' D' B L2 U'
L U2 D2 L F' U F'
D2 R2 L' B L U' F2
D2 R2 L' B L' U' F2
D2 R2 L' B L2 U' F2
D2 R2 L' B U' F2 D
D2 R2 L' B U' F2 D'
D2 R2 L' B U' F2 D2
D2 R2 L' B D' L2 U'
L U2 D2 F' L U F'
D2 R2 L2 D' L2 B U'
D2 R2 L2 D' B L2 U'
F' R2 L2 D' R2 B' U
F' R2 L2 D' B' R2 U
F' R2 L2 D2 B' U F2
D2 R2 L2 B L U' F2
D2 R2 L2 B L' U' F2
D2 R2 L2 B L2 U' F2
D2 R2 L2 B U' F2 D
D2 R2 L2 B U' F2 D'
D2 R2 L2 B U' F2 D2
D2 R2 L2 B D' L2 U'
U2 R2 L2 D' R2 F' U
F' R2 L2 B' U' B' U2
D R2 L2 D B R2 U'
D R2 L2 D2 B U' B
L2 U2 F' U' B2 U2 B2
D R2 L2 B U F2 U2
D R2 L2 B U' D2 B2
D R2 L2 B D R2 U'
D R2 L2 B D2 U' B2
L U2 F' L U D2 F2
L U2 F' L U' B2 U2
L U2 F' L D' R2 U
L U2 F' L D2 U F2
L U2 F' D' L R2 U
L U2 F' D' R2 L U
L U2 F' D2 L U F2
D2 R2 U' F2 U B U'
D2 R2 U2 R2 F' U F'
D2 R2 U2 D R2 F' U
D2 R2 D U2 R2 F' U
D2 R2 D B U' D' F2
D2 R2 D B U2 R2 U
D2 R2 D B D' U' F2
D2 R2 D B D2 L2 U'
D2 R2 D' L' B L' U'
D2 R2 D' L2 D B U'
D2 R2 D' L2 D' B U'
D2 R2 D' L2 D2 B U'
D2 R2 D' L2 B U' D
D2 R2 D' L2 B U' D'
D2 R2 D' L2 B U' D2
D2 R2 D' L2 B D U'
D2 R2 D' L2 B D' U'
D2 R2 D' L2 B D2 U'
D R2 D B R2 U' F2
D2 R2 D' B L2 U' D
D2 R2 D' B L2 U' D'
D2 R2 D' B L2 U' D2
D2 R2 D' B L2 D U'
D2 R2 D' B L2 D' U'
D2 R2 D' B L2 D2 U'
D2 R2 D' B U' D F2
D2 R2 D' B D U' F2
U2 R2 D' R2 F' U B2
D2 R2 D' B' L2 B2 U'
B R2 D' B U' F' B
B R2 D' B U' B F'
D2 R2 D2 B U B U2
L' D L2 U2 L F' U
L' D L2 U2 F' L U
L2 D L2 U2 L2 F' U
L2 D L2 U2 F' L2 U
L2 D L2 D2 R2 B U'
R2 D L2 D B R2 U'
R2 D L2 D2 B U' B
R2 D L2 B U F2 U2
R2 D L2 B U' D2 B2
R2 D L2 B D R2 U'
L D L2 U2 L' F' U
R2 D L2 B D2 U' B2
D2 R2 B L U' F2 D
D2 R2 B L U' F2 D'
D2 R2 B L U' F2 D2
D2 R2 B L D' L2 U'
D2 R2 B L' U' F2 D
D2 R2 B L' U' F2 D'
D2 R2 B L' U' F2 D2
D2 R2 B L' D' L2 U'
D2 R2 B L2 U' F2 D
D2 R2 B L2 U' F2 D'
D2 R2 B L2 U' F2 D2
D2 R2 B L2 D' L2 U'
D2 R2 B U D2 B2 U2
D2 R2 B U B U2 F2
D2 R2 B U B' U2 F2
D2 R2 B U B2 U2 F2
D2 R2 B U' L' F2 L
D2 R2 B U' L2 F2 L2
D2 R2 B U' R F2 R'
D2 R2 B U' R2 F2 R2
D2 R2 B U' F D F
D2 R2 B U' F D' F
D2 R2 B U' F D2 F
D2 R2 B U' F' D F'
D2 R2 B U' F' D' F'
D2 R2 B U' F' D2 F'
D2 R2 B U2 R U F2
D2 R2 B U2 R' U F2
D2 R2 B U2 R2 U F2
D2 R2 B U2 D R2 U
D2 R2 B D U2 R2 U
D2 R2 B D' L2 U' D
D2 R2 B D' L2 U' D'
D2 R2 B D' L2 U' D2
D2 R2 B D' L2 D U'
D2 R2 B D' L2 D' U'
D2 R2 B D' L2 D2 U'
D2 R2 B D2 U B2 U2
B2 R2 B U2 L2 U F
B' R2 B D2 R2 U' F2
D R2 B L2 U F2 U2
D R2 B L2 U' D2 B2
D R2 B L2 D R2 U'
D R2 B L2 D2 U' B2
D2 R2 B' L B2 U' F2
D2 R2 B' L' B2 U' F2
D2 R2 B' L2 B2 U' F2
F' R2 B' L2 B' U F
B R2 B U' D' F' B2
B R2 B U' D' B2 F'
B R2 B U' F' D' B2
B R2 B U2 L2 U F'
D R2 B D R2 U' F2
D2 R2 B' U' F2 D L2
B R2 B D' U' F' B2
B R2 B D' U' B2 F'
D2 R2 B2 D' B' L2 U'
U R2 B2 U L2 F U
B2 U L2 D' F' B2 U
B2 U L2 D' B2 F' U
B2 U L2 D2 F' U R2
F' U L2 B' U L2 F
B2 U L2 F' U D2 R2
B2 U L2 F' U' L2 U2
B2 U L2 F' D' B2 U
B2 U L2 F' D2 U R2
L2 D F' U2 F L2 U'
R2 D B L2 U F2 U2
R2 D B L2 U' D2 B2
R2 D B L2 D R2 U'
R2 D B L2 D2 U' B2
R2 D B D R2 U' F2
U2 D F' D2 R2 U B
D U F2 U' L2 B' U'
U D F2 U' L2 B' U'
B2 U F' L2 U D2 R2
B2 U F' L2 U' L2 U2
B2 U F' L2 D' B2 U
B2 U F' L2 D2 U R2
B' U B' U L2 F' U
B U B U L2 F' U
B' U B' U F' L2 U
B U B U F' L2 U
U2 D' L F' R2 U B2
U2 D' L' F' R2 U B2
L' D' U2 L' F' R2 U
U2 D' L2 F' R2 U B2
R2 D' U2 R2 F' U B2
L D' U2 L F' R2 U
L2 D' F R2 F2 B U
L2 D' F R2 B F2 U
L D' U2 F' L R2 U
L D' U2 F' R2 L U
L2 D' F' R2 U2 F U'
D2 U' R2 B U' R2 F2
D2 U' R2 B U' F2 R2
U2 D' R2 U2 B U' B
D2 U' F D' F L2 B'
U' D' F B2 D' L2 F2
U' D' F B2 D' F2 L2
D' U' F B2 D' L2 F2
D' U' F B2 D' F2 L2
U2 D' F R2 F2 U B2
U' D' F' R2 U R2 B2
D' U' F' R2 U R2 B2
U' D' F' R2 U B2 R2
D' U' F' R2 U B2 R2
U2 D' F' L R2 U B2
U2 D' F' L' R2 U B2
U2 D' F' L2 R2 U B2
R2 D' B U' D' F2 B
R2 D' B U' D' B F2
R2 D' B U' B D' F2
U2 D' F' R2 L U B2
U2 D' F' R2 L' U B2
U2 D' F' R2 L2 U B2
U2 D' F' R2 U B2 D
U2 D' F' R2 U B2 D'
U2 D' F' R2 U B2 D2
U2 D' F' R2 D L2 U
R2 D' B D' U' F2 B
R2 D' B D' U' B F2
U2 D' F' U B2 D' F2
R2 D' B D2 L2 U' B
U2 D' F2 R2 F U B2
R' D2 L R2 B' U' F2
R' D2 L B' R2 U' F2
B2 U' D2 R2 B U' R2
R2 D2 L B R2 U' F2
U' D' B2 U' F' R2 U
D' U' B2 U' F' R2 U
D' U' B2 F D' L2 F2
U' D' B2 F D' L2 F2
D' U' B2 F D' F2 L2
U' D' B2 F D' F2 L2
B' U' F D' L2 F B2
B' U' F D' L2 B2 F
R2 D2 L' B R2 U' F2
D' U2 L F' R2 U B2
B U' F D' B2 L2 F
R2 D2 L2 B R2 U' F2
D' U2 L' F' R2 U B2
R' D2 R2 L B' U' F2
D' U2 L2 F' R2 U B2
R D2 R B R U' F2
R2 D2 R2 U2 F' U F'
F' U' B2 U L2 B' U
D' U2 R2 U2 B U' B
L' D2 U2 L' F' U F'
U' D2 R2 B U' R2 F2
U' D2 R2 B U' F2 R2
B' U2 L F' L U F
D' U2 F R2 F2 U B2
U' D2 F D' F L2 B'
D' U2 F' L R2 U B2
D' U2 F' L' R2 U B2
L D2 U2 L F' U F'
D' U2 F' L2 R2 U B2
D' U2 F' R2 L U B2
D' U2 F' R2 L' U B2
D' U2 F' R2 L2 U B2
D' U2 F' R2 U B2 D
D' U2 F' R2 U B2 D'
D' U2 F' R2 U B2 D2
D' U2 F' R2 D L2 U
B' U2 L2 U F D' L2
D' U2 F' U B2 D' F2
L D2 U2 F' L U F'
D2 U2 F' U D F' B2
D2 U2 F' U D B2 F'
D2 U2 F' U F' D B2
B' U2 L2 D F' U F2
B' U2 L2 D' F' U F2
B' U2 L2 D2 F' U F2
D2 U2 F' D U F' B2
D2 U2 F' D U B2 F'
B' U2 L2 F' R U F2
B' U2 L2 F' R' U F2
B' U2 L2 F' R2 U F2
B' U2 L2 F' U F2 D
B' U2 L2 F' U F2 D'
B' U2 L2 F' U F2 D2
B2 U2 L2 D F' U F
B' U2 L2 F' D R2 U
D2 U2 F' D2 L2 U F'
B2 U2 L2 D' F' U F
B2 U2 L2 D2 F' U F
B2 U2 L2 F' R U F
B2 U2 L2 F' R' U F
B2 U2 L2 F' R2 U F
B2 U2 L2 F' U D F
B2 U2 L2 F' U D' F
B2 U2 L2 F' U D2 F
B2 U2 L2 F' U F D
B2 U2 L2 F' U F D'
B2 U2 L2 F' U F D2
B2 U2 L2 F' D U F
B2 U2 L2 F' D' U F
B2 U2 L2 F' D2 U F
U2 D2 F' U D F' B2
U2 D2 F' U D B2 F'
U2 D2 F' U F' D B2
L2 D2 F' U F' D R2
D' U2 F2 R2 F U B2
