R2 D' B2 L F
L2 U F2 L' R2 F
L2 U F2 L' F R2
L2 U F2 R2 L' F
B' R2 D' B2 L F
B2 R2 D' B2 L F
B R2 D' B2 L F
R D F2 L' B' U2
R2 D' L F B2 L
R2 D' L B2 F L
R D' R B2 L F
R2 D' F B2 L F
R2 D' F' B2 L F
R2 D' F2 B2 L F
R2 D' B2 L D F
R2 D' B2 L D' F
R2 D' B2 L D2 F
R2 D' B2 L F D
R2 D' B2 L F D'
R2 D' B2 L F D2
R2 D' B2 D L F
R2 D' B2 D' L F
R2 D' B2 D2 L F
R2 D' B2 F L F
R2 D' B2 F' L F
R2 D' B2 F2 L F
R2 F D' B2 L F
R2 F' D' B2 L F
L2 F2 U L' R2 F
L2 F2 U L' F R2
L2 F2 U R2 L' F
R2 F2 D' B2 L F
R2 B2 D' L F B2
R2 B2 D' L B2 F
F L R2 F L' D' B2
R2 L F L' D' B2 L
F L F L' R2 D' B2
F L F R2 L' D' B2
L' R B' U L' U R
D' L F2 U' L' F' B2
D' L F2 U' L' B2 F'
D' L F2 U' B2 L' F'
R L' B' U L' U R
L R2 F L' D' B2 L
F2 L2 U L' R2 F L2
F2 L2 U L' F L2 R2
F2 L2 U L' F R2 L2
F2 L2 U R2 L' F L2
F L2 U L' R2 F L'
F L2 U L' F L' R2
F L2 U L' F R2 L'
B' L2 U F2 L' R2 F
B' L2 U F2 L' F R2
B' L2 U F2 R2 L' F
F L2 U R2 L' F L'
F L2 U R2 F L' F
B2 L2 U F2 L' R2 F
B2 L2 U F2 L' F R2
B2 L2 U F2 R2 L' F
F L2 U F L' R2 F
F L2 U F L' F R2
F L2 U F R2 L' F
B L2 U F2 L' R2 F
B L2 U F2 L' F R2
B L2 U F2 R2 L' F
U' L2 U' R B U2 R
L2 U L' F2 L' F' R2
F L2 F U L' R2 F
F L2 F U L' F R2
F L2 F U R2 L' F
R U L2 R2 U R' F'
R U L2 U R' F' R2
F' L2 F' U L' R2 F
F' L2 F' U L' F R2
F' L2 F' U R2 L' F
R U L2 B' R' U R2
B' L2 F2 U L' R2 F
B' L2 F2 U L' F R2
B' L2 F2 U R2 L' F
D' L2 F2 U' L' F B2
D' L2 F2 U' L' B2 F
D' L2 F2 U' B2 L' F
B2 L2 F2 U L' R2 F
B2 L2 F2 U L' F R2
B2 L2 F2 U R2 L' F
B L2 F2 U L' R2 F
B L2 F2 U L' F R2
B L2 F2 U R2 L' F
R U R2 L2 U R' F'
L2 U F L' R2 F L'
L2 U F L' F L' R2
L2 U F L' F R2 L'
L2 U F R2 L' F L'
L2 U F R2 F L' F
L2 U F' R2 F' L' F
L2 U F2 L' R' F R'
L2 U F2 L' R2 D F
L2 U F2 L' R2 D' F
L2 U F2 L' R2 D2 F
L2 U F2 L' R2 F D
L2 U F2 L' R2 F D'
L2 U F2 L' R2 F D2
L2 U F2 L' F R2 D
L2 U F2 L' F R2 D'
L2 U F2 L' F R2 D2
L2 U F2 L' F' R2 F2
L2 U F2 R' L' F R'
L2 U F2 R2 L' D F
L2 U F2 R2 L' D' F
L2 U F2 R2 L' D2 F
L2 U F2 R2 L' F D
L2 U F2 R2 L' F D'
L2 U F2 R2 L' F D2
R U B' L2 R' U R2
R U B' R' L2 U R2
B' R D F2 L' B' U2
B2 R D F2 L' B' U2
U2 R D F2 L' B U2
U2 R D F2 B L' U2
U2 R D B F2 L' U2
B R D F2 L' B' U2
B' R D' R B2 L F
B2 R D' R B2 L F
B R D' R B2 L F
L2 U' L R B' U2 R
U2 R D' B U2 B R
L2 U' L B' R U2 R
L2 U' L' R U2 R F
R2 U' L2 U' R' U2 F'
L2 U' R L B' U2 R
L2 U' R L' U2 R F
L2 U' R U2 D2 R F'
L2 U' R D2 U2 R F'
U2 R B U L2 U R
U2 R B U2 R D' B2
U2 R B U2 D' R B2
U2 R B U2 D' B2 R
U2 R B D F2 L' U2
U2 R B D' U2 R B2
U2 R B D' U2 B2 R
L2 U' D2 L2 R U2 F'
L2 U' D2 R L2 U2 F'
R U' D2 R2 U' R' F'
U2 R' F' R' D' B2 L
R' U2 R' D' F' B2 L
R' U2 R' D' B2 L F'
R' U2 R' D' B2 F' L
R' U2 R' F' D' B2 L
R2 U2 R' U L2 U F'
R2 U2 R' U2 D' F' B2
R2 U2 R' U2 D' B2 F'
R2 U2 R' U2 F' D' B2
R2 U2 R' D F2 U2 F
R2 U2 R' D' U2 F' B2
R2 U2 R' D' U2 B2 F'
R U2 R' F' R2 D' B2
R2 U2 D R' F2 U2 F
R2 U2 D F2 R' U2 F'
R U2 D R' F' R2 B
R2 U2 D' R' U2 F' B2
R2 U2 D' R' U2 B2 F'
R U2 D' R' F' R2 B2
R U2 D' R' F' B2 R2
R U2 D' R' B2 F' R2
R U2 D' B2 R' F' R2
F R2 L F L' D' B2
L2 U2 F2 U' L' R2 F
L2 U2 F2 U' L' F R2
L2 U2 F2 U' R2 L' F
F2 R2 U' L2 U L F
F2 R2 D L F L2 B'
B' R2 D' L F B2 L
B' R2 D' L B2 F L
B2 R2 D' L F B2 L
B2 R2 D' L B2 F L
F2 R2 D' L F L2 B2
F2 R2 D' L F B2 L2
F2 R2 D' L B2 F L2
B' R2 D' F B2 L F
B' R2 D' F' B2 L F
B R2 D' L F B2 L
B R2 D' L B2 F L
B' R2 D' F2 B2 L F
B2 R2 D' F B2 L F
B' R2 D' B2 L D F
B' R2 D' B2 L D' F
B' R2 D' B2 L D2 F
B' R2 D' B2 L F D
B' R2 D' B2 L F D'
B' R2 D' B2 L F D2
B2 R2 D' F' B2 L F
B' R2 D' B2 D L F
B' R2 D' B2 D' L F
B' R2 D' B2 D2 L F
B' R2 D' B2 F L F
B' R2 D' B2 F' L F
B' R2 D' B2 F2 L F
B2 R2 D' F2 B2 L F
B2 R2 D' B2 L D F
B2 R2 D' B2 L D' F
B2 R2 D' B2 L D2 F
B2 R2 D' B2 L F D
B2 R2 D' B2 L F D'
B2 R2 D' B2 L F D2
B2 R2 D' B2 D L F
B2 R2 D' B2 D' L F
B2 R2 D' B2 D2 L F
B2 R2 D' B2 F L F
B2 R2 D' B2 F' L F
B2 R2 D' B2 F2 L F
F2 R2 D' B2 L F L2
B R2 D' F B2 L F
B R2 D' F' B2 L F
B R2 D' F2 B2 L F
B R2 D' B2 L D F
B R2 D' B2 L D' F
B R2 D' B2 L D2 F
B R2 D' B2 L F D
B R2 D' B2 L F D'
B R2 D' B2 L F D2
B R2 D' B2 D L F
R2 D L D2 F B2 L
B R2 D' B2 D' L F
B R2 D' B2 D2 L F
B R2 D' B2 F L F
B R2 D' B2 F' L F
B R2 D' B2 F2 L F
R2 D L D2 B2 F L
R D L F2 L' U2 F'
R D L F2 L' U2 F'
B' R2 F D' B2 L F
B2 R2 F D' B2 L F
B R2 F D' B2 L F
R D L' F2 B' L' U2
R D L' B' F2 L' U2
B' R2 F' D' B2 L F
B2 R2 F' D' B2 L F
R D L2 F2 L' U2 F
B R2 F' D' B2 L F
B' R2 F2 D' B2 L F
B2 R2 F2 D' B2 L F
R D R D2 B2 L F
B R2 F2 D' B2 L F
R2 D R' F2 L' B' U2
D' R2 B2 L D R2 F
D' R2 B2 L D F R2
D' R2 B2 D L R2 F
D' R2 B2 D L F R2
D' R2 B2 D R2 L F
B' R2 B2 D' L F B2
B' R2 B2 D' L B2 F
B2 R2 B2 D' L F B2
B2 R2 B2 D' L B2 F
B R2 B2 D' L F B2
B R2 B2 D' L B2 F
R2 D U2 R' F2 U2 F
R2 D U2 F2 R' U2 F'
R D U2 R' F' R2 B
R D F2 L' D B' U2
R D F2 L' D' B' U2
R D F2 L' D2 B' U2
R D F2 L' B' U2 D
R D F2 L' B' U2 D'
R D F2 L' B' U2 D2
R D F2 L' B' D U2
R D F2 L' B' D' U2
R D F2 L' B' D2 U2
R D F2 D L' B' U2
R D F2 D' L' B' U2
R D F2 D2 L' B' U2
R D F2 B L' B' U2
R D F2 B' L' B' U2
R D F2 B2 L' B' U2
R D B F2 L' B' U2
R2 D B2 L D2 F B2
R2 D B2 L D2 B2 F
R D B' F2 L' B' U2
R2 D B2 D2 L F B2
R2 D B2 D2 L B2 F
R2 D' L F L B2 L
R2 D' L F L' B2 L
R2 D' L F L2 B2 L
R2 D' L F B2 L D
R2 D' L F B2 L D'
R2 D' L F B2 L D2
R2 D' L F B2 D L
R2 D' L F B2 D' L
R2 D' L F B2 D2 L
R D B2 F2 L' B' U2
R2 D' L F' B2 L F2
R D' L R F B2 L
R D' L R B2 F L
R2 D' L F2 B2 L F'
R2 D' L B2 D F L
R2 D' L B2 D' F L
R2 D' L B2 D2 F L
R2 D' L B2 F L D
R2 D' L B2 F L D'
R2 D' L B2 F L D2
R2 D' L B2 F D L
R2 D' L B2 F D' L
R2 D' L B2 F D2 L
R2 D' L B2 F' L F2
R2 D' L B2 F2 L F'
R D' L U2 R F B2
R D' L U2 R B2 F
R D' L U2 B2 R F
R D' L' B' U2 R B'
R D' L' B' U2 B' R
R2 D' L2 B2 L' F L2
R D' R L F B2 L
R D' R L B2 F L
R D' R F B2 L F
R D' R F' B2 L F
R D' R F2 B2 L F
R D' R B2 L D F
R D' R B2 L D' F
R D' R B2 L D2 F
R D' R B2 L F D
R D' R B2 L F D'
R D' R B2 L F D2
R D' R B2 D L F
R D' R B2 D' L F
R D' R B2 D2 L F
R D' R B2 F L F
R D' R B2 F' L F
R D' R B2 F2 L F
R2 D' U2 R' U2 F' B2
R2 D' U2 R' U2 B2 F'
R2 D' F L F B2 L
R2 D' F L B2 F L
R D' U2 R' F' R2 B2
R D' U2 R' F' B2 R2
R D' U2 R' B2 F' R2
R D' U2 B2 R' F' R2
F2 U' L2 U L R2 F
F2 U' L2 U L F R2
F2 U' L2 U R2 L F
R2 D' F B2 L D F
R2 D' F B2 L D' F
R2 D' F B2 L D2 F
R2 D' F B2 L F D
R2 D' F B2 L F D'
R2 D' F B2 L F D2
R2 D' F B2 D L F
R2 D' F B2 D' L F
R2 D' F B2 D2 L F
R2 D' F' L F B2 L
R2 D' F' L B2 F L
R2 D' F' B2 L D F
R2 D' F' B2 L D' F
R2 D' F' B2 L D2 F
R2 D' F' B2 L F D
R2 D' F' B2 L F D'
R2 D' F' B2 L F D2
R2 D' F' B2 D L F
R2 D' F' B2 D' L F
R2 D' F' B2 D2 L F
R2 D' F2 L F B2 L
R2 D' F2 L B2 F L
R2 D' F2 B2 L D F
R2 D' F2 B2 L D' F
R2 D' F2 B2 L D2 F
R2 D' F2 B2 L F D
R2 D' F2 B2 L F D'
R2 D' F2 B2 L F D2
R D' F2 L' B' U2 B'
R2 D' F2 B2 D L F
R2 D' F2 B2 D' L F
R2 D' F2 B2 D2 L F
R2 D' B L F B L
R2 D' B L B F L
R2 D' B D B L F
R2 D' B D' B L F
R2 D' B D2 B L F
R2 D' B2 L R F R'
R2 D' B2 L R2 F R2
R2 D' B2 L D F D
R2 D' B2 L D F D'
R2 D' B2 L D F D2
R2 D' B2 L D' F D
R2 D' B2 L D' F D'
R2 D' B2 L D' F D2
R2 D' B2 L D2 F D
R2 D' B2 L D2 F D'
R2 D' B2 L D2 F D2
R2 D' B2 L F2 D F'
R2 D' B2 L F2 D' F'
R2 D' B2 L F2 D2 F'
R2 D' B2 L' F L2 F
R2 D' B2 L' F' L2 F
R2 D' B2 L' F2 L2 F
R2 D' B2 R L F R'
R2 D' B2 R2 L F R2
R2 D' B2 D L D F
R2 D' B2 D L D' F
R2 D' B2 D L D2 F
R2 D' B2 D L F D
R2 D' B2 D L F D'
R2 D' B2 D L F D2
R2 D' B2 D F L F
R2 D' B2 D F' L F
R2 D' B2 D F2 L F
R2 D' B2 D' L D F
R2 D' B2 D' L D' F
R2 D' B2 D' L D2 F
R2 D' B2 D' L F D
R2 D' B2 D' L F D'
R2 D' B2 D' L F D2
R2 D' B2 D' F L F
R2 D' B2 D' F' L F
R2 D' B2 D' F2 L F
R2 D' B2 D2 L D F
R2 D' B2 D2 L D' F
R2 D' B2 D2 L D2 F
R2 D' B2 D2 L F D
R2 D' B2 D2 L F D'
R2 D' B2 D2 L F D2
R2 D' B2 D2 F L F
R2 D' B2 D2 F' L F
R2 D' B2 D2 F2 L F
R2 D' B2 F L D F
R2 D' B2 F L D' F
R2 D' B2 F L D2 F
R2 D' B2 F L F D
R2 D' B2 F L F D'
R2 D' B2 F L F D2
R2 D' B2 F D L F
R2 D' B2 F D' L F
R2 D' B2 F D2 L F
R2 D' B2 F' L D F
R2 D' B2 F' L D' F
R2 D' B2 F' L D2 F
R2 D' B2 F' L F D
R2 D' B2 F' L F D'
R2 D' B2 F' L F D2
R2 D' B2 F' D L F
R2 D' B2 F' D' L F
R2 D' B2 F' D2 L F
R2 D' B2 F2 L D F
R2 D' B2 F2 L D' F
R2 D' B2 F2 L D2 F
R2 D' B2 F2 L F D
R2 D' B2 F2 L F D'
R2 D' B2 F2 L F D2
R2 D' B2 F2 D L F
R2 D' B2 F2 D' L F
R2 D' B2 F2 D2 L F
R2 D2 L D F B2 L
R2 D2 L D B2 F L
R2 D2 L F D B2 L
L2 D2 U' L2 R U2 F'
L2 D2 U' R L2 U2 F'
R D2 U' R2 U' R' F'
R2 D2 F D B2 L F
R2 D2 F' D B2 L F
R2 D2 F2 D B2 L F
R2 D2 B2 L D F B2
R2 D2 B2 L D B2 F
R2 D2 B2 L F D B2
R2 D2 B2 D L F B2
R2 D2 B2 D L B2 F
R' F R' D' B2 L F
L2 F U L' R2 F L'
L2 F U L' F L' R2
L2 F U L' F R2 L'
L2 F U R2 L' F L'
L2 F U R2 F L' F
L2 F U F L' R2 F
L2 F U F L' F R2
L2 F U F R2 L' F
R2 F D' L F B2 L
R2 F D' L B2 F L
R2 F D' F B2 L F
