B L D B2 U2 B L
F L D' F2 B' L' R'
F L D' F2 B' R' L'
F L D' B' F2 L' R'
F L D' B' F2 R' L'
F' L B' L2 D' R' F2
F' L B' L2 D' F2 R'
F L B' D' F2 L' R'
F L B' D' F2 R' L'
F L2 D' F2 L' B' R'
L D B2 U2 B L R'
L D B2 U2 B R' L
L' D' F R U2 F R
L2 D' F' L' F' B' R'
L2 D' F' L' B' F' R'
L D' F' B' L' F' R'
L D' F2 D2 B' L R'
L D' F2 D2 B' R' L
L D' B' R' F' L' F'
L D' B' F' L' F' R'
L' F R U R B U
L2 F D' F2 L' B' R'
L F D' F2 B' L' R'
L F D' F2 B' R' L'
L F D' B' F2 L' R'
L F D' B' F2 R' L'
L F B' D' F2 L' R'
L F B' D' F2 R' L'
L2 F' L' D' F2 B' R'
L2 F' L' D' B' R' F2
L2 F' L' D' B' F2 R'
L2 F' L' B' D' R' F2
L2 F' L' B' D' F2 R'
L2 F' D' L' F2 B' R'
L2 F' D' L' B' R' F2
L2 F' D' L' B' F2 R'
L F' D' B' L' R' F2
L F' D' B' L' F2 R'
L F' D' B' R' L' F2
L F' B' L' D' R' F2
L F' B' L' D' F2 R'
L F' B' D' L' R' F2
L F' B' D' L' F2 R'
L F' B' D' R' L' F2
L B' R' U' R' F' U
L B' D' R' F' L' F'
L B' D' F' L' F' R'
L B' F D' F2 L' R'
L B' F D' F2 R' L'
L B' F' L' D' R' F2
L B' F' L' D' F2 R'
L B' F' D' L' R' F2
L B' F' D' L' F2 R'
L B' F' D' R' L' F2
