L F L U R F'
L R F L U R F2
R L F L U R F2
B' L F L U R F'
B2 L F L U R F'
B L F L U R F'
F U' R D' F' L' B2
F U' R D' F' B2 L'
F U' R D' B2 F' L'
F U' R F' D' L' B2
F U' R F' D' B2 L'
F U2 L2 U R F' L'
D' F L' B' U' R B'
D' F L' B' U' B' R
L F L R' U R2 F'
L F L U R D F'
L F L U R D' F'
L F L U R D2 F'
L F L U R F' D
L F L U R F' D'
L F L U R F' D2
L F L B U R F'
L F L B' U R F'
L F L B2 U R F'
L F R' L U R2 F'
L' F B' U' R F' B
L' F B' U' R B F'
L F B' U R F' B
L F B' U R B F'
L F2 L F' U R F'
L' F2 R B' U' F' R
L' F2 B' R U' F' R
L' B' F U' R F' B
L' B' F U' R B F'
L' B' F2 R U' F' R
L B' F U R F' B
L B' F U R B F'
