B2 R' F' L' U R
F L R D F2 B U'
F L R D B F2 U'
F L R D2 B U' R2
F L R B U L2 U2
F L R B U' D2 R2
F L R B D F2 U'
F L R B D2 U' R2
B2 L R' F' L' U R
R' L U2 F' U R B
D2 L U' R B L R'
D2 L U' R B R' L
F L D R F2 B U'
F L D R B F2 U'
F L D2 R B U' R
D2 L F R B U' R'
D L F R F' B U'
D L F R B F' U'
L R' U2 F' U R B
B2 L' R' F' L' U R
D' L' F L2 R B U'
D' L' F R L2 B U'
D' L' F R B L2 U'
B2 L2 R' F' L' U R
L U L F L' R U2
L U L F R L' U2
F R L D F2 B U'
F R L D B F2 U'
F R L D2 B U' R2
F R L B U L2 U2
F R L B U' D2 R2
F R L B D F2 U'
F R L B D2 U' R2
L U F L' R U2 B'
L U F R L' U2 B'
L U F' U2 L' R B
L U F' U2 R L' B
L U F' U2 R B L'
L U' R D2 B L R'
L U' R D2 B R' L
F R F2 L B U' R
B2 R' L F' L' U R
L U' D2 R B L R'
L U' D2 R B R' L
B2 R' L' F' L' U R
B2 R' L2 F' L' U R
L U' F' R F B L
L U' F' R B F L
B2 R' F' L' U R D
B2 R' F' L' U R D'
B2 R' F' L' U R D2
B2 R' F' L' U D R
B2 R' F' L' U D' R
B2 R' F' L' U D2 R
B2 R' F' L' D U R
B2 R' F' L' D' U R
B2 R' F' L' D2 U R
B2 R' F' L' B U R
B2 R' F' L' B' U R
B2 R' F' L' B2 U R
B2 R' F' D L' U R
B2 R' F' D' L' U R
B2 R' F' D2 L' U R
B2 R' F' B L' U R
B2 R' F' B' L' U R
B2 R' F' B2 L' U R
B2 R' B F' L' U R
B2 R' B' F' L' U R
B2 R' B2 F' L' U R
L U2 F' U R B L
L D F R F' B U'
L D F R B F' U'
B' U R' F' L' R B'
B' U R' F' L' B' R
B' U R' F' R L' B'
L2 D' L' F R B U'
B' U' F' R B L F
L D2 U' R B L R'
L D2 U' R B R' L
L D2 F R B U' R'
D2 F L R B U' R'
D F L R F' B U'
D F L R B F' U'
D2 F R L B U' R'
D F R L F' B U'
D F R L B F' U'
D F R F' L B U'
L F R F2 B U' R
L F R B U L' U2
L F R B F2 U' R
B2 D R' F' L' B U
B2 D R' F' B L' U
B2 D R' B F' L' U
R' F' L' U R D F2
R' F' L' U D R F2
R' F' L' U2 L2 U' R
R' F' L' D U R F2
R' F' L' D2 R2 U R'
U F' L U' L2 R B'
U F' L U' L2 B' R
U F' L U' R L2 B'
U F' L' R D F2 B'
U F' L' R D B' F2
U F' L' R B' D F2
U F' L' D R F2 B'
U F' L' D R B' F2
U F' L' D B' R F2
U F' L' B' R D F2
U F' L' B' D R F2
U F' R L' D F2 B'
U F' R L' D B' F2
U F' R L' B' D F2
R' F' B2 L' R' U R2
R' F' B2 R' L' U R2
B2 F' L' R' F' U R2
B2 F' R' L' F' U R2
F' B2 L' R' F' U R2
D B2 R' F' L' B U
D B2 R' F' B L' U
D B2 R' B F' L' U
F' B2 R' L' F' U R2
R' B2 F' L' R' U R2
R' B2 F' R' L' U R2
