L D B R' U L2
R2 F' B2 R' U' F'
R2 B2 F' R' U' F'
B2 L R' U B L U2
F' L D B R' U L2
U' L D B R' U L2
U2 L D B R' U L2
F2 L D B R' U L2
F L D B R' U L2
U L D B R' U L2
D' L D2 B R' U L2
D2 L F2 B U D2 F2
D2 L F2 B U' B2 U2
D2 L F2 B D' R2 U
D2 L F2 B D2 U F2
D2 L B D' R2 U L2
D2 L B F2 U D2 F2
D2 L B F2 U' B2 U2
D2 L B F2 D' R2 U
D2 L B F2 D2 U F2
D2 L' F2 L2 B U F'
D2 L' F2 B L2 U F'
D L' B L2 R' U L
D L' B R' L2 U L
D2 L' B F2 L2 U F'
B2 L2 R F R2 U' F2
B2 L2 R' F U B U2
D L2 U' L' B R' U
D L2 U' B L' R' U
D L2 U' B R' L' U
B2 L2 D' R' F L' U'
B2 L2 D' F L' R' U'
B2 L2 D' F R' L' U'
B2 L2 F R' U B U2
D L2 B L' R' U L
D L2 B R' L' U L
B2 R L2 F R2 U' F2
R2 U F' B2 L' R' U'
R2 U F' B2 R' L' U'
R2 U B2 F' L' R' U'
R2 U B2 F' R' L' U'
B2 R' L U B L U2
B2 R' L2 F U B U2
B2 R' U B U B2 U
B2 R' U B U2 D' R2
B2 R' U B D L2 U2
B2 R' U B D' U2 R2
B2 R' U2 R2 B' U F'
B2 R' U2 B' U D2 F2
B2 R' U2 B' U' B2 U2
B2 R' U2 B' D' R2 U
B2 R' U2 B' D2 U F2
L2 D L' B R' U L'
U' R2 F' B2 R' U' F'
F' R2 F' B2 R' U' F'
F2 R2 F' B2 R' U' F'
U2 R2 F' B2 R' U' F'
F R2 F' B2 R' U' F'
U R2 F' B2 R' U' F'
U' R2 B2 F' R' U' F'
F' R2 B2 F' R' U' F'
F2 R2 B2 F' R' U' F'
U2 R2 B2 F' R' U' F'
F R2 B2 F' R' U' F'
U R2 B2 F' R' U' F'
L D F B R' U L2
L D F' B R' U L2
L2 D B L' R' U L'
L2 D B R' L' U L'
L D F2 B R' U L2
L D B R' U L2 D
L D B R' U L2 D'
L D B R' U L2 D2
L D B R' D F2 U
L D B R' F U L2
L D B R' F' U L2
L D B R' F2 U L2
L D B D R' F2 U
L D B D F2 R' U
L D B F R' U L2
L D B F' R' U L2
L D B F2 R' U L2
L2 D2 L' F2 B U F'
L2 D2 L' B F2 U F'
R D2 L F2 B' U F
R D2 L B' F2 U F
L2 D2 B L' F2 U F'
L D2 F2 D' B R' U
B U2 B R' U B U2
L F D B R' U L2
R2 F B2 R' F2 U' F
B2 D' L2 R' F L' U'
B2 D' L2 F L' R' U'
B2 D' L2 F R' L' U'
L F' D B R' U L2
B2 D' R' L2 F L' U'
B D' R2 F' R U B
R2 F' B2 L R' U' F'
R2 F' B2 L' R' U' F'
R2 F' B2 L2 R' U' F'
R2 F' B2 R' L U' F'
R2 F' B2 R' L' U' F'
R2 F' B2 R' L2 U' F'
R2 F' B2 R' U' D F'
R2 F' B2 R' U' D' F'
R2 F' B2 R' U' D2 F'
R2 F' B2 R' U' F' D
R2 F' B2 R' U' F' D'
R2 F' B2 R' U' F' D2
R2 F' B2 R' D U' F'
R2 F' B2 R' D' U' F'
R2 F' B2 R' D2 U' F'
D2 F2 L B U D2 F2
D2 F2 L B U' B2 U2
D2 F2 L B D' R2 U
D2 F2 L B D2 U F2
R2 F' B2 D R' U' F'
R2 F' B2 D' R' U' F'
R2 F' B2 D2 R' U' F'
D2 F2 D' L B R' U
L F2 D B R' U L2
R2 F2 B2 R' F U' F2
L B R' U' B U2 L
L B R2 F' R' U F'
L B D' R2 F' R U
R' B2 L2 R' F' U' F2
R2 B2 L F' R' U' F'
R2 B2 L' F' R' U' F'
R' B2 R' L2 F' U' F2
R2 B2 L2 F' R' U' F'
R' B2 R' F' L2 U' F
R' B2 R' F' U B' U2
R2 B2 R' U' D' F' R
R2 B2 R' D' U' F' R
R2 B2 D F' R' U' F'
R2 B2 D' F' R' U' F'
R2 B2 D2 F' R' U' F'
R2 B2 F R' F2 U' F
R2 B2 F' L R' U' F'
R2 B2 F' L' R' U' F'
R2 B2 F' L2 R' U' F'
R2 B2 F' R' L U' F'
R2 B2 F' R' L' U' F'
R2 B2 F' R' L2 U' F'
R2 B2 F' R' U' D F'
R2 B2 F' R' U' D' F'
R2 B2 F' R' U' D2 F'
R2 B2 F' R' U' F' D
R2 B2 F' R' U' F' D'
R2 B2 F' R' U' F' D2
R2 B2 F' R' D U' F'
R2 B2 F' R' D' U' F'
R2 B2 F' R' D2 U' F'
R2 B2 F' D R' U' F'
R2 B2 F' D' R' U' F'
R2 B2 F' D2 R' U' F'
R2 B2 F2 R' F U' F2
