D' F L' F2 R B
U2 L' D F' R2 B' L
U2 L' D F' B' L R2
U2 L' D F' B' R2 L
U2 L' D B' L F' R2
U2 L' D B' F' L R2
U2 L' D B' F' R2 L
D' L2 R' F' R U2 F'
D' L2 U2 F L' F2 B'
D' L2 U2 F L' B' F2
D' L2 F U2 L' F2 B'
D' L2 F U2 L' B' F2
F2 R U' F D' L2 B
F2 R U' F D' B L2
F2 R U' F B D' L2
F2 R U' B F D' L2
F2 R U2 F' U F2 B
F2 R U2 F' U B F2
F' R F' U F B R
F' R F' U B F R
D' R' L2 F' R U2 F'
D' R' F' L2 R U2 F'
D' R' F' R L2 U2 F'
F2 R' B R2 U' F B
F2 R' B R2 U' B F
F2 R' B U F' U2 F2
F2 R' B U' F D2 B2
D R2 U2 B R' U2 B
D R2 B R' U2 B R
D R2 B' D2 L F2 B'
D R2 B' D2 L B' F2
D R2 B' D2 F2 L B'
U2 D L' F' R2 B' L
U2 D L' F' B' L R2
U2 D L' F' B' R2 L
U2 D L' B' L F' R2
U2 D L' B' F' L R2
U2 D L' B' F' R2 L
U2 D F' L' R2 B' L
U2 D F' L' B' L R2
U2 D F' L' B' R2 L
U2 D F' R2 L' B' L
L' D' F L' F2 R B
L2 D' F L' F2 R B
L D' F L' F2 R B
U2 D' F L' F2 R B'
U2 D' F L' F2 B' R
U2 D' F L' B' F2 R
D U2 L' F' R2 B' L
D U2 L' F' B' L R2
D U2 L' F' B' R2 L
D U2 L' B' L F' R2
D U2 L' B' F' L R2
D U2 L' B' F' R2 L
D' U2 F L' F2 R B'
D' U2 F L' F2 B' R
D' U2 F L' B' F2 R
D U2 F' L' R2 B' L
D U2 F' L' B' L R2
D U2 F' L' B' R2 L
D U2 F' R2 L' B' L
D' F L' R F2 B R
D' F L' R B F2 R
D' F L' F2 R D B
D' F L' F2 R D' B
D' F L' F2 R D2 B
D' F L' F2 R B D
D' F L' F2 R B D'
D' F L' F2 R B D2
D' F L' F2 D R B
D' F L' F2 D' R B
D' F L' F2 D2 R B
D' F L' F2 B R B
D' F L' F2 B' R B
D' F L' F2 B2 R B
D' F L' B F2 R B
D' F L' B' F2 R B
D' F L' B2 F2 R B
D' F R L' F2 B R
D' F R L' B F2 R
D' F R B L' F2 R
D' F U2 L' F2 R B'
D' F U2 L' F2 B' R
D' F U2 L' B' F2 R
D' F B L' F2 R B
D' F B' L' F2 R B
D' F B2 L' F2 R B
D' F' R' D2 L2 R2 B
D' F' R' D2 R2 L2 B
D' F' R' D2 R2 B L2
D F' R B R D2 L2
D F' R B' L R B2
D F' R B' L B2 R
D F' R B' R L B2
D F' R2 B' D2 L B'
F2 D' R U' F L' B
F2 D' R U' F B L'
F2 D' R U' B F L'
D F' B' L R B R
D F' B' R L B R
D F' B' R2 D2 L B'
D F' B2 R B L R
D F' B2 R B R L
B' D' F L' F2 R B
B2 D' F L' F2 R B
B D' F L' F2 R B
U' F2 U' D' F L' B'
U' F2 D' U' F L' B'
U' F2 B' R' B U' F
D' B F L' F2 R B
D B' L F' R B R
D' B' F L' F2 R B
U' B' F2 R' B U' F
D B' F' L R B R
D B' F' R L B R
D B' F' R2 D2 L B'
D B2 U2 F' L' R2 B'
D B2 U2 F' L' B' R2
D B2 U2 F' R2 L' B'
D' B2 F L' F2 R B
D B2 F' R B L R
D B2 F' R B R L
