U' L U L' F
F U' L U L'
U' L R U L' F
U' L R' U L' F
U' L R2 U L' F
U' L U L' D F
U' L U L' D' F
U' L U L' D2 F
U' L U L' F D
U' L U L' F D'
U' L U L' F D2
U2 L U' L' U2 F
F L' U' L2 U L2
F L' D' B2 D L2
F L2 U' L' U L
U' R L U L' F
U' R' L U L' F
B2 R' B2 U' R F
U' R2 L U L' F
U' D L U L' F
B2 U R' B2 U' F
U' D' L U L' F
D2 U' L U L' F
D' U' L U L' F
D U' L U L' F
F' U' L U L' F2
F2 U' L U L' F'
F U' L U L' D
F U' L U L' D'
F U' L U L' D2
F U' L U D L'
F U' L U D' L'
F U' L U D2 L'
F U' L D U L'
F U' L D' U L'
F U' L D2 U L'
F U' D L U L'
F U' D' L U L'
F U' D2 L U L'
U' D2 L U L' F
F U' F L U L'
F U' F' L U L'
F U' F2 L U L'
F' U2 L U F2 R
D' F U' L U L'
D2 F U' L U L'
D F U' L U L'
U' F' L U L' F2
F D U' L U L'
U' F2 L U L' F'
F D' U' L U L'
F D2 U' L U L'
B2 F U R' B2 U'
F B2 U R' B2 U'
F' L R U R' F2 L'
U' L R U L' D F
U' L R U L' D' F
U' L R U L' D2 F
U' L R U L' F D
U' L R U L' F D'
U' L R U L' F D2
U2 L R U' L' U2 F
L R U R' F2 L' F
R L U R' F2 L' F
U' L R' U L' D F
U' L R' U L' D' F
U' L R' U L' D2 F
U' L R' U L' F D
U' L R' U L' F D'
U' L R' U L' F D2
U2 L R' U' L' U2 F
U' L R2 U L' D F
U' L R2 U L' D' F
U' L R2 U L' D2 F
U' L R2 U L' F D
U' L R2 U L' F D'
U' L R2 U L' F D2
U2 L R2 U' L' U2 F
U' L U L F L2 F
U' L U L F' L2 F
U' L U L F2 L2 F
U' L U L' R F R'
U' L U L' R2 F R2
U' L U L' D F D
U' L U L' D F D'
U' L U L' D F D2
U' L U L' D' F D
U' L U L' D' F D'
U' L U L' D' F D2
U' L U L' D2 F D
U' L U L' D2 F D'
U' L U L' D2 F D2
U' L U L' F2 D F'
U' L U L' F2 D' F'
U' L U L' F2 D2 F'
U' L U L2 D L F
U' L U L2 D' L F
U' L U L2 D2 L F
U' L U L2 F L F
U' L U L2 F' L F
U' L U L2 F2 L F
U' L U R L' F R'
U' L U R2 L' F R2
U2 L U D2 F2 R F'
U' L U F' L' F L'
U2 L U F2 D2 R F'
U' L U B' L' F B
U' L U B' L' B F
U' L U B2 L' F B2
U' L U B2 L' B2 F
U2 L U' L B' L2 U2
U2 L U' L' U2 D F
U2 L U' L' U2 D' F
U2 L U' L' U2 D2 F
U2 L U' L' U2 F D
U2 L U' L' U2 F D'
U2 L U' L' U2 F D2
U2 L U' L' D U2 F
U2 L U' L' D' U2 F
U2 L U' L' D2 U2 F
U2 L U' L' B U2 F
U2 L U' L' B' U2 F
U2 L U' L' B2 U2 F
U' L U' R U2 L' F
U' L U' R' U2 L' F
U' L U' R2 U2 L' F
U' L U' B U2 L' F
U2 L U' B L' U2 F
U' L U' B' U2 L' F
U2 L U' B' L' U2 F
U' L U' B2 U2 L' F
U2 L U' B2 L' U2 F
U' L U2 L U' L2 F
U' L U2 B U' L' F
U' L U2 B' U' L' F
U' L U2 B2 U' L' F
U' L D2 R U L' F'
U2 L D2 U F2 R F'
U' L F' U L' F L'
U' L F' U F L' F
U' L F2 U F2 L' F
U2 L B U' L' U2 F
F L B U B' U' B
U2 L B' U' L' U2 F
F L B' U B U' B'
U2 L B2 U' L' U2 F
F L B2 U B2 U' B2
F L B2 D L2 D' B2
F' L' U' L2 U L2 F2
F' L' U' L2 U F2 L2
